ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2012,2012-10-07,5,24.049,WAS,,ATL,L 17-24,,5,9,55.56,111,1,2,97.2,1,6,12.33,4.56,0,0,,0,,0,0
2,2012,2012-12-09,13,24.112,WAS,,BAL,W 31-28,,2,2,100.00,26,1,0,158.3,0,0,13.00,23.00,0,0,,0,1,0,2
3,2012,2012-12-16,14,24.119,WAS,@,CLE,W 38-21,*,26,37,70.27,329,2,1,104.4,2,21,8.89,8.76,3,22,7.33,0,,0,0
4,2013,2013-10-27,7,25.069,WAS,@,DEN,L 21-45,,5,9,55.56,48,0,2,31.0,0,0,5.33,-4.67,1,1,1.00,0,,0,0
5,2013,2013-12-08,13,25.111,WAS,,KAN,L 10-45,,7,16,43.75,59,0,0,53.9,1,15,3.69,3.69,0,0,,0,,0,0
6,2013,2013-12-15,14,25.118,WAS,@,ATL,L 26-27,*,29,45,64.44,381,3,2,94.8,1,8,8.47,7.80,0,0,,0,,0,0
7,2013,2013-12-22,15,25.125,WAS,,DAL,L 23-24,*,21,36,58.33,197,1,1,71.2,0,0,5.47,4.78,2,10,5.00,0,,0,0
8,2013,2013-12-29,16,25.132,WAS,@,NYG,L 6-20,*,19,49,38.78,169,0,2,31.8,3,9,3.45,1.61,1,3,3.00,0,,0,0
9,2014,2014-09-14,2,26.026,WAS,,JAX,W 41-10,,22,33,66.67,250,2,0,109.4,2,21,7.58,8.79,1,-1,-1.00,0,,0,0
10,2014,2014-09-21,3,26.033,WAS,@,PHI,L 34-37,*,30,48,62.50,427,3,1,103.4,0,0,8.90,9.21,3,5,1.67,0,,0,0
11,2014,2014-09-25,4,26.037,WAS,,NYG,L 14-45,*,19,33,57.58,257,1,4,53.0,2,14,7.79,2.94,1,12,12.00,0,,0,0
12,2014,2014-10-06,5,26.048,WAS,,SEA,L 17-27,*,21,36,58.33,283,2,0,102.0,1,8,7.86,8.97,2,4,2.00,0,,0,0
