ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2000,2000-09-10,2,22.111,DEN,,ATL,W 42-14,,7,21,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2000,2000-10-08,6,22.139,DEN,@,SDG,W 21-7,,14,37,2.64,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
3,2000,2000-10-22,8,22.153,DEN,@,CIN,L 21-31,,10,34,3.40,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
4,2000,2000-11-19,11,22.181,DEN,,SDG,W 38-37,,,,,,,,,,,0.0%,,,,,,,
5,2000,2000-11-26,12,22.188,DEN,@,SEA,W 38-31,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2000,2000-12-03,13,22.195,DEN,@,NOR,W 38-23,,8,31,3.88,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2000,2000-12-10,14,22.202,DEN,,SEA,W 31-24,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2000,2000-12-17,15,22.209,DEN,@,KAN,L 7-20,,,,,,,,,,,0.0%,,,,,,,
9,2000,2000-12-23,16,22.215,DEN,,SFO,W 38-9,,12,52,4.33,1,0,0,0,,0,0.0%,,0,0,,0,1,6
10,2001,2001-12-02,12,23.194,DEN,@,MIA,L 10-21,,2,9,4.50,0,8,4,32,8.00,0,50.0%,4.00,0,0,,0,0,0
11,2001,2001-12-09,13,23.201,DEN,,SEA,W 20-7,,2,8,4.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
12,2001,2001-12-16,14,23.208,DEN,@,KAN,L 23-26,,,,,,,,,,,0.0%,,,,,,,
13,2001,2002-01-06,16,23.229,DEN,@,IND,L 10-29,,0,0,,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
14,2002,2002-09-08,1,24.109,DEN,,STL,W 23-16,,,,,,,,,,,0.0%,,,,,,,
15,2002,2002-09-15,2,24.116,DEN,@,SFO,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,1,6,6.00,0,0,0
