ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1990,1990-10-14,6,23.349,NYJ,,SDG,L 3-39,,0,0,,0,,,,,,
2,1990,1990-10-21,7,23.356,NYJ,@,BUF,L 27-30,,0,0,,0,,,,,,
3,1990,1990-10-28,8,23.363,NYJ,@,HOU,W 17-12,,0,0,,0,,,,,,
4,1990,1990-11-04,9,24.005,NYJ,,DAL,W 24-9,,0,0,,0,,,,,,
5,1990,1990-11-11,10,24.012,NYJ,,MIA,L 3-17,,1,6,6.00,0,,,0,0,,0
6,1990,1990-11-18,11,24.019,NYJ,@,IND,L 14-17,,0,0,,0,,,,,,
7,1990,1990-11-25,12,24.026,NYJ,,PIT,L 7-24,,0,0,,0,,,,,,
8,1990,1990-12-02,13,24.033,NYJ,@,SDG,L 17-38,,1,11,11.00,0,,,0,0,,0
9,1990,1990-12-16,14,24.047,NYJ,,IND,L 21-29,,1,15,15.00,0,,,0,0,,0
10,1990,1990-12-23,15,24.054,NYJ,,NWE,W 42-7,,0,0,,0,,,,,,
11,1990,1990-12-30,16,24.061,NYJ,@,TAM,W 16-14,,2,36,18.00,0,,,0,0,,0
12,1991,1991-09-01,1,24.306,NYJ,,TAM,W 16-13,,0,0,,0,,,0,0,,0
13,1991,1991-09-08,2,24.313,NYJ,@,SEA,L 13-20,,0,0,,0,,,0,0,,0
14,1991,1991-09-15,3,24.320,NYJ,,BUF,L 20-23,,0,0,,0,,,0,0,,0
15,1991,1991-09-23,4,24.328,NYJ,@,CHI,L 13-19,,0,0,,0,,,0,0,,0
16,1991,1991-09-29,5,24.334,NYJ,,MIA,W 41-23,,0,0,,0,,,0,0,,0
17,1991,1991-10-06,6,24.341,NYJ,@,CLE,W 17-14,,0,0,,0,,,0,0,,0
18,1991,1991-10-13,7,24.348,NYJ,,HOU,L 20-23,,0,0,,0,,,2,22,11.00,0
19,1991,1991-10-20,8,24.355,NYJ,@,IND,W 17-6,,0,0,,0,,,0,0,,0
20,1991,1991-11-03,9,25.004,NYJ,,GNB,W 19-16,,0,0,,0,,,0,0,,0
21,1991,1991-11-10,10,25.011,NYJ,,IND,L 27-28,,2,32,16.00,0,,,0,0,,0
22,1991,1991-11-17,11,25.018,NYJ,@,NWE,W 28-21,,0,0,,0,,,0,0,,0
23,1991,1991-11-24,12,25.025,NYJ,,SDG,W 24-3,,0,0,,0,,,0,0,,0
24,1991,1991-12-01,13,25.032,NYJ,@,BUF,L 13-24,,0,0,,0,,,0,0,,0
25,1991,1991-12-08,14,25.039,NYJ,@,DET,L 20-34,,1,6,6.00,0,,,0,0,,0
26,1991,1991-12-15,15,25.046,NYJ,,NWE,L 3-6,,0,0,,0,,,0,0,,0
27,1992,1992-11-22,11,26.023,NYJ,@,NWE,L 3-24,1,,,,,0.0%,,0,0,,0
28,1992,1992-11-29,12,26.030,NYJ,,KAN,L 7-23,,,,,,0.0%,,0,0,,0
29,1992,1992-12-06,13,26.037,NYJ,@,BUF,W 24-17,,0,0,,0,0.0%,,1,10,10.00,0
30,1992,1992-12-13,14,26.044,NYJ,,IND,L 6-10,,,,,,0.0%,,0,0,,0
31,1992,1992-12-20,15,26.051,NYJ,@,MIA,L 17-19,,,,,,0.0%,,0,0,,0
32,1992,1992-12-26,16,26.057,NYJ,,NOR,L 0-20,,,,,,0.0%,,0,0,,0
33,1993,1993-10-24,6,26.359,NYJ,,BUF,L 10-19,,,,,,0.0%,,,,,
34,1993,1993-10-31,7,27.001,NYJ,@,NYG,W 10-6,,,,,,0.0%,,,,,
35,1993,1993-12-26,15,27.057,NYJ,@,BUF,L 14-16,,,,,,0.0%,,,,,
36,1993,1994-01-02,16,27.064,NYJ,@,HOU,L 0-24,,,,,,0.0%,,,,,
