ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-09-29,5,23.214,NYJ,@,WAS,L 16-31,0,0,0,,0,0.0%,,0,0,,0,1,32,32.00,0
2,1996,1996-10-06,6,23.221,NYJ,,OAK,L 13-34,5,3,42,14.00,0,60.0%,8.40,0,0,,0,4,72,18.00,0
3,1996,1996-10-13,7,23.228,NYJ,@,JAX,L 17-21,3,2,23,11.50,0,66.7%,7.67,1,-4,-4.00,0,5,111,22.20,0
4,1996,1996-10-20,8,23.235,NYJ,,BUF,L 22-25,0,0,0,,0,0.0%,,0,0,,0,6,115,19.17,0
5,1996,1996-10-27,9,23.242,NYJ,@,ARI,W 31-21,0,0,0,,0,0.0%,,0,0,,0,4,59,14.75,0
6,1996,1996-11-10,10,23.256,NYJ,,NWE,L 27-31,0,0,0,,0,0.0%,,0,0,,0,4,81,20.25,0
7,1996,1996-11-17,11,23.263,NYJ,@,IND,L 29-34,,0,0,,0,0.0%,,0,0,,0,0,0,,0
8,1996,1996-12-08,14,23.284,NYJ,@,NWE,L 10-34,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,1996,1996-12-22,16,23.298,NYJ,,MIA,L 28-31,,0,0,,0,0.0%,,0,0,,0,0,0,,0
