ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2014,2014-09-07,1,23.202,CLE,@,PIT,L 27-30,,5,1,5,5.00,0,20.0%,1.00,1,8,8.00,0,0,0,,0,,0,0
2,2014,2014-09-14,2,23.209,CLE,,NOR,W 26-24,,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,0,,0,0
3,2014,2014-09-21,3,23.216,CLE,,BAL,L 21-23,,2,2,81,40.50,0,100.0%,40.50,2,-2,-1.00,0,0,0,,0,,0,0
4,2014,2014-10-05,4,23.230,CLE,@,TEN,W 29-28,,6,4,95,23.75,0,66.7%,15.83,0,0,,0,0,0,,0,,0,0
5,2014,2014-10-12,5,23.237,CLE,,PIT,W 31-10,,4,1,24,24.00,0,25.0%,6.00,0,0,,0,0,0,,0,,0,0
6,2014,2014-10-19,6,23.244,CLE,@,JAX,L 6-24,,7,3,39,13.00,0,42.9%,5.57,0,0,,0,0,0,,0,,0,0
7,2014,2014-10-26,7,23.251,CLE,,OAK,W 23-13,,3,2,60,30.00,0,66.7%,20.00,0,0,,0,0,0,,0,,0,0
8,2014,2014-11-02,8,23.258,CLE,,TAM,W 22-17,,6,5,87,17.40,1,83.3%,14.50,0,0,,0,1,30,30.00,0,,1,6
9,2014,2014-11-06,9,23.262,CLE,@,CIN,W 24-3,*,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,,0,0
10,2014,2014-11-16,10,23.272,CLE,,HOU,L 7-23,,13,5,92,18.40,0,38.5%,7.08,0,0,,0,1,21,21.00,0,,0,0
11,2014,2014-11-23,11,23.279,CLE,@,ATL,W 26-24,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0
12,2014,2014-11-30,12,23.286,CLE,@,BUF,L 10-26,,1,0,0,,0,0.0%,0.00,0,0,,0,1,19,19.00,0,,0,0
13,2014,2014-12-07,13,23.293,CLE,,IND,L 24-25,,3,1,12,12.00,0,33.3%,4.00,1,4,4.00,0,0,0,,0,,0,0
14,2014,2014-12-14,14,23.300,CLE,,CIN,L 0-30,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,1,26,26.00,0,,0,0
15,2014,2014-12-21,15,23.307,CLE,@,CAR,L 13-17,,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,,0,0
16,2014,2014-12-28,16,23.314,CLE,@,BAL,L 10-20,*,7,3,66,22.00,0,42.9%,9.43,0,0,,0,0,0,,0,,0,0
17,2015,2015-09-13,1,24.208,CLE,@,NYJ,L 10-31,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0
18,2015,2015-09-20,2,24.215,CLE,,TEN,W 28-14,,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,,0,0
19,2015,2015-09-27,3,24.222,CLE,,OAK,L 20-27,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,,0,0
20,2015,2015-10-04,4,24.229,CLE,@,SDG,L 27-30,*,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,1,0,2
21,2015,2015-10-11,5,24.236,CLE,@,BAL,W 33-30,,5,4,75,18.75,0,80.0%,15.00,0,0,,0,0,0,,0,,0,0
22,2015,2015-10-18,6,24.243,CLE,,DEN,L 23-26,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0
23,2015,2015-10-25,7,24.250,CLE,@,STL,L 6-24,,4,4,15,3.75,0,100.0%,3.75,0,0,,0,0,0,,0,,0,0
24,2015,2015-11-01,8,24.257,CLE,,ARI,L 20-34,,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,,0,0
25,2015,2015-11-05,9,24.261,CLE,@,CIN,L 10-31,*,6,1,3,3.00,0,16.7%,0.50,0,0,,0,0,0,,0,,0,0
26,2015,2015-11-15,10,24.271,CLE,@,PIT,L 9-30,,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,,0,0
27,2015,2015-12-20,14,24.306,CLE,@,SEA,L 13-30,*,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,,0,0
28,2015,2015-12-27,15,24.313,CLE,@,KAN,L 13-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
29,2015,2016-01-03,16,24.320,CLE,,PIT,L 12-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
30,2016,2016-09-18,2,25.214,ATL,@,OAK,W 35-28,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,,0,0
31,2016,2016-09-26,3,25.222,ATL,@,NOR,W 45-32,,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,,0,0
32,2016,2016-10-02,4,25.228,ATL,,CAR,W 48-33,,3,3,49,16.33,0,100.0%,16.33,0,0,,0,0,0,,0,,0,0
33,2016,2016-10-09,5,25.235,ATL,@,DEN,W 23-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0
34,2016,2016-10-16,6,25.242,ATL,@,SEA,L 24-26,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0
35,2016,2016-10-30,8,25.256,ATL,,GNB,W 33-32,,3,3,68,22.67,1,100.0%,22.67,0,0,,0,0,0,,0,,1,6
36,2016,2016-11-03,9,25.260,ATL,@,TAM,W 43-28,,5,5,52,10.40,0,100.0%,10.40,2,24,12.00,1,0,0,,0,,1,6
37,2016,2016-11-13,10,25.270,ATL,@,PHI,L 15-24,,5,1,76,76.00,1,20.0%,15.20,0,0,,0,0,0,,0,,1,6
38,2016,2016-11-27,11,25.284,ATL,,ARI,W 38-19,*,5,4,75,18.75,2,80.0%,15.00,1,27,27.00,0,0,0,,0,,2,12
39,2016,2016-12-04,12,25.291,ATL,,KAN,L 28-29,,6,5,44,8.80,0,83.3%,7.33,0,0,,0,0,0,,0,,0,0
40,2016,2016-12-11,13,25.298,ATL,@,LAR,W 42-14,*,6,3,82,27.33,1,50.0%,13.67,1,0,0.00,0,0,0,,0,,1,6
41,2016,2016-12-18,14,25.305,ATL,,SFO,W 41-13,,6,3,60,20.00,1,50.0%,10.00,0,0,,0,0,0,,0,,1,6
42,2016,2016-12-24,15,25.311,ATL,@,CAR,W 33-16,,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,,0,0
43,2017,2017-09-10,1,26.205,ATL,@,CHI,W 23-17,*,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,,0,0
44,2017,2017-09-17,2,26.212,ATL,,GNB,W 34-23,*,3,2,14,7.00,0,66.7%,4.67,1,7,7.00,0,0,0,,0,,0,0
45,2017,2017-09-24,3,26.219,ATL,@,DET,W 30-26,,6,5,79,15.80,1,83.3%,13.17,0,0,,0,0,0,,0,,1,6
46,2017,2017-10-01,4,26.226,ATL,,BUF,L 17-23,,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0
