ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2002,2002-09-05,1,24.317,NYG,,SFO,L 13-16,,0,0,,0,3,104,34.67,0
2,2002,2002-09-15,2,24.327,NYG,@,STL,W 26-21,,0,0,,0,4,171,42.75,0
3,2002,2002-09-22,3,24.334,NYG,,SEA,W 9-6,,0,0,,0,5,209,41.80,0
4,2002,2002-09-29,4,24.341,NYG,@,ARI,L 7-21,,1,10,10.00,0,5,206,41.20,0
5,2002,2002-10-06,5,24.348,NYG,@,DAL,W 21-17,,0,0,,0,5,215,43.00,0
6,2002,2002-10-13,6,24.355,NYG,,ATL,L 10-17,,0,0,,0,2,72,36.00,0
7,2002,2002-10-28,7,25.005,NYG,@,PHI,L 3-17,,1,13,13.00,0,5,208,41.60,0
8,2002,2002-11-17,10,25.025,NYG,,WAS,W 19-17,,0,0,,0,5,162,32.40,0
9,2002,2002-11-24,11,25.032,NYG,@,HOU,L 14-16,,1,0,0.00,0,6,207,34.50,0
10,2002,2002-12-01,12,25.039,NYG,,TEN,L 29-32,,0,0,,0,3,88,29.33,0
11,2002,2002-12-08,13,25.046,NYG,@,WAS,W 27-21,,0,0,,0,7,232,33.14,0
12,2002,2002-12-15,14,25.053,NYG,,DAL,W 37-7,,0,0,,0,6,197,32.83,0
13,2002,2002-12-22,15,25.060,NYG,@,IND,W 44-27,,0,0,,0,3,116,38.67,0
14,2002,2002-12-28,16,25.066,NYG,,PHI,W 10-7,,0,0,,0,4,139,34.75,0
