ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2002,2002-09-09,1,23.356,PIT,@,NWE,L 14-30,,0,0,0,,0,0.0%,,4,84,21.00,0
2,2002,2002-09-15,2,23.362,PIT,,OAK,L 17-30,,0,0,0,,0,0.0%,,3,88,29.33,0
3,2002,2002-09-29,3,24.011,PIT,,CLE,W 16-13,,0,0,0,,0,0.0%,,2,49,24.50,0
4,2002,2002-10-06,4,24.018,PIT,@,NOR,L 29-32,,0,0,0,,0,0.0%,,3,59,19.67,0
5,2002,2002-10-13,5,24.025,PIT,@,CIN,W 34-7,,0,,,,,0.0%,,,,,
6,2002,2002-10-21,6,24.033,PIT,,IND,W 28-10,,0,0,0,,0,0.0%,,2,32,16.00,0
7,2002,2002-10-27,7,24.039,PIT,@,BAL,W 31-18,,0,0,0,,0,0.0%,,2,31,15.50,0
8,2002,2002-11-03,8,24.046,PIT,@,CLE,W 23-20,,0,0,0,,0,0.0%,,3,63,21.00,0
9,2002,2002-11-10,9,24.053,PIT,,ATL,T 34-34,,0,0,0,,0,0.0%,,4,75,18.75,0
10,2002,2002-11-17,10,24.060,PIT,@,TEN,L 23-31,,0,0,0,,0,0.0%,,3,57,19.00,0
11,2002,2002-11-24,11,24.067,PIT,,CIN,W 29-21,,0,0,0,,0,0.0%,,2,51,25.50,0
12,2002,2002-12-01,12,24.074,PIT,@,JAX,W 25-23,,0,0,0,,0,0.0%,,1,13,13.00,0
13,2002,2002-12-08,13,24.081,PIT,,HOU,L 6-24,,0,0,0,,0,0.0%,,3,69,23.00,0
14,2002,2002-12-15,14,24.088,PIT,,CAR,W 30-14,,2,,,,,0.0%,,,,,
15,2002,2002-12-23,15,24.096,PIT,@,TAM,W 17-7,,,,,,,0.0%,,,,,
16,2002,2002-12-29,16,24.102,PIT,,BAL,W 34-31,,,,,,,0.0%,,,,,
17,2003,2003-09-07,1,24.354,PIT,,BAL,W 34-15,,,,,,,0.0%,,,,,
18,2003,2003-09-14,2,24.361,PIT,@,KAN,L 20-41,,,,,,,0.0%,,,,,
19,2003,2003-09-21,3,25.003,PIT,@,CIN,W 17-10,,,,,,,0.0%,,,,,
20,2003,2003-09-28,4,25.010,PIT,,TEN,L 13-30,,1,1,9,9.00,0,100.0%,9.00,0,0,,0
21,2003,2003-10-05,5,25.017,PIT,,CLE,L 13-33,,,,,,,0.0%,,,,,
22,2003,2003-10-12,6,25.024,PIT,@,DEN,L 14-17,,0,,,,,0.0%,,,,,
23,2003,2003-10-26,7,25.038,PIT,,STL,L 21-33,,,,,,,0.0%,,,,,
24,2003,2003-11-02,8,25.045,PIT,@,SEA,L 16-23,,0,,,,,0.0%,,,,,
25,2003,2003-11-09,9,25.052,PIT,,ARI,W 28-15,,0,,,,,0.0%,,,,,
26,2003,2003-11-17,10,25.060,PIT,@,SFO,L 14-30,,,,,,,0.0%,,,,,
27,2003,2003-11-23,11,25.066,PIT,@,CLE,W 13-6,,,,,,,0.0%,,,,,
28,2003,2003-11-30,12,25.073,PIT,,CIN,L 20-24,,,,,,,0.0%,,,,,
29,2003,2003-12-07,13,25.080,PIT,,OAK,W 27-7,,,,,,,0.0%,,,,,
30,2003,2003-12-14,14,25.087,PIT,@,NYJ,L 0-6,,1,1,8,8.00,0,100.0%,8.00,0,0,,0
31,2003,2003-12-21,15,25.094,PIT,,SDG,W 40-24,,0,0,0,,0,0.0%,,2,47,23.50,0
32,2003,2003-12-28,16,25.101,PIT,@,BAL,L 10-13,,1,0,0,,0,0.0%,0.00,2,32,16.00,0
33,2004,2004-09-12,1,25.360,PIT,,OAK,W 24-21,,0,,,,,0.0%,,,,,
34,2004,2004-09-19,2,26.001,PIT,@,BAL,L 13-30,,3,1,8,8.00,0,33.3%,2.67,0,0,,0
35,2004,2004-09-26,3,26.008,PIT,@,MIA,W 13-3,,,,,,,0.0%,,,,,
36,2004,2004-10-03,4,26.015,PIT,,CIN,W 28-17,,,,,,,0.0%,,,,,
37,2004,2004-10-10,5,26.022,PIT,,CLE,W 34-23,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
38,2004,2004-10-17,6,26.029,PIT,@,DAL,W 24-20,,,,,,,0.0%,,,,,
39,2004,2004-10-31,7,26.043,PIT,,NWE,W 34-20,,1,,,,,0.0%,,,,,
40,2004,2004-11-07,8,26.050,PIT,,PHI,W 27-3,,,,,,,0.0%,,,,,
41,2004,2004-11-14,9,26.057,PIT,@,CLE,W 24-10,,,,,,,0.0%,,,,,
42,2004,2004-11-21,10,26.064,PIT,@,CIN,W 19-14,,2,1,9,9.00,0,50.0%,4.50,0,0,,0
43,2004,2004-11-28,11,26.071,PIT,,WAS,W 16-7,,2,,,,,0.0%,,,,,
44,2004,2004-12-05,12,26.078,PIT,@,JAX,W 17-16,,4,3,32,10.67,0,75.0%,8.00,0,0,,0
45,2004,2004-12-12,13,26.085,PIT,,NYJ,W 17-6,,3,1,46,46.00,0,33.3%,15.33,0,0,,0
46,2004,2004-12-18,14,26.091,PIT,@,NYG,W 33-30,,3,1,12,12.00,0,33.3%,4.00,0,0,,0
47,2004,2004-12-26,15,26.099,PIT,,BAL,W 20-7,,,,,,,0.0%,,,,,
48,2004,2005-01-02,16,26.106,PIT,@,BUF,W 29-24,*,4,1,24,24.00,0,25.0%,6.00,0,0,,0
49,2006,2006-12-07,13,28.080,PIT,,CLE,W 27-7,,,0,0,,0,0.0%,,0,0,,0
