ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1959,1959-09-27,1,26.092,CRD,,WAS,W 49-21,2,32,16.00,0,,,,,,,
2,1959,1959-10-04,2,26.099,CRD,,CLE,L 7-34,3,31,10.33,0,,,,,,,
3,1959,1959-10-11,3,26.106,CRD,@,WAS,L 14-23,3,36,12.00,0,,,,,,,
4,1959,1959-10-18,4,26.113,CRD,@,CLE,L 7-17,2,14,7.00,0,,,,,,,
5,1959,1959-10-25,5,26.120,CRD,,PHI,L 24-28,3,89,29.67,0,,,,,,,
6,1959,1959-11-01,6,26.127,CRD,,PIT,W 45-24,1,13,13.00,0,,,,,,,
7,1959,1959-11-08,7,26.134,CRD,@,NYG,L 3-9,2,23,11.50,0,,,,,,,
8,1959,1959-11-15,8,26.141,CRD,@,PHI,L 17-27,1,20,20.00,0,,,,,,,
9,1960,1960-09-23,1,27.088,STL,@,RAM,W 43-21,0,0,,0,0,0,,0,1,14,0
10,1962,1962-09-30,4,29.095,BUF,@,DTX,L 21-41,1,28,28.00,0,0,0,,0,0,0,0
11,1963,1963-09-15,2,30.080,BUF,@,OAK,L 17-35,0,0,,0,1,21,21.00,0,2,0,0
12,1963,1963-09-22,3,30.087,BUF,,KAN,T 27-27,0,0,,0,0,0,,0,1,4,0
13,1963,1963-10-26,8,30.121,BUF,,BOS,W 28-21,0,0,,0,0,0,,0,1,15,0
14,1963,1963-11-03,9,30.129,BUF,@,DEN,W 30-28,0,0,,0,0,0,,0,1,3,0
15,1964,1964-10-11,5,31.106,BUF,@,HOU,W 48-17,0,0,,0,0,0,,0,1,0,0
16,1964,1964-11-08,9,31.134,BUF,@,NYJ,W 20-7,0,0,,0,0,0,,0,1,6,0
17,1964,1964-11-26,11,31.152,BUF,@,SDG,W 27-24,0,0,,0,0,0,,0,1,6,0
18,1965,1965-11-14,10,32.140,BUF,@,OAK,W 17-14,0,0,,0,0,0,,0,1,8,0
19,1965,1965-12-19,14,32.175,BUF,@,NYJ,L 12-14,1,2,2.00,0,0,0,,0,0,0,0
20,1966,1966-10-30,8,33.125,BUF,@,NYJ,W 33-23,0,0,,0,0,0,,0,1,0,0
21,1967,1967-11-26,11,34.152,BUF,@,MIA,L 14-17,1,15,15.00,0,0,0,,0,1,3,0
