ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-10-06,4,21.280,WAS,,NYG,L 14-24,1,0,0.00,0,0,0,0,0,0,,0
2,1964,1964-10-11,5,22.286,WAS,,PHI,W 35-20,1,16,16.00,0,0,0,0,0,0,,0
3,1965,1965-09-19,1,23.263,WAS,,CLE,L 7-17,0,0,,0,0,0,0,5,182,36.40,0
4,1965,1965-09-26,2,23.270,WAS,@,DAL,L 7-27,0,0,,0,0,0,0,4,154,38.50,0
5,1965,1965-12-19,14,23.354,WAS,,PIT,W 35-14,0,0,,0,1,3,0,0,0,,0
6,1970,1970-09-21,1,28.265,CLE,,NYJ,W 31-21,,,,,,,,,,,
7,1970,1970-09-27,2,28.271,CLE,@,SFO,L 31-34,,,,,,,,,,,
8,1970,1970-10-03,3,28.277,CLE,,PIT,W 15-7,,,,,,,,,,,
9,1970,1970-10-11,4,28.285,CLE,,CIN,W 30-27,,,,,,,,,,,
10,1970,1970-10-18,5,28.292,CLE,,DET,L 24-41,,,,,,,,,,,
11,1970,1970-10-25,6,28.299,CLE,@,MIA,W 28-0,,,,,,,,,,,
12,1970,1970-11-01,7,28.306,CLE,,SDG,L 10-27,,,,,,,,,,,
13,1970,1970-11-08,8,28.313,CLE,@,OAK,L 20-23,,,,,,,,,,,
14,1970,1970-11-15,9,28.320,CLE,@,CIN,L 10-14,,,,,,,,,,,
15,1970,1970-11-22,10,28.327,CLE,,HOU,W 28-14,,,,,,,,,,,
16,1970,1970-11-29,11,28.334,CLE,@,PIT,L 9-28,,,,,,,,,,,
17,1970,1970-12-07,12,28.342,CLE,@,HOU,W 21-10,,,,,,,,,,,
18,1970,1970-12-12,13,28.347,CLE,,DAL,L 2-6,,,,,,,,,,,
19,1970,1970-12-20,14,28.355,CLE,@,DEN,W 27-13,,,,,,,,,,,
20,1971,1971-09-19,1,29.263,CLE,,HOU,W 31-0,,,,,,,,,,,
21,1971,1971-09-26,2,29.270,CLE,@,BAL,W 14-13,,,,,,,,,,,
22,1971,1971-10-04,3,29.278,CLE,,OAK,L 20-34,,,,,,,,,,,
23,1971,1971-10-17,5,29.291,CLE,@,CIN,W 27-24,,,,,,,,,,,
24,1971,1971-10-24,6,29.298,CLE,,DEN,L 0-27,,,,,,,,,,,
25,1971,1971-10-31,7,29.305,CLE,,ATL,L 14-31,,,,,,,,,,,
26,1971,1971-11-07,8,29.312,CLE,@,PIT,L 9-26,,,,,,,,,,,
27,1971,1971-11-14,9,29.319,CLE,@,KAN,L 7-13,,,,,,,,,,,
28,1971,1971-11-21,10,29.326,CLE,,NWE,W 27-7,,,,,,,,,,,
29,1971,1971-11-28,11,29.333,CLE,@,HOU,W 37-24,,,,,,,,,,,
30,1971,1971-12-05,12,29.340,CLE,,CIN,W 31-27,,,,,,,,,,,
31,1971,1971-12-12,13,29.347,CLE,@,NOR,W 21-17,,,,,,,,,,,
32,1971,1971-12-19,14,29.354,CLE,@,WAS,W 20-13,,,,,0,3,0,,,,
33,1972,1972-09-17,1,30.262,CLE,,GNB,L 10-26,,,,,,,,,,,
34,1972,1972-09-24,2,30.269,CLE,@,PHI,W 27-17,,,,,,,,,,,
35,1972,1972-10-01,3,30.276,CLE,,CIN,W 27-6,,,,,,,,,,,
