ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,21.315,NYJ,,TAM,W 16-13,,,,,,,,,,,
2,1991,1991-09-08,2,21.322,NYJ,@,SEA,L 13-20,,,,,,,,,,,
3,1991,1991-09-15,3,21.329,NYJ,,BUF,L 20-23,,,,,,,,,,,
4,1991,1991-09-23,4,21.337,NYJ,@,CHI,L 13-19,,,,,,,,,,,
5,1991,1991-09-29,5,21.343,NYJ,,MIA,W 41-23,,,,,,,,,,,
6,1991,1991-10-06,6,21.350,NYJ,@,CLE,W 17-14,,,,,,,,,,,
7,1991,1991-10-13,7,21.357,NYJ,,HOU,L 20-23,,0,0,,0,0,0,1.0,0,0,0
8,1991,1991-10-20,8,21.364,NYJ,@,IND,W 17-6,,,,,,,,,,,
9,1991,1991-11-03,9,22.013,NYJ,,GNB,W 19-16,,,,,,,,,,,
10,1991,1991-11-10,10,22.020,NYJ,,IND,L 27-28,,,,,,,,,,,
11,1991,1991-11-17,11,22.027,NYJ,@,NWE,W 28-21,,,,,,,,,,,
12,1991,1991-11-24,12,22.034,NYJ,,SDG,W 24-3,,,,,,,,,,,
13,1991,1991-12-01,13,22.041,NYJ,@,BUF,L 13-24,,,,,,,,,,,
14,1991,1991-12-08,14,22.048,NYJ,@,DET,L 20-34,,,,,,,,,,,
15,1991,1991-12-15,15,22.055,NYJ,,NWE,L 3-6,,,,,,,,,,,
16,1991,1991-12-22,16,22.062,NYJ,@,MIA,W 23-20,,,,,,,,,,,
17,1992,1992-09-06,1,22.321,NYJ,@,ATL,L 17-20,,,,,,,,,,,
18,1992,1992-09-13,2,22.328,NYJ,@,PIT,L 10-27,,,,,,,,,,,
19,1992,1992-09-20,3,22.335,NYJ,,SFO,L 14-31,,,,,,,,,,,
20,1992,1992-09-27,4,22.342,NYJ,@,RAM,L 10-18,,,,,,,,,,,
