ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1978,1978-09-03,1,22.239,BUF,,PIT,L 17-28,20,60,3.00,0,6,97,16.17,0,0,0,,0,0,0
2,1978,1978-09-10,2,22.246,BUF,,NYJ,L 20-21,16,71,4.44,0,3,18,6.00,0,0,0,,0,0,0
3,1978,1978-09-17,3,22.253,BUF,@,MIA,L 24-31,14,44,3.14,1,0,0,,0,0,0,,0,1,6
4,1978,1978-09-24,4,22.260,BUF,,BAL,W 24-17,25,97,3.88,0,1,2,2.00,0,0,0,,0,0,0
5,1978,1978-10-01,5,22.267,BUF,,KAN,W 28-13,18,67,3.72,1,1,3,3.00,0,0,0,,0,1,6
6,1978,1978-10-08,6,22.274,BUF,@,NYJ,L 14-45,12,39,3.25,0,4,94,23.50,0,0,0,,0,0,0
7,1978,1978-10-15,7,22.281,BUF,@,HOU,L 10-17,17,56,3.29,0,0,0,,0,0,0,,0,0,0
8,1978,1978-10-22,8,22.288,BUF,,CIN,W 5-0,12,46,3.83,0,2,2,1.00,0,0,0,,0,0,0
9,1978,1978-10-29,9,22.295,BUF,@,CLE,L 20-41,11,23,2.09,1,1,10,10.00,0,1,17,17.00,0,1,6
10,1978,1978-11-05,10,22.302,BUF,,NWE,L 10-14,12,58,4.83,0,1,10,10.00,0,0,0,,0,0,0
11,1978,1978-11-12,11,22.309,BUF,,MIA,L 24-25,9,17,1.89,0,0,0,,0,0,0,,0,0,0
12,1978,1978-11-19,12,22.316,BUF,@,TAM,L 10-31,7,20,2.86,0,1,3,3.00,0,0,0,,0,0,0
13,1978,1978-11-26,13,22.323,BUF,,NYG,W 41-17,21,208,9.90,2,2,7,3.50,0,0,0,,0,2,12
14,1978,1978-12-03,14,22.330,BUF,@,KAN,L 10-14,15,57,3.80,0,0,0,,0,0,0,,0,0,0
15,1978,1978-12-10,15,22.337,BUF,@,NWE,L 24-26,14,74,5.29,1,0,0,,0,0,0,,0,1,6
16,1978,1978-12-17,16,22.344,BUF,@,BAL,W 21-14,15,123,8.20,1,0,0,,0,0,0,,0,1,6
17,1979,1979-09-02,1,23.238,BUF,,MIA,L 7-9,9,24,2.67,0,0,0,,0,0,0,,0,0,0
18,1979,1979-09-09,2,23.245,BUF,,CIN,W 51-24,8,43,5.38,1,0,0,,0,0,0,,0,1,6
19,1979,1979-09-16,3,23.252,BUF,@,SDG,L 19-27,8,26,3.25,0,0,0,,0,3,67,22.33,0,0,0
20,1979,1979-09-23,4,23.259,BUF,,NYJ,W 46-31,12,40,3.33,0,2,26,13.00,0,1,16,16.00,0,0,0
21,1979,1979-09-30,5,23.266,BUF,@,BAL,W 31-13,4,13,3.25,0,2,49,24.50,0,4,77,19.25,0,0,0
22,1979,1979-10-07,6,23.273,BUF,,CHI,L 0-7,6,30,5.00,0,0,0,,0,0,0,,0,0,0
