ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,23.000,MIA,,NWE,W 24-10,,0,0,,0,0,0,1.0,,,0,0,0
2,1996,1996-09-08,2,23.007,MIA,@,ARI,W 38-10,,0,0,,0,,,,,,,,
3,1996,1996-09-15,3,23.014,MIA,,NYJ,W 36-27,,0,0,,0,,,,,,,,
4,1996,1996-09-23,4,23.022,MIA,@,IND,L 6-10,,0,0,,0,,,,,,,,
5,1996,1996-10-06,5,23.035,MIA,,SEA,L 15-22,,0,0,,0,,,,,,,,
6,1996,1996-10-13,6,23.042,MIA,@,BUF,W 21-7,,0,0,,0,0,0,1.0,,,1,11,0
7,1996,1996-10-20,7,23.049,MIA,@,PHI,L 28-35,,0,0,,0,,,,,,,,
8,1996,1996-10-27,8,23.056,MIA,,DAL,L 10-29,,0,0,,0,,,,,,,,
9,1996,1996-11-03,9,23.063,MIA,@,NWE,L 23-42,,1,17,17.00,0,0,0,0.0,,,0,0,0
10,1996,1996-11-10,10,23.070,MIA,,IND,W 37-13,,0,0,,0,,,,,,,,
11,1996,1996-11-17,11,23.077,MIA,@,HOU,W 23-20,,0,0,,0,1,6,0.0,,,1,26,1
12,1996,1996-11-25,12,23.085,MIA,,PIT,L 17-24,,0,0,,0,,,,,,,,
13,1996,1996-12-01,13,23.091,MIA,@,OAK,L 7-17,,0,0,,0,,,,,,,,
14,1996,1996-12-08,14,23.098,MIA,,NYG,L 7-17,,0,0,,0,,,,,,,,
15,1996,1996-12-16,15,23.106,MIA,,BUF,W 16-14,,0,0,,0,0,0,0.0,,,1,27,0
16,1996,1996-12-22,16,23.112,MIA,@,NYJ,W 31-28,,0,0,,0,,,,,,,,
17,1997,1997-09-07,2,24.006,MIA,,TEN,W 16-13,,,,,,,,,,,,,
18,1997,1997-09-14,3,24.013,MIA,@,GNB,L 18-23,,,,,,,,,,,,,
19,1997,1997-09-21,4,24.020,MIA,@,TAM,L 21-31,,0,0,,0,0,0,0.0,,,1,10,0
20,1997,1997-10-05,5,24.034,MIA,,KAN,W 17-14,,,,,,,,,,,,,
