ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1977,1977-09-18,1,22.096,CHI,,DET,W 30-20,,0,0,,0,0,0,,0,0,,,0,0,,0,4,84,21.00,0,0,0
2,1977,1977-09-25,2,22.103,CHI,@,STL,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,4,79,19.75,0,0,0
3,1977,1977-10-02,3,22.110,CHI,,NOR,L 24-42,,0,0,,0,0,0,,0,0,,,0,0,,0,2,58,29.00,0,0,0
4,1977,1977-11-20,10,22.159,CHI,,MIN,W 10-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0
5,1977,1977-11-24,11,22.163,CHI,@,DET,W 31-14,,0,0,,0,0,0,,0,0,,,0,0,,0,2,27,13.50,0,0,0
6,1977,1977-12-04,12,22.173,CHI,@,TAM,W 10-0,,,,,,,,,,,,,,,,,,,,,,
7,1977,1977-12-11,13,22.180,CHI,,GNB,W 21-10,,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,0,0
8,1978,1978-11-19,12,23.158,CHI,,ATL,W 13-7,,0,0,,0,0,0,,0,0,,,3,17,5.67,0,0,0,,0,0,0
9,1978,1978-11-26,13,23.165,CHI,,TAM,W 14-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,3,1.50,0,0,0,,0,0,0
10,1978,1978-12-04,14,23.173,CHI,@,SDG,L 7-40,,1,2,50.00,38,0,1,56.2,0,0,19.00,-3.50,1,3,3.00,0,0,0,,0,0,0
11,1979,1979-09-09,2,24.087,CHI,,MIN,W 26-7,,4,7,57.14,88,1,0,141.4,0,0,12.57,15.43,0,0,,0,0,0,,0,0,0
12,1979,1979-09-16,3,24.094,CHI,@,DAL,L 20-24,*,5,16,31.25,155,2,1,82.0,0,0,9.69,9.38,2,23,11.50,1,0,0,,0,1,6
13,1979,1979-09-23,4,24.101,CHI,@,MIA,L 16-31,*,11,17,64.71,92,0,2,39.0,0,0,5.41,0.12,6,32,5.33,0,0,0,,0,0,0
14,1979,1979-09-30,5,24.108,CHI,,TAM,L 13-17,*,12,23,52.17,173,1,2,55.2,0,0,7.52,4.48,4,17,4.25,0,0,0,,0,0,0
15,1980,1980-09-21,3,25.099,CHI,,MIN,L 14-34,,14,34,41.18,204,1,1,58.9,0,0,6.00,5.26,4,33,8.25,1,0,0,,0,1,6
16,1980,1980-09-28,4,25.106,CHI,@,PIT,L 3-38,,2,7,28.57,24,0,3,1.8,0,0,3.43,-15.86,1,7,7.00,0,0,0,,0,0,0
17,1980,1980-10-12,6,25.120,CHI,@,MIN,L 7-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
18,1980,1980-10-19,7,25.127,CHI,,DET,W 24-7,*,5,8,62.50,172,1,1,106.2,0,0,21.50,18.38,5,15,3.00,1,0,0,,0,1,6
19,1980,1980-10-26,8,25.134,CHI,@,PHI,L 14-17,*,10,18,55.56,113,0,2,35.0,0,0,6.28,1.28,8,23,2.88,1,0,0,,0,1,6
20,1980,1980-11-03,9,25.142,CHI,@,CLE,L 21-27,*,18,33,54.55,201,2,1,80.5,0,0,6.09,5.94,6,46,7.67,1,0,0,,0,1,6
21,1980,1980-11-09,10,25.148,CHI,,WAS,W 35-21,*,11,18,61.11,210,3,1,118.1,0,0,11.67,12.50,7,6,0.86,0,0,0,,0,0,0
22,1980,1980-11-16,11,25.155,CHI,,HOU,L 6-10,*,12,23,52.17,165,0,1,57.3,0,0,7.17,5.22,4,80,20.00,0,0,0,,0,0,0
23,1980,1980-11-23,12,25.162,CHI,@,ATL,L 17-28,*,19,33,57.58,184,0,0,73.3,0,0,5.58,5.58,7,40,5.71,1,0,0,,0,1,6
24,1980,1980-11-27,13,25.166,CHI,@,DET,W 23-17,*,11,22,50.00,167,1,0,90.5,0,0,7.59,8.50,4,27,6.75,1,0,0,,0,1,6
25,1980,1980-12-07,14,25.176,CHI,,GNB,W 61-7,*,18,22,81.82,316,3,0,158.3,0,0,14.36,17.09,4,8,2.00,0,0,0,,0,0,0
26,1980,1980-12-14,15,25.183,CHI,,CIN,L 14-17,*,13,28,46.43,132,0,4,20.8,0,0,4.71,-1.71,4,11,2.75,0,0,0,,0,0,0
27,1980,1980-12-20,16,25.189,CHI,@,TAM,W 14-13,*,15,31,48.39,151,0,2,35.8,0,0,4.87,1.97,6,10,1.67,2,0,0,,0,2,12
28,1981,1981-09-06,1,26.084,CHI,,GNB,L 9-16,*,17,35,48.57,185,0,0,64.6,3,24,5.29,5.29,2,4,2.00,0,0,0,,0,0,0
29,1981,1981-09-13,2,26.091,CHI,@,SFO,L 17-28,*,19,33,57.58,216,1,1,74.8,1,0,6.55,5.79,2,7,3.50,0,0,0,,0,0,0
30,1981,1981-09-20,3,26.098,CHI,,TAM,W 28-17,*,13,23,56.52,126,1,1,68.4,0,0,5.48,4.39,3,9,3.00,1,0,0,,0,1,6
31,1981,1981-09-28,4,26.106,CHI,,RAM,L 7-24,*,1,8,12.50,3,0,0,39.6,1,2,0.38,0.38,0,0,,0,0,0,,0,0,0
32,1981,1981-10-04,5,26.112,CHI,@,MIN,L 21-24,*,26,43,60.47,307,2,1,88.0,0,0,7.14,7.02,5,23,4.60,1,0,0,,0,1,6
33,1981,1981-10-11,6,26.119,CHI,,WAS,L 7-24,*,8,37,21.62,131,0,4,2.3,2,12,3.54,-1.32,1,1,1.00,0,0,0,,0,0,0
34,1981,1981-10-19,7,26.127,CHI,@,DET,L 17-48,*,18,31,58.06,298,1,1,87.8,1,10,9.61,8.81,2,3,1.50,0,0,0,,0,0,0
35,1981,1981-10-25,8,26.133,CHI,,SDG,W 20-17,*,17,39,43.59,219,0,0,61.8,0,0,5.62,5.62,3,24,8.00,0,0,0,,0,0,0
36,1981,1981-11-01,9,26.140,CHI,@,TAM,L 10-20,*,21,36,58.33,239,0,2,55.2,1,6,6.64,4.14,1,0,0.00,0,0,0,,0,0,0
37,1981,1981-11-08,10,26.147,CHI,@,KAN,W 16-13,*,7,30,23.33,77,1,0,50.7,0,0,2.57,3.23,5,10,2.00,0,0,0,,0,0,0
38,1981,1981-11-15,11,26.154,CHI,@,GNB,L 17-21,*,13,29,44.83,114,0,3,16.2,3,26,3.93,-0.72,4,31,7.75,0,0,0,,0,0,0
39,1981,1981-11-22,12,26.161,CHI,,DET,L 7-23,*,4,19,21.05,21,0,2,0.0,4,39,1.11,-3.63,0,0,,0,0,0,,0,0,0
40,1981,1981-11-26,13,26.165,CHI,@,DAL,L 9-10,*,6,18,33.33,60,0,1,20.6,2,17,3.33,0.83,4,9,2.25,1,0,0,,0,1,6
41,1981,1981-12-06,14,26.175,CHI,,MIN,W 10-9,*,0,3,0.00,0,0,1,0.0,2,18,0.00,-15.00,0,0,,0,0,0,,0,0,0
42,1981,1981-12-13,15,26.182,CHI,@,OAK,W 23-6,*,15,32,46.88,240,3,1,90.6,2,12,7.50,7.97,5,47,9.40,0,0,0,,0,0,0
43,1981,1981-12-20,16,26.189,CHI,,DEN,W 35-24,*,10,20,50.00,118,2,2,62.1,1,7,5.90,3.40,6,50,8.33,0,0,0,,0,0,0
44,1982,1982-09-12,1,27.090,CHI,@,DET,L 10-17,,7,15,46.67,89,0,0,65.7,1,5,5.93,5.93,2,0,0.00,0,0,0,,0,0,0
45,1982,1982-09-19,2,27.097,CHI,,NOR,L 0-10,,2,4,50.00,16,0,2,20.8,1,12,4.00,-18.50,0,0,,0,0,0,,0,0,0
46,1982,1982-11-28,4,27.167,CHI,@,MIN,L 7-35,,3,9,33.33,20,0,2,2.8,0,0,2.22,-7.78,0,0,,0,0,0,,0,0,0
47,1982,1982-12-19,7,27.188,CHI,,STL,L 7-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
48,1983,1983-09-04,1,28.082,CHI,,ATL,L 17-20,,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0,0,,0,0,0
49,1983,1983-09-18,3,28.096,CHI,@,NOR,L 31-34,,7,14,50.00,128,0,2,42.3,3,32,9.14,2.71,2,11,5.50,0,0,0,,0,0,0
50,1983,1983-09-25,4,28.103,CHI,@,BAL,L 19-22,,8,16,50.00,153,1,2,64.8,0,0,9.56,5.19,3,10,3.33,1,0,0,,0,1,6
51,1983,1983-10-02,5,28.110,CHI,,DEN,W 31-14,,1,3,33.33,72,1,1,81.9,0,0,24.00,15.67,4,4,1.00,0,0,0,,0,0,0
52,1983,1983-10-09,6,28.117,CHI,,MIN,L 14-23,,11,21,52.38,167,0,0,78.9,1,3,7.95,7.95,3,30,10.00,0,0,0,,0,0,0
53,1983,1983-10-16,7,28.124,CHI,@,DET,L 17-31,*,28,45,62.22,336,2,0,99.9,4,27,7.47,8.36,2,19,9.50,0,0,0,,0,0,0
54,1983,1983-10-23,8,28.131,CHI,@,PHI,W 7-6,*,9,18,50.00,102,1,0,85.9,2,16,5.67,6.78,4,41,10.25,0,0,0,,0,0,0
55,1983,1983-10-30,9,28.138,CHI,,DET,L 17-38,*,11,23,47.83,131,0,2,29.4,1,14,5.70,1.78,3,14,4.67,0,0,0,,0,0,0
56,1983,1983-11-13,11,28.152,CHI,,PHI,W 17-14,,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,1,13,13.00,0,0,0,,0,0,0
57,1987,1987-10-04,3,32.112,RAI,,KAN,W 35-17,*,10,18,55.56,248,2,0,137.5,0,0,13.78,16.00,4,63,15.75,1,0,0,,0,1,6
58,1987,1987-10-12,4,32.120,RAI,@,DEN,L 14-30,*,18,34,52.94,175,1,3,40.7,2,0,5.15,1.76,3,34,11.33,0,0,0,,0,0,0
59,1987,1987-10-18,5,32.126,RAI,,SDG,L 17-23,*,11,31,35.48,207,2,1,67.5,5,0,6.68,6.52,4,47,11.75,0,0,0,,0,0,0
60,1989,1989-11-19,11,34.158,RAI,@,HOU,L 7-23,,2,2,100.00,50,0,0,118.7,2,0,25.00,25.00,1,16,16.00,0,0,0,,0,0,0
61,1990,1990-09-30,4,35.108,RAI,,CHI,W 24-10,,0,0,,0,0,0,,,0,,,1,-2,-2.00,0,0,0,,0,0,0
62,1990,1990-11-25,11,35.164,RAI,,KAN,L 24-27,,1,1,100.00,36,0,0,118.7,0,0,36.00,36.00,0,0,,0,0,0,,0,0,0
63,1990,1990-12-02,12,35.171,RAI,@,DEN,W 23-20,,,,,,,,,,,,,,,,,,,,,,
64,1990,1990-12-16,14,35.185,RAI,,CIN,W 24-7,,,,,,,,,,,,,,,,,,,,,,
65,1990,1990-12-22,15,35.191,RAI,@,MIN,W 28-24,,,,,,,,,,,,,,,,,,,,,,
66,1991,1991-09-01,1,36.079,RAI,@,HOU,L 17-47,,6,10,60.00,127,1,1,97.9,1,0,12.70,10.20,3,11,3.67,0,0,0,,0,0,0
67,1991,1991-11-17,11,36.156,RAI,,SEA,W 31-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-4,-2.00,0,0,0,,0,0,0
68,1991,1991-11-24,12,36.163,RAI,@,CIN,W 38-14,,0,0,,0,0,0,,,0,,,2,2,1.00,0,0,0,,0,0,0
69,1991,1991-12-16,15,36.185,RAI,@,NOR,L 0-27,,0,3,0.00,0,0,1,0.0,1,0,0.00,-15.00,1,11,11.00,0,0,0,,0,0,0
70,1992,1992-11-29,12,37.168,RAI,@,SDG,L 3-27,,2,5,40.00,25,0,0,56.2,0,0,5.00,5.00,0,0,,0,0,0,,0,0,0
71,1992,1992-12-06,13,37.175,RAI,,KAN,W 28-7,,0,0,,0,0,0,,,0,,,2,-3,-1.50,0,0,0,,0,0,0
72,1992,1992-12-14,14,37.183,RAI,@,MIA,L 7-20,,3,6,50.00,18,0,0,56.2,1,0,3.00,3.00,1,16,16.00,0,0,0,,0,0,0
73,1992,1992-12-20,15,37.189,RAI,,SDG,L 14-36,,9,20,45.00,115,2,2,57.3,2,0,5.75,3.25,3,24,8.00,0,0,0,,0,0,0
74,1992,1992-12-26,16,37.195,RAI,@,WAS,W 21-20,,15,22,68.18,214,2,1,110.8,0,0,9.73,9.50,5,42,8.40,0,0,0,,0,0,0
75,1993,1993-09-05,1,38.083,RAI,,MIN,W 24-7,,,,,,,,,,,,,,,,,,,,,,
76,1993,1993-09-19,3,38.097,RAI,,CLE,L 16-19,,2,2,100.00,30,0,0,118.7,1,0,15.00,15.00,0,0,,0,0,0,,0,0,0
77,1993,1993-10-03,4,38.111,RAI,@,KAN,L 9-24,*,15,26,57.69,192,1,0,93.7,6,0,7.38,8.15,4,23,5.75,0,0,0,,0,0,0
78,1993,1993-10-10,5,38.118,RAI,,NYJ,W 24-20,,14,22,63.64,247,2,1,113.3,0,0,11.23,11.00,3,24,8.00,0,0,0,,0,0,0
79,1993,1993-10-18,6,38.126,RAI,@,DEN,W 23-20,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0
80,1993,1993-11-21,10,38.160,RAI,@,SDG,W 12-7,,,,,,,,,,,,,,,,,,,,,,
81,1993,1993-12-12,13,38.181,RAI,,SEA,W 27-23,,3,5,60.00,39,0,1,45.0,1,0,7.80,-1.20,3,0,0.00,0,0,0,,0,0,0
82,1993,1993-12-26,15,38.195,RAI,@,GNB,L 0-28,,11,20,55.00,132,0,1,54.6,4,0,6.60,4.35,4,4,1.00,0,0,0,,0,0,0
83,1994,1994-09-05,1,39.083,RAI,@,SFO,L 14-44,,2,5,40.00,28,0,0,58.7,2,0,5.60,5.60,2,4,2.00,0,0,0,,0,0,0
84,1994,1994-09-11,2,39.089,RAI,,SEA,L 9-38,,4,7,57.14,50,0,0,79.5,3,0,7.14,7.14,1,23,23.00,0,0,0,,0,0,0
85,1994,1994-09-18,3,39.096,RAI,@,DEN,W 48-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
86,1994,1994-09-25,4,39.103,RAI,,SDG,L 24-26,,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,0,0,,0,0,0,,0,0,0
87,1994,1994-10-16,6,39.124,RAI,@,MIA,L 17-20,,1,4,25.00,8,0,0,39.6,1,0,2.00,2.00,0,0,,0,0,0,,0,0,0
88,1994,1994-11-13,10,39.152,RAI,@,RAM,W 20-17,,0,1,0.00,0,0,0,39.6,1,0,0.00,0.00,3,-3,-1.00,0,0,0,,0,0,0
89,1994,1994-11-27,12,39.166,RAI,,PIT,L 3-21,,7,11,63.64,61,0,0,78.2,2,0,5.55,5.55,0,0,,0,0,0,,0,0,0
90,1994,1994-12-05,13,39.174,RAI,@,SDG,W 24-17,,2,2,100.00,9,1,0,125.0,0,0,4.50,14.50,0,0,,0,0,0,,0,0,0
91,1994,1994-12-24,16,39.193,RAI,,KAN,L 9-19,,1,1,100.00,65,1,0,158.3,0,0,65.00,85.00,0,0,,0,0,0,,0,0,0
92,1995,1995-09-24,4,40.102,OAK,,PHI,W 48-17,,3,4,75.00,79,1,0,156.2,0,0,19.75,24.75,1,-1,-1.00,0,0,0,,0,0,0
93,1995,1995-10-01,5,40.109,OAK,@,NYJ,W 47-10,,0,0,,0,0,0,,,,,,2,-2,-1.00,0,0,0,,0,0,0
94,1995,1995-10-16,7,40.124,OAK,@,DEN,L 0-27,,5,14,35.71,64,0,1,21.1,1,9,4.57,1.36,0,0,,0,0,0,,0,0,0
95,1995,1995-10-22,8,40.130,OAK,,IND,W 30-17,*,23,35,65.71,335,2,1,103.9,3,13,9.57,9.43,4,15,3.75,0,0,0,,0,0,0
96,1995,1995-11-05,9,40.144,OAK,@,CIN,W 20-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
97,1995,1995-11-19,11,40.158,OAK,,DAL,L 21-34,,20,41,48.78,232,2,1,72.4,0,0,5.66,5.54,3,10,3.33,0,0,0,,0,0,0
98,1995,1995-11-27,12,40.166,OAK,@,SDG,L 6-12,*,17,32,53.13,192,0,3,32.3,3,28,6.00,1.78,0,0,,0,0,0,,0,0,0
99,1995,1995-12-03,13,40.172,OAK,,KAN,L 23-29,*,23,37,62.16,227,0,2,56.9,4,20,6.14,3.70,1,1,1.00,0,0,0,,0,0,0
100,1995,1995-12-24,16,40.193,OAK,,DEN,L 28-31,,9,11,81.82,107,1,0,137.5,0,0,9.73,11.55,3,13,4.33,0,0,0,,0,0,0
