ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2014,2014-09-07,1,21.242,CLE,@,PIT,L 27-30,,5,32,6.40,2,0,0,0,,0,0.0%,,,2,12
2,2014,2014-09-14,2,21.249,CLE,,NOR,W 26-24,,11,54,4.91,0,1,1,3,3.00,0,100.0%,3.00,,0,0
3,2014,2014-09-21,3,21.256,CLE,,BAL,L 21-23,,11,55,5.00,1,0,0,0,,0,0.0%,,,1,6
4,2014,2014-10-05,4,21.270,CLE,@,TEN,W 29-28,,6,19,3.17,0,0,0,0,,0,0.0%,,,0,0
5,2014,2014-10-12,5,21.277,CLE,,PIT,W 31-10,,11,77,7.00,1,0,0,0,,0,0.0%,,,1,6
6,2014,2014-10-19,6,21.284,CLE,@,JAX,L 6-24,,7,18,2.57,0,2,1,5,5.00,0,50.0%,2.50,,0,0
7,2014,2014-10-26,7,21.291,CLE,,OAK,W 23-13,,1,1,1.00,0,1,1,8,8.00,0,100.0%,8.00,,0,0
8,2014,2014-11-02,8,21.298,CLE,,TAM,W 22-17,,,,,,,,,,,0.0%,,,,
9,2014,2014-11-06,9,21.302,CLE,@,CIN,W 24-3,,12,41,3.42,1,0,0,0,,0,0.0%,,,1,6
10,2014,2014-11-16,10,21.312,CLE,,HOU,L 7-23,*,14,61,4.36,0,4,2,30,15.00,0,50.0%,7.50,,0,0
11,2014,2014-11-23,11,21.319,CLE,@,ATL,W 26-24,*,12,88,7.33,2,0,0,0,,0,0.0%,,,2,12
12,2014,2014-11-30,12,21.326,CLE,@,BUF,L 10-26,*,17,29,1.71,0,2,1,15,15.00,0,50.0%,7.50,,0,0
13,2014,2014-12-07,13,21.333,CLE,,IND,L 24-25,,14,54,3.86,1,0,0,0,,0,0.0%,,,1,6
14,2014,2014-12-14,14,21.340,CLE,,CIN,L 0-30,,7,17,2.43,0,3,2,10,5.00,0,66.7%,3.33,,0,0
15,2014,2014-12-21,15,21.347,CLE,@,CAR,L 13-17,*,16,55,3.44,0,0,0,0,,0,0.0%,,,0,0
16,2014,2014-12-28,16,21.354,CLE,@,BAL,L 10-20,,4,6,1.50,0,1,1,16,16.00,0,100.0%,16.00,,0,0
17,2015,2015-09-13,1,22.248,CLE,@,NYJ,L 10-31,,12,20,1.67,0,2,2,13,6.50,0,100.0%,6.50,,0,0
18,2015,2015-09-20,2,22.255,CLE,,TEN,W 28-14,*,15,72,4.80,1,0,0,0,,0,0.0%,,,1,6
19,2015,2015-09-27,3,22.262,CLE,,OAK,L 20-27,*,10,36,3.60,0,0,0,0,,0,0.0%,,,0,0
20,2015,2015-10-04,4,22.269,CLE,@,SDG,L 27-30,,12,63,5.25,0,3,3,62,20.67,0,100.0%,20.67,,0,0
21,2015,2015-10-11,5,22.276,CLE,@,BAL,W 33-30,,13,49,3.77,0,2,2,38,19.00,1,100.0%,19.00,,1,6
22,2015,2015-10-18,6,22.283,CLE,,DEN,L 23-26,*,11,32,2.91,0,2,2,9,4.50,0,100.0%,4.50,,0,0
23,2015,2015-10-25,7,22.290,CLE,@,STL,L 6-24,*,8,9,1.13,0,0,0,0,,0,0.0%,,,0,0
24,2015,2015-11-01,8,22.297,CLE,,ARI,L 20-34,*,10,14,1.40,0,2,1,12,12.00,0,50.0%,6.00,,0,0
25,2015,2015-11-05,9,22.301,CLE,@,CIN,L 10-31,*,10,38,3.80,0,4,3,26,8.67,0,75.0%,6.50,,0,0
26,2015,2015-11-15,10,22.311,CLE,@,PIT,L 9-30,*,6,-5,-0.83,0,2,1,4,4.00,0,50.0%,2.00,,0,0
27,2015,2015-11-30,11,22.326,CLE,,BAL,L 27-33,,7,7,1.00,0,0,0,0,,0,0.0%,,,0,0
28,2015,2015-12-06,12,22.332,CLE,,CIN,L 3-37,*,11,62,5.64,0,1,1,2,2.00,0,100.0%,2.00,,0,0
29,2015,2015-12-13,13,22.339,CLE,,SFO,W 24-10,,20,145,7.25,2,1,1,9,9.00,0,100.0%,9.00,,2,12
30,2015,2015-12-20,14,22.346,CLE,@,SEA,L 13-30,,9,23,2.56,0,3,3,7,2.33,0,100.0%,2.33,,0,0
31,2015,2015-12-27,15,22.353,CLE,@,KAN,L 13-17,,16,88,5.50,1,0,0,0,,0,0.0%,,,1,6
32,2015,2016-01-03,16,22.360,CLE,,PIT,L 12-28,*,15,53,3.53,0,0,0,0,,0,0.0%,,,0,0
33,2016,2016-09-11,1,23.247,CLE,@,PHI,L 10-29,*,12,62,5.17,1,2,2,16,8.00,0,100.0%,8.00,,1,6
34,2016,2016-09-18,2,23.254,CLE,,BAL,L 20-25,*,18,133,7.39,1,1,1,15,15.00,0,100.0%,15.00,,1,6
35,2016,2016-09-25,3,23.261,CLE,@,MIA,L 24-30,*,15,79,5.27,0,1,0,0,,0,0.0%,0.00,,0,0
36,2016,2016-10-02,4,23.268,CLE,@,WAS,L 20-31,*,16,120,7.50,1,4,3,22,7.33,0,75.0%,5.50,,1,6
37,2016,2016-10-09,5,23.275,CLE,,NWE,L 13-33,*,13,22,1.69,0,3,1,18,18.00,0,33.3%,6.00,,0,0
38,2016,2016-10-16,6,23.282,CLE,@,TEN,L 26-28,*,9,16,1.78,0,2,2,20,10.00,0,100.0%,10.00,,0,0
39,2016,2016-10-23,7,23.289,CLE,@,CIN,L 17-31,*,12,63,5.25,1,4,3,16,5.33,0,75.0%,4.00,,1,6
40,2016,2016-10-30,8,23.296,CLE,,NYJ,L 28-31,*,11,29,2.64,1,2,2,34,17.00,0,100.0%,17.00,,1,6
41,2016,2016-11-06,9,23.303,CLE,,DAL,L 10-35,*,6,4,0.67,0,4,4,63,15.75,0,100.0%,15.75,,0,0
42,2016,2016-11-10,10,23.307,CLE,@,BAL,L 7-28,*,9,23,2.56,0,5,3,30,10.00,0,60.0%,6.00,,0,0
43,2016,2016-11-20,11,23.317,CLE,,PIT,L 9-24,*,8,10,1.25,0,5,5,13,2.60,0,100.0%,2.60,,0,0
