ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2002,2002-09-08,1,23.164,SDG,@,CIN,W 34-6,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,
2,2002,2002-09-15,2,23.171,SDG,,HOU,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,-2,-2.00,0,0,0
3,2002,2002-09-22,3,23.178,SDG,@,ARI,W 23-15,,2,0,0,,0,0.0%,0.00,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
4,2002,2002-09-29,4,23.185,SDG,,NWE,W 21-14,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,
5,2002,2002-10-06,5,23.192,SDG,@,DEN,L 9-26,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
6,2002,2002-10-13,6,23.199,SDG,,KAN,W 35-34,,5,3,25,8.33,1,60.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
7,2002,2002-10-20,7,23.206,SDG,@,OAK,W 27-21,,2,1,9,9.00,1,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,1,39,39.00,0,0,0,,0,1,6
8,2002,2002-11-03,8,23.220,SDG,,NYJ,L 13-44,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,5,101,20.20,0,0,0,,0,0,0
9,2002,2002-11-10,9,23.227,SDG,@,STL,L 24-28,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
10,2002,2002-11-17,10,23.234,SDG,,SFO,W 20-17,,7,3,21,7.00,1,42.9%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,2,52,26.00,0,0,0,,0,1,6
