ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-11-19,10,24.323,WAS,@,TAM,L 17-20,*,19,34,55.88,196,2,0,92.3,1,3,5.76,6.94,6,6,1.00,0,0,0,0.0,,
2,2006,2006-11-26,11,24.330,WAS,,CAR,W 17-13,*,11,23,47.83,118,2,1,74.2,1,8,5.13,4.91,4,7,1.75,0,0,0,0.0,,
3,2006,2006-12-03,12,24.337,WAS,,ATL,L 14-24,*,18,38,47.37,217,1,2,52.2,1,13,5.71,3.87,2,15,7.50,0,0,0,0.0,,
4,2006,2006-12-10,13,24.344,WAS,,PHI,L 19-21,*,15,27,55.56,182,1,2,57.9,2,17,6.74,4.15,4,38,9.50,0,0,0,0.0,,
5,2006,2006-12-17,14,24.351,WAS,@,NOR,W 16-10,*,13,28,46.43,204,1,0,83.0,1,11,7.29,8.00,4,4,1.00,0,0,0,0.0,,
6,2006,2006-12-24,15,24.358,WAS,@,STL,L 31-37,*,13,26,50.00,160,1,0,82.2,0,0,6.15,6.92,1,7,7.00,0,0,0,0.0,,
7,2006,2006-12-30,16,24.364,WAS,,NYG,L 28-34,*,21,31,67.74,220,2,1,96.2,1,3,7.10,6.94,3,30,10.00,0,0,0,0.0,,
8,2007,2007-09-09,1,25.252,WAS,,MIA,W 16-13,*,12,21,57.14,222,0,2,54.2,2,13,10.57,6.29,4,29,7.25,0,0,0,0.0,,
9,2007,2007-09-17,2,25.260,WAS,@,PHI,W 20-12,*,16,29,55.17,209,1,1,75.2,1,2,7.21,6.34,6,39,6.50,0,0,0,0.0,,
10,2007,2007-09-23,3,25.266,WAS,,NYG,L 17-24,*,16,34,47.06,190,1,0,74.4,2,12,5.59,6.18,4,12,3.00,0,0,0,0.0,,
11,2007,2007-10-07,4,25.280,WAS,,DET,W 34-3,*,23,29,79.31,248,2,0,125.3,0,0,8.55,9.93,2,0,0.00,0,0,0,0.0,,
12,2007,2007-10-14,5,25.287,WAS,@,GNB,L 14-17,*,21,37,56.76,217,1,1,71.6,3,7,5.86,5.19,2,6,3.00,1,1,6,0.0,,
13,2007,2007-10-21,6,25.294,WAS,,ARI,W 21-19,*,12,18,66.67,95,0,1,56.5,1,8,5.28,2.78,2,7,3.50,0,0,0,0.0,,
14,2007,2007-10-28,7,25.301,WAS,@,NWE,L 7-52,*,21,36,58.33,197,1,1,71.2,3,20,5.47,4.78,1,7,7.00,0,0,0,0.0,,
15,2007,2007-11-04,8,25.308,WAS,@,NYJ,W 23-20,*,12,23,52.17,142,0,1,53.2,1,7,6.17,4.22,2,31,15.50,0,0,0,0.0,,
16,2007,2007-11-11,9,25.315,WAS,,PHI,L 25-33,*,23,34,67.65,215,3,0,114.2,1,12,6.32,8.09,4,16,4.00,0,0,0,0.0,,
17,2007,2007-11-18,10,25.322,WAS,@,DAL,L 23-28,*,33,54,61.11,348,2,1,84.5,1,6,6.44,6.35,2,18,9.00,0,0,0,0.0,,
18,2007,2007-11-25,11,25.329,WAS,@,TAM,L 13-19,*,30,49,61.22,301,1,2,68.5,2,9,6.14,4.71,2,4,2.00,0,0,0,0.0,,
19,2007,2007-12-02,12,25.336,WAS,,BUF,L 16-17,*,21,37,56.76,216,0,1,62.4,4,14,5.84,4.62,3,18,6.00,0,0,0,0.0,,
20,2007,2007-12-06,13,25.340,WAS,,CHI,W 24-16,*,10,16,62.50,100,0,0,80.2,0,0,6.25,6.25,2,-2,-1.00,0,0,0,0.0,,
21,2008,2008-09-04,1,26.248,WAS,@,NYG,L 7-16,*,15,27,55.56,133,1,0,81.2,1,8,4.93,5.67,0,0,,0,0,0,0.0,0,0
22,2008,2008-09-14,2,26.258,WAS,,NOR,W 29-24,*,24,36,66.67,321,1,0,104.1,2,15,8.92,9.47,3,1,0.33,0,0,0,0.0,0,0
23,2008,2008-09-21,3,26.265,WAS,,ARI,W 24-17,*,22,30,73.33,193,2,0,112.2,2,17,6.43,7.77,4,26,6.50,0,0,0,0.0,0,0
24,2008,2008-09-28,4,26.272,WAS,@,DAL,W 26-24,*,20,31,64.52,231,2,0,108.4,2,11,7.45,8.74,4,3,0.75,0,0,0,0.0,0,0
25,2008,2008-10-05,5,26.279,WAS,@,PHI,W 23-17,*,16,29,55.17,176,0,0,73.3,1,9,6.07,6.07,6,14,2.33,0,0,0,0.0,0,0
26,2008,2008-10-12,6,26.286,WAS,,STL,L 17-19,*,18,26,69.23,208,0,0,93.1,4,21,8.00,8.00,2,19,9.50,0,0,0,0.0,0,0
27,2008,2008-10-19,7,26.293,WAS,,CLE,W 14-11,*,14,23,60.87,164,1,0,97.0,1,6,7.13,8.00,2,1,0.50,0,0,0,0.0,0,0
28,2008,2008-10-26,8,26.300,WAS,@,DET,W 25-17,*,23,28,82.14,328,1,0,127.4,3,24,11.71,12.43,3,-2,-0.67,0,0,0,0.0,0,0
29,2008,2008-11-03,9,26.308,WAS,,PIT,L 6-23,*,24,43,55.81,206,0,2,49.2,7,45,4.79,2.70,1,5,5.00,0,0,0,0.0,0,0
30,2008,2008-11-16,10,26.321,WAS,,DAL,L 10-14,*,22,34,64.71,162,1,1,73.4,3,26,4.76,4.03,1,22,22.00,0,0,0,0.0,0,0
31,2008,2008-11-23,11,26.328,WAS,@,SEA,W 20-17,*,20,33,60.61,206,1,0,88.7,2,7,6.24,6.85,6,32,5.33,0,0,0,0.0,0,0
