ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2012,2012-09-23,3,24.167,DET,@,TEN,L 41-44,,,,,,,0.0%,,,,,,,
2,2012,2012-09-30,4,24.174,DET,,MIN,L 13-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
3,2012,2012-10-14,5,24.188,DET,@,PHI,W 26-23,,,,,,,0.0%,,,,,,,
4,2012,2012-10-22,6,24.196,DET,@,CHI,L 7-13,,4,3,51,17.00,1,75.0%,12.75,0,0,,0,1,6
5,2012,2012-10-28,7,24.202,DET,,SEA,W 28-24,,5,3,37,12.33,1,60.0%,7.40,0,0,,0,1,6
6,2012,2012-11-04,8,24.209,DET,@,JAX,W 31-14,*,6,6,52,8.67,0,100.0%,8.67,0,0,,0,0,0
7,2012,2012-11-11,9,24.216,DET,@,MIN,L 24-34,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
8,2012,2012-11-18,10,24.223,DET,,GNB,L 20-24,,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0
9,2012,2012-11-22,11,24.227,DET,,HOU,L 31-34,,12,6,126,21.00,0,50.0%,10.50,0,0,,0,0,0
10,2012,2012-12-02,12,24.237,DET,,IND,L 33-35,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
11,2013,2013-09-22,3,25.166,DET,@,WAS,W 27-20,,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0
12,2013,2013-09-29,4,25.173,DET,,CHI,W 40-32,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
13,2013,2013-10-06,5,25.180,DET,@,GNB,L 9-22,*,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0
14,2013,2013-10-13,6,25.187,DET,@,CLE,W 31-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
15,2013,2013-10-20,7,25.194,DET,,CIN,L 24-27,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0
16,2013,2013-10-27,8,25.201,DET,,DAL,W 31-30,*,2,1,8,8.00,0,50.0%,4.00,1,4,4.00,0,0,0
17,2014,2014-09-28,4,26.172,DET,@,NYJ,W 24-17,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0
18,2014,2014-10-05,5,26.179,DET,,BUF,L 14-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
19,2014,2014-10-12,6,26.186,DET,@,MIN,W 17-3,,,,,,,0.0%,,,,,,,
20,2014,2014-10-19,7,26.193,DET,,NOR,W 24-23,,,,,,,0.0%,,,,,,,
21,2014,2014-10-26,8,26.200,DET,@,ATL,W 22-21,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
