ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1970,1970-09-20,1,22.325,SFO,,WAS,W 26-17,0,0,,0,0,0,,0,1,5,5.00,0,0,0
2,1970,1970-09-27,2,22.332,SFO,,CLE,W 34-31,1,21,21.00,0,0,0,,0,0,0,,0,0,0
3,1970,1970-10-04,3,22.339,SFO,@,ATL,L 20-21,4,90,22.50,0,0,0,,0,0,0,,0,0,0
4,1970,1970-10-11,4,22.346,SFO,@,RAM,W 20-6,2,25,12.50,0,0,0,,0,0,0,,0,0,0
5,1970,1970-10-18,5,22.353,SFO,,NOR,T 20-20,,,,,,,,,,,,,,
6,1970,1970-10-25,6,22.360,SFO,,DEN,W 19-14,,,,,,,,,,,,,,
7,1970,1970-11-01,7,23.002,SFO,,GNB,W 26-10,,,,,,,,,,,,,,
8,1970,1970-11-08,8,23.009,SFO,@,CHI,W 37-16,,,,,,,,,,,,,,
9,1970,1970-11-15,9,23.016,SFO,@,HOU,W 30-20,0,0,,0,1,0,0.00,0,0,0,,0,0,0
10,1970,1970-11-22,10,23.023,SFO,@,DET,L 7-28,,,,,,,,,,,,,,
11,1970,1970-11-29,11,23.030,SFO,,RAM,L 13-30,,,,,,,,,,,,,,
12,1970,1970-12-06,12,23.037,SFO,,ATL,W 24-20,,,,,,,,,,,,,,
13,1970,1970-12-13,13,23.044,SFO,@,NOR,W 38-27,,,,,,,,,,,,,,
14,1970,1970-12-20,14,23.051,SFO,@,OAK,W 38-7,,,,,,,,,,,,,,
15,1971,1971-09-19,1,23.324,SFO,@,ATL,L 17-20,,,,,,,,,,,,,,
16,1971,1971-09-26,2,23.331,SFO,@,NOR,W 38-20,,,,,,,,,,,,,,
17,1971,1971-10-03,3,23.338,SFO,@,PHI,W 31-3,,,,,,,,,,,,,,
18,1971,1971-10-10,4,23.345,SFO,,RAM,L 13-20,,,,,,,,,,,,,,
19,1971,1971-10-17,5,23.352,SFO,,CHI,W 13-0,,,,,,,,,,,,,,
20,1971,1971-10-24,6,23.359,SFO,@,STL,W 26-14,,,,,,,,,,,,,,
21,1971,1971-10-31,7,24.001,SFO,,NWE,W 27-10,,,,,,,,,,,,,,
22,1971,1971-11-07,8,24.008,SFO,@,MIN,W 13-9,1,6,6.00,0,0,0,,0,0,0,,0,0,0
23,1971,1971-11-14,9,24.015,SFO,,NOR,L 20-26,,,,,,,,,,,,,,
24,1971,1971-11-21,10,24.022,SFO,@,RAM,L 6-17,2,33,16.50,0,0,0,,0,0,0,,0,0,0
25,1971,1971-11-28,11,24.029,SFO,@,NYJ,W 24-21,,,,,,,,,,,,,,
26,1971,1971-12-06,12,24.037,SFO,,KAN,L 17-26,,,,,,,,,,,,,,
27,1971,1971-12-12,13,24.043,SFO,,ATL,W 24-3,0,0,,0,0,0,,0,1,2,2.00,0,0,0
28,1971,1971-12-19,14,24.050,SFO,,DET,W 31-27,,,,,,,,,,,,,,
29,1972,1972-09-17,1,24.323,SFO,,SDG,W 34-3,,,,,,,,,,,,,,
30,1972,1972-09-24,2,24.330,SFO,@,BUF,L 20-27,,,,,,,,,,,,,,
31,1972,1972-10-01,3,24.337,SFO,@,NOR,W 37-2,2,34,17.00,0,0,0,,0,0,0,,0,0,0
32,1972,1972-10-08,4,24.344,SFO,@,RAM,L 7-31,2,21,10.50,0,0,0,,0,0,0,,0,0,0
33,1972,1972-10-15,5,24.351,SFO,,NYG,L 17-23,1,7,7.00,0,0,0,,0,0,0,,0,0,0
34,1972,1972-10-22,6,24.358,SFO,,NOR,T 20-20,,,,,,,,,,,,,,
35,1972,1972-10-29,7,24.365,SFO,@,ATL,W 49-14,1,28,28.00,1,0,0,,0,0,0,,0,1,6
36,1972,1972-11-05,8,25.006,SFO,@,GNB,L 24-34,1,28,28.00,0,0,0,,0,0,0,,0,0,0
37,1972,1972-11-12,9,25.013,SFO,,BAL,W 24-21,,,,,,,,,,,,,,
38,1972,1972-11-19,10,25.020,SFO,@,CHI,W 34-21,,,,,,,,,,,,,,
39,1972,1972-11-23,11,25.024,SFO,@,DAL,W 31-10,,,,,,,,,,,,,,
40,1972,1972-12-04,12,25.035,SFO,,RAM,L 16-26,3,33,11.00,0,0,0,,0,0,0,,0,0,0
41,1972,1972-12-10,13,25.041,SFO,,ATL,W 20-0,,,,,,,,,,,,,,
42,1972,1972-12-16,14,25.047,SFO,,MIN,W 20-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0
43,1973,1973-09-16,1,25.321,NOR,,ATL,L 7-62,,,,,,,,,,,,,,
