ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-11-25,11,23.031,SDG,@,HOU,L 27-33,2,21,10.50,1,0,0,,0,1,6,0,0,,0
2,1962,1962-12-02,12,23.038,SDG,,OAK,W 31-21,1,18,18.00,0,0,0,,0,0,0,0,0,,0
3,1964,1964-12-20,14,25.056,KAN,,NYJ,W 24-7,3,54,18.00,1,0,0,,0,1,6,0,0,,0
4,1965,1965-09-26,3,25.336,KAN,@,SDG,T 10-10,1,7,7.00,0,0,0,,0,0,0,0,0,,0
5,1965,1965-10-03,4,25.343,KAN,,BOS,W 27-17,1,14,14.00,0,0,0,,0,0,0,0,0,,0
6,1965,1965-10-24,7,25.364,KAN,@,HOU,L 36-38,2,25,12.50,0,0,0,,0,0,0,0,0,,0
7,1965,1965-11-07,9,26.013,KAN,,NYJ,L 10-13,2,19,9.50,0,0,0,,0,0,0,0,0,,0
8,1966,1966-09-25,3,26.335,KAN,@,BOS,W 43-24,2,47,23.50,0,0,0,,0,0,0,0,0,,0
9,1966,1966-10-16,6,26.356,KAN,,OAK,L 13-34,1,13,13.00,0,0,0,,0,0,0,0,0,,0
10,1966,1966-10-23,7,26.363,KAN,@,DEN,W 56-10,1,2,2.00,1,0,0,,0,1,6,0,0,,0
11,1966,1966-10-30,8,27.005,KAN,,HOU,W 48-23,3,92,30.67,2,0,0,,0,2,12,0,0,,0
12,1967,1967-10-29,7,28.004,KAN,,DEN,W 52-9,0,0,,0,0,0,,0,0,0,1,42,42.00,0
13,1967,1967-11-12,9,28.018,KAN,@,BOS,W 33-10,1,3,3.00,0,0,0,,0,0,0,0,0,,0
14,1967,1967-12-17,14,28.053,KAN,@,DEN,W 38-24,1,23,23.00,0,1,2,2.00,0,0,0,0,0,,0
15,1968,1968-09-15,2,28.326,KAN,,NYJ,L 19-20,1,7,7.00,0,0,0,,0,0,0,0,0,,0
16,1968,1968-09-28,4,28.339,KAN,@,MIA,W 48-3,0,0,,0,0,0,,0,0,0,1,52,52.00,0
17,1968,1968-10-20,7,28.361,KAN,,OAK,W 24-10,0,0,,0,0,0,,0,0,0,1,49,49.00,0
18,1968,1968-12-08,13,29.044,KAN,@,SDG,W 40-3,1,19,19.00,0,0,0,,0,0,0,0,0,,0
