ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-10-13,6,25.191,STL,,OAK,W 28-13,*,14,21,66.67,186,3,0,134.1,3,22,8.86,11.71,4,-1,-0.25,1,0,0,0,,0,0.0%,,1,6,0.0,,
2,2002,2002-10-20,7,25.198,STL,,SEA,W 37-20,*,22,40,55.00,265,1,1,73.4,1,5,6.63,6.00,3,-5,-1.67,0,0,0,0,,0,0.0%,,0,0,0.0,,
3,2002,2002-11-03,8,25.212,STL,@,ARI,W 27-14,*,20,29,68.97,245,2,2,89.0,2,22,8.45,6.72,2,-4,-2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
4,2002,2002-11-10,9,25.219,STL,,SDG,W 28-24,*,36,48,75.00,453,4,0,131.7,0,0,9.44,11.10,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
5,2002,2002-11-18,10,25.227,STL,,CHI,W 21-16,*,21,35,60.00,347,2,1,100.5,3,26,9.91,9.77,1,-1,-1.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,,
6,2002,2002-12-15,14,25.254,STL,,ARI,W 30-28,*,24,40,60.00,319,2,2,81.1,2,19,7.98,6.73,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,
7,2002,2002-12-22,15,25.261,STL,@,SEA,L 10-30,*,1,1,100.00,11,0,0,112.5,1,8,11.00,11.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
8,2003,2003-09-14,2,26.162,STL,,SFO,W 27-24,*,25,36,69.44,236,2,0,105.8,5,46,6.56,7.67,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
9,2003,2003-09-21,3,26.169,STL,@,SEA,L 23-24,*,21,34,61.76,226,1,2,66.5,0,0,6.65,4.59,3,2,0.67,1,0,0,0,,0,0.0%,,1,6,0.0,,
10,2003,2003-09-28,4,26.176,STL,,ARI,W 37-13,*,28,42,66.67,272,2,1,90.6,1,4,6.48,6.36,4,-1,-0.25,1,0,0,0,,0,0.0%,,1,6,0.0,,
