ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1988,1988-09-25,4,24.081,SEA,,SFO,L 7-38,,11,15,73.33,133,1,1,94.6,2,6,8.87,7.20,0,0,,0
2,1988,1988-10-02,5,24.088,SEA,@,ATL,W 31-20,*,11,21,52.38,164,0,0,78.3,2,15,7.81,7.81,1,-3,-3.00,0
3,1988,1988-10-09,6,24.095,SEA,@,CLE,W 16-10,*,9,17,52.94,112,0,0,73.7,1,11,6.59,6.59,3,4,1.33,0
4,1988,1988-10-16,7,24.102,SEA,,NOR,L 19-20,*,27,46,58.70,370,1,1,82.7,3,29,8.04,7.50,5,30,6.00,0
5,1988,1988-10-23,8,24.109,SEA,@,RAM,L 10-31,*,16,24,66.67,101,0,3,35.6,1,10,4.21,-1.42,1,4,4.00,0
6,1988,1988-10-30,9,24.116,SEA,,SDG,W 17-14,*,14,28,50.00,121,2,0,85.6,1,12,4.32,5.75,5,-6,-1.20,0
7,1988,1988-11-06,10,24.123,SEA,,BUF,L 3-13,*,10,22,45.45,105,0,1,40.9,3,27,4.77,2.73,3,0,0.00,0
8,1988,1988-12-11,15,24.158,SEA,,DEN,W 42-14,,0,0,,0,0,0,,0,,,,1,-2,-2.00,0
9,1989,1989-09-10,1,25.066,SEA,@,PHI,L 7-31,,2,6,33.33,8,0,1,2.8,1,9,1.33,-6.17,0,0,,0
10,1989,1989-11-19,11,25.136,SEA,@,NYG,L 3-15,*,16,29,55.17,155,0,2,41.6,2,23,5.34,2.24,1,2,2.00,0
11,1989,1989-11-26,12,25.143,SEA,@,DEN,L 14-41,*,11,24,45.83,107,0,0,58.9,6,58,4.46,4.46,1,9,9.00,0
12,1991,1991-11-17,11,27.134,SEA,@,RAI,L 7-31,,6,13,46.15,57,0,0,58.8,1,3,4.38,4.38,0,0,,0
13,1991,1991-12-15,15,27.162,SEA,@,ATL,L 13-26,*,0,2,0.00,0,0,1,0.0,1,6,0.00,-22.50,0,0,,0
14,1992,1992-09-06,1,28.062,SEA,,CIN,L 3-21,*,15,33,45.45,172,0,0,61.7,6,62,5.21,5.21,1,-3,-3.00,0
15,1992,1992-09-13,2,28.069,SEA,@,KAN,L 7-26,*,13,31,41.94,106,1,2,35.1,1,8,3.42,1.16,1,0,0.00,0
16,1992,1992-09-20,3,28.076,SEA,@,NWE,W 10-6,*,14,28,50.00,116,0,0,61.0,1,6,4.14,4.14,1,-2,-2.00,0
17,1992,1992-09-27,4,28.083,SEA,,MIA,L 17-19,*,16,28,57.14,166,1,1,71.4,5,31,5.93,5.04,3,27,9.00,0
18,1992,1992-10-04,5,28.090,SEA,@,SDG,L 6-17,*,3,7,42.86,31,0,0,56.2,1,7,4.43,4.43,2,15,7.50,0
19,1992,1992-11-15,10,28.132,SEA,@,RAI,L 3-20,,5,11,45.45,34,0,0,52.8,3,39,3.09,3.09,0,0,,0
20,1992,1992-11-22,11,28.139,SEA,,KAN,L 14-24,*,13,30,43.33,164,1,4,32.5,4,35,5.47,0.13,0,0,,0
21,1992,1992-11-30,12,28.147,SEA,,DEN,W 16-13,*,12,21,57.14,109,0,2,31.7,5,34,5.19,0.90,1,0,0.00,0
22,1992,1992-12-20,15,28.167,SEA,@,DEN,L 6-10,,1,1,100.00,2,0,0,79.2,0,0,2.00,2.00,0,0,,0
