ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1989,1989-09-10,1,24.151,DEN,,KAN,W 34-20,,,
2,1989,1989-09-18,2,24.159,DEN,@,BUF,W 28-14,,,
3,1989,1989-09-24,3,24.165,DEN,,RAI,W 31-21,,,
4,1989,1989-10-01,4,24.172,DEN,@,CLE,L 13-16,,,
5,1989,1989-10-08,5,24.179,DEN,,SDG,W 16-10,1,8,0
6,1989,1989-10-15,6,24.186,DEN,,IND,W 14-3,,,
7,1989,1989-10-22,7,24.193,DEN,@,SEA,W 24-21,,,
8,1989,1989-10-29,8,24.200,DEN,,PHI,L 24-28,,,
9,1989,1989-11-05,9,24.207,DEN,,PIT,W 34-7,,,
10,1989,1989-11-12,10,24.214,DEN,@,KAN,W 16-13,,,
11,1989,1989-11-20,11,24.222,DEN,@,WAS,W 14-10,,,
12,1989,1989-11-26,12,24.228,DEN,,SEA,W 41-14,,,
13,1989,1989-12-03,13,24.235,DEN,@,RAI,L 13-16,,,
14,1989,1989-12-10,14,24.242,DEN,,NYG,L 7-14,,,
15,1989,1989-12-16,15,24.248,DEN,@,PHO,W 37-0,,,
16,1989,1989-12-24,16,24.256,DEN,@,SDG,L 16-19,,,
17,1990,1990-09-09,1,25.150,DEN,@,RAI,L 9-14,,,
18,1990,1990-09-17,2,25.158,DEN,,KAN,W 24-23,,,
19,1990,1990-09-23,3,25.164,DEN,,SEA,W 34-31,,,
20,1990,1990-09-30,4,25.171,DEN,@,BUF,L 28-29,,,
21,1990,1990-10-08,5,25.179,DEN,,CLE,L 29-30,,,
22,1990,1990-10-14,6,25.185,DEN,,PIT,L 17-34,,,
23,1990,1990-10-21,7,25.192,DEN,@,IND,W 27-17,,,
24,1990,1990-11-04,8,25.206,DEN,@,MIN,L 22-27,,,
25,1990,1990-11-11,9,25.213,DEN,@,SDG,L 7-19,,,
26,1990,1990-11-18,10,25.220,DEN,,CHI,L 13-16,,,
27,1990,1990-11-22,11,25.224,DEN,@,DET,L 27-40,,,
28,1990,1990-12-02,12,25.234,DEN,,RAI,L 20-23,,,
29,1990,1990-12-09,13,25.241,DEN,@,KAN,L 20-31,,,
30,1990,1990-12-16,14,25.248,DEN,,SDG,W 20-10,,,
31,1990,1990-12-23,15,25.255,DEN,@,SEA,L 12-17,,,
32,1990,1990-12-30,16,25.262,DEN,,GNB,W 22-13,,,
