ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2010,2010-10-17,5,22.255,TAM,,NOR,L 6-31,,3,137,45.67,0
2,2010,2010-10-24,6,22.262,TAM,,STL,W 18-17,,4,160,40.00,0
3,2010,2010-10-31,7,22.269,TAM,@,ARI,W 38-35,,6,252,42.00,0
4,2010,2010-11-07,8,22.276,TAM,@,ATL,L 21-27,,3,117,39.00,0
5,2010,2010-11-14,9,22.283,TAM,,CAR,W 31-16,,4,177,44.25,0
6,2010,2010-11-21,10,22.290,TAM,@,SFO,W 21-0,,5,197,39.40,0
7,2010,2010-11-28,11,22.297,TAM,@,BAL,L 10-17,,9,340,37.78,0
8,2010,2010-12-05,12,22.304,TAM,,ATL,L 24-28,,7,305,43.57,0
9,2010,2010-12-12,13,22.311,TAM,@,WAS,W 17-16,,4,176,44.00,0
10,2010,2010-12-19,14,22.318,TAM,,DET,L 20-23,,3,118,39.33,0
11,2010,2010-12-26,15,22.325,TAM,,SEA,W 38-15,,3,135,45.00,0
12,2010,2011-01-02,16,22.332,TAM,@,NOR,W 23-13,,1,46,46.00,0
13,2011,2011-11-13,9,23.282,DET,@,CHI,L 13-37,,0,0,,0
14,2012,2012-09-09,1,24.218,NYJ,,BUF,W 48-28,,2,103,51.50,0
15,2012,2012-09-16,2,24.225,NYJ,@,PIT,L 10-27,,6,272,45.33,0
16,2012,2012-09-23,3,24.232,NYJ,@,MIA,W 23-20,,6,274,45.67,0
17,2012,2012-09-30,4,24.239,NYJ,,SFO,L 0-34,,7,303,43.29,1
18,2012,2012-10-08,5,24.247,NYJ,,HOU,L 17-23,,6,265,44.17,0
19,2012,2012-10-14,6,24.253,NYJ,,IND,W 35-9,,5,260,52.00,0
20,2012,2012-10-21,7,24.260,NYJ,@,NWE,L 26-29,,3,170,56.67,0
21,2012,2012-10-28,8,24.267,NYJ,,MIA,L 9-30,,6,274,45.67,1
22,2012,2012-11-11,9,24.281,NYJ,@,SEA,L 7-28,,7,321,45.86,0
23,2012,2012-11-18,10,24.288,NYJ,@,STL,W 27-13,,3,127,42.33,0
24,2012,2012-11-22,11,24.292,NYJ,,NWE,L 19-49,,4,198,49.50,0
25,2012,2012-12-02,12,24.302,NYJ,,ARI,W 7-6,,6,263,43.83,0
26,2012,2012-12-09,13,24.309,NYJ,@,JAX,W 17-10,,7,326,46.57,0
27,2012,2012-12-17,14,24.317,NYJ,@,TEN,L 10-14,,6,254,42.33,0
28,2012,2012-12-23,15,24.323,NYJ,,SDG,L 17-27,,6,266,44.33,0
29,2012,2012-12-30,16,24.330,NYJ,@,BUF,L 9-28,,4,172,43.00,0
30,2013,2013-09-08,1,25.216,NYJ,,TAM,W 18-17,,7,339,48.43,0
31,2013,2013-09-12,2,25.220,NYJ,@,NWE,L 10-13,,9,401,44.56,0
