ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1978,1978-10-15,7,22.286,BUF,@,HOU,L 10-17,,,,,,,,
2,1978,1978-10-22,8,22.293,BUF,,CIN,W 5-0,,,,,,,,
3,1978,1978-10-29,9,22.300,BUF,@,CLE,L 20-41,0,0,,0,1,18,18.00,0
4,1978,1978-11-05,10,22.307,BUF,,NWE,L 10-14,,,,,,,,
5,1978,1978-11-12,11,22.314,BUF,,MIA,L 24-25,,,,,,,,
6,1978,1978-11-19,12,22.321,BUF,@,TAM,L 10-31,,,,,,,,
7,1978,1978-11-26,13,22.328,BUF,,NYG,W 41-17,0,0,,0,2,35,17.50,0
8,1978,1978-12-03,14,22.335,BUF,@,KAN,L 10-14,,,,,,,,
9,1978,1978-12-10,15,22.342,BUF,@,NWE,L 24-26,,,,,,,,
10,1978,1978-12-17,16,22.349,BUF,@,BAL,W 21-14,,,,,,,,
11,1979,1979-09-09,2,23.250,BUF,,CIN,W 51-24,7,28,4.00,0,0,0,,0
12,1979,1979-09-16,3,23.257,BUF,@,SDG,L 19-27,0,0,,0,1,6,6.00,0
13,1979,1979-09-23,4,23.264,BUF,,NYJ,W 46-31,,,,,,,,
14,1979,1979-09-30,5,23.271,BUF,@,BAL,W 31-13,3,1,0.33,0,0,0,,0
15,1979,1979-10-07,6,23.278,BUF,,CHI,L 0-7,,,,,,,,
16,1979,1979-10-14,7,23.285,BUF,@,MIA,L 7-17,0,0,,0,2,62,31.00,0
17,1979,1979-10-21,8,23.292,BUF,,BAL,L 13-14,0,0,,0,2,15,7.50,0
18,1979,1979-10-28,9,23.299,BUF,@,DET,W 20-17,0,0,,0,1,14,14.00,0
19,1979,1979-11-04,10,23.306,BUF,,NWE,L 6-26,,,,,,,,
20,1979,1979-11-11,11,23.313,BUF,@,NYJ,W 14-12,,,,,,,,
21,1979,1979-11-18,12,23.320,BUF,,GNB,W 19-12,,,,,,,,
22,1979,1979-11-25,13,23.327,BUF,@,NWE,W 16-13,,,,,,,,
23,1979,1979-12-02,14,23.334,BUF,,DEN,L 16-19,,,,,,,,
24,1979,1979-12-09,15,23.341,BUF,@,MIN,L 3-10,,,,,,,,
25,1979,1979-12-16,16,23.348,BUF,@,PIT,L 0-28,,,,,,,,
