ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1993,1993-09-06,1,23.223,DAL,@,WAS,L 16-35,16,75,4.69,0,5,3,9,3.00,0,60.0%,1.80,0,0
2,1993,1993-09-12,2,23.229,DAL,,BUF,L 10-13,19,52,2.74,0,3,3,21,7.00,0,100.0%,7.00,0,0
3,1993,1993-09-19,3,23.236,DAL,@,PHO,W 17-10,14,60,4.29,2,,0,0,,0,0.0%,,2,12
4,1993,1993-10-03,4,23.250,DAL,,GNB,W 36-14,8,15,1.88,1,1,0,0,,0,0.0%,0.00,1,6
5,1993,1993-10-10,5,23.257,DAL,@,IND,W 27-3,5,23,4.60,0,,0,0,,0,0.0%,,0,0
6,1993,1993-10-31,7,23.278,DAL,@,PHI,W 23-10,0,0,,0,,0,0,,0,0.0%,,0,
7,1993,1993-11-07,8,23.285,DAL,,NYG,W 31-9,1,0,0.00,0,,0,0,,0,0.0%,,0,0
8,1993,1993-11-14,9,23.292,DAL,,PHO,W 20-15,3,8,2.67,0,,0,0,,0,0.0%,,0,0
9,1993,1993-11-21,10,23.299,DAL,@,ATL,L 14-27,9,36,4.00,0,4,3,7,2.33,0,75.0%,1.75,0,0
10,1993,1993-12-12,13,23.320,DAL,@,MIN,W 37-20,0,0,,0,,0,0,,0,0.0%,,0,
