ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1961,1961-09-17,1,24.090,PIT,@,DAL,L 24-27,1,11,11.00,0,0,0,,0,0,0,,0,0,0
2,1961,1961-12-10,13,24.174,PIT,@,WAS,W 30-14,2,16,8.00,2,0,0,,0,0,0,,0,2,12
3,1961,1961-12-17,14,24.181,PIT,@,STL,L 0-20,5,101,20.20,0,0,0,,0,0,0,,0,0,0
4,1962,1962-09-30,3,25.103,PIT,,NYG,L 27-31,1,28,28.00,1,0,0,,0,0,0,,0,1,6
5,1962,1962-10-06,4,25.109,PIT,,PHI,W 13-7,2,39,19.50,0,0,0,,0,0,0,,0,0,0
6,1962,1962-10-28,7,25.131,PIT,,CLE,L 14-41,1,29,29.00,0,1,-9,-9.00,0,0,0,,0,0,0
7,1962,1962-11-18,10,25.152,PIT,,WAS,W 23-21,2,56,28.00,1,0,0,,0,0,0,,0,1,6
8,1962,1962-12-16,14,25.180,PIT,@,WAS,W 27-24,2,51,25.50,0,1,7,7.00,0,0,0,,0,0,0
9,1963,1963-10-05,4,26.108,PIT,@,CLE,L 23-35,6,130,21.67,0,1,0,0.00,0,0,0,,0,0,0
10,1963,1963-10-13,5,26.116,PIT,@,STL,L 23-24,3,124,41.33,1,0,0,,0,0,0,,0,1,6
11,1963,1963-10-20,6,26.123,PIT,,WAS,W 38-27,5,69,13.80,0,0,0,,0,0,0,,0,0,0
12,1963,1963-10-27,7,26.130,PIT,,DAL,W 27-21,3,129,43.00,1,1,1,1.00,0,0,0,,0,1,6
13,1963,1963-11-03,8,26.137,PIT,@,GNB,L 14-33,5,87,17.40,1,0,0,,0,0,0,,0,1,6
14,1963,1963-11-10,9,26.144,PIT,,CLE,W 9-7,2,37,18.50,0,0,0,,0,0,0,,0,0,0
15,1963,1963-12-08,13,26.172,PIT,@,DAL,W 24-19,1,42,42.00,0,0,0,,0,0,0,,0,0,0
16,1964,1964-09-20,2,27.093,PHI,,SFO,L 24-28,1,11,11.00,0,0,0,,0,0,0,,0,0,0
17,1964,1964-10-11,5,27.114,PHI,@,WAS,L 20-35,2,31,15.50,0,0,0,,0,1,0,0.00,0,0,0
18,1964,1964-10-18,6,27.121,PHI,@,NYG,W 23-17,1,12,12.00,0,0,0,,0,0,0,,0,0,0
19,1964,1964-10-25,7,27.128,PHI,@,PIT,W 34-10,3,104,34.67,1,0,0,,0,0,0,,0,1,6
20,1964,1964-11-08,9,27.142,PHI,@,RAM,L 10-20,1,11,11.00,0,0,0,,0,0,0,,0,0,0
21,1965,1965-09-19,1,28.092,PIT,,GNB,L 9-41,2,34,17.00,0,0,0,,0,0,0,,0,0,0
22,1965,1965-09-26,2,28.099,PIT,@,SFO,L 17-27,1,7,7.00,0,0,0,,0,0,0,,0,0,0
