ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1993,1993-09-05,1,25.196,KAN,@,TAM,W 27-3,,,,,,
2,1993,1993-10-17,6,25.238,KAN,@,SDG,W 17-14,,,,,,
3,1993,1993-10-31,7,25.252,KAN,@,MIA,L 10-30,,,,,,
4,1993,1993-11-14,9,25.266,KAN,@,RAI,W 31-20,,,,,,
5,1993,1993-11-21,10,25.273,KAN,,CHI,L 17-19,,,,,,
6,1993,1993-11-28,11,25.280,KAN,,BUF,W 23-7,,,,,,
7,1993,1993-12-05,12,25.287,KAN,@,SEA,W 31-16,,,,,,
8,1993,1993-12-12,13,25.294,KAN,@,DEN,L 21-27,,,,,,
9,1993,1993-12-26,15,25.308,KAN,@,MIN,L 10-30,,,,,,
10,1993,1994-01-02,16,25.315,KAN,,SEA,W 34-24,,,,,,
11,1994,1994-09-18,3,26.209,KAN,@,ATL,W 30-10,,,,,,
12,1994,1994-09-25,4,26.216,KAN,,RAM,L 0-16,,,,,,
13,1994,1994-10-09,5,26.230,KAN,@,SDG,L 6-20,,,,,,
14,1994,1994-10-17,6,26.238,KAN,@,DEN,W 31-28,,0,0,,0,1.0
15,1994,1994-10-30,8,26.251,KAN,@,BUF,L 10-44,,,,,,
16,1994,1994-11-06,9,26.258,KAN,,RAI,W 13-3,,,,,,
17,1994,1994-11-13,10,26.265,KAN,,SDG,L 13-14,,,,,,
18,1994,1994-11-20,11,26.272,KAN,,CLE,W 20-13,,,,,,
19,1994,1994-11-27,12,26.279,KAN,@,SEA,L 9-10,,0,0,,0,1.0
20,1994,1994-12-04,13,26.286,KAN,,DEN,L 17-20,,,,,,
21,1994,1994-12-12,14,26.294,KAN,@,MIA,L 28-45,,,,,,
22,1994,1994-12-18,15,26.300,KAN,,HOU,W 31-9,,,,,,
23,1995,1995-09-03,1,27.194,KAN,@,SEA,W 34-10,,0,0,,0,
24,1995,1995-09-10,2,27.201,KAN,,NYG,W 20-17,,0,0,,0,
25,1995,1995-09-17,3,27.208,KAN,,OAK,W 23-17,,0,0,,0,
26,1995,1995-09-24,4,27.215,KAN,@,CLE,L 17-35,,0,0,,0,
27,1995,1995-10-01,5,27.222,KAN,@,ARI,W 24-3,,0,0,,0,1.0
28,1995,1995-10-09,6,27.230,KAN,,SDG,W 29-23,,0,0,,0,
29,1995,1995-10-15,7,27.236,KAN,,NWE,W 31-26,,0,0,,0,1.0
30,1995,1995-10-22,8,27.243,KAN,@,DEN,W 21-7,,0,0,,0,
31,1995,1995-11-05,9,27.257,KAN,,WAS,W 24-3,,0,0,,0,
32,1995,1995-11-12,10,27.264,KAN,@,SDG,W 22-7,,0,0,,0,
33,1995,1995-11-19,11,27.271,KAN,,HOU,W 20-13,,1,0,0.00,0,0.0
