ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1973,1973-09-16,1,23.146,BUF,@,NWE,W 31-13,*,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00,2,4,2.00,0,1,-3,-3.00,0,0,0
2,1973,1973-09-23,2,23.153,BUF,@,SDG,L 7-34,*,5,17,29.41,53,0,2,0.5,0,0,3.12,-2.18,1,-5,-5.00,0,0,0,,0,0,0
3,1973,1973-09-30,3,23.160,BUF,,NYJ,W 9-7,*,7,17,41.18,74,0,1,30.0,0,0,4.35,1.71,4,13,3.25,0,0,0,,0,0,0
4,1973,1973-10-07,4,23.167,BUF,,PHI,W 27-26,*,6,9,66.67,63,0,0,86.8,0,0,7.00,7.00,4,25,6.25,1,0,0,,0,1,6
5,1973,1973-10-14,5,23.174,BUF,,BAL,W 31-13,*,7,13,53.85,57,1,1,58.8,0,0,4.38,2.46,9,37,4.11,1,0,0,,0,1,6
6,1973,1973-10-21,6,23.181,BUF,@,MIA,L 6-27,*,3,9,33.33,25,0,1,2.8,0,0,2.78,-2.22,4,6,1.50,0,0,0,,0,0,0
7,1973,1973-10-29,7,23.189,BUF,,KAN,W 23-14,*,6,11,54.55,63,0,1,33.5,0,0,5.73,1.64,5,11,2.20,0,0,0,,0,0,0
8,1973,1973-11-04,8,23.195,BUF,@,NOR,L 0-13,*,9,19,47.37,87,0,0,60.6,0,0,4.58,4.58,3,23,7.67,0,0,0,,0,0,0
9,1973,1973-11-11,9,23.202,BUF,,CIN,L 13-16,*,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,0,0,,0,0,0,,0,0,0
10,1973,1973-11-18,10,23.209,BUF,,MIA,L 0-17,*,6,21,28.57,98,0,1,26.7,0,0,4.67,2.52,1,1,1.00,0,0,0,,0,0,0
11,1973,1973-11-25,11,23.216,BUF,@,BAL,W 24-17,*,11,19,57.89,201,1,1,90.0,0,0,10.58,9.26,4,8,2.00,0,0,0,,0,0,0
12,1973,1973-12-02,12,23.223,BUF,@,ATL,W 17-6,*,7,12,58.33,95,0,1,49.0,0,0,7.92,4.17,7,22,3.14,0,0,0,,0,0,0
13,1973,1973-12-09,13,23.230,BUF,,NWE,W 37-13,*,2,7,28.57,43,2,0,92.3,0,0,6.14,11.86,2,2,1.00,0,0,0,,0,0,0
14,1973,1973-12-16,14,23.237,BUF,@,NYJ,W 34-14,*,3,5,60.00,70,0,0,104.2,0,0,14.00,14.00,2,0,0.00,0,0,0,,0,0,0
15,1974,1974-09-16,1,24.146,BUF,,OAK,W 21-20,*,10,20,50.00,122,3,0,108.7,0,0,6.10,9.10,5,16,3.20,0,0,0,,0,0,0
16,1974,1974-09-22,2,24.152,BUF,,MIA,L 16-24,*,17,22,77.27,188,1,0,117.2,0,0,8.55,9.45,4,14,3.50,0,0,0,,0,0,0
17,1974,1974-09-29,3,24.159,BUF,,NYJ,W 16-12,*,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,10,14,1.40,1,0,0,,0,1,6
18,1974,1974-10-06,4,24.166,BUF,@,GNB,W 27-7,*,13,16,81.25,175,1,1,107.0,0,0,10.94,9.38,0,0,,0,0,0,,0,0,0
19,1974,1974-10-13,5,24.173,BUF,@,BAL,W 27-14,*,11,27,40.74,155,1,1,56.9,0,0,5.74,4.81,1,3,3.00,0,0,0,,0,0,0
20,1974,1974-10-20,6,24.180,BUF,,NWE,W 30-28,*,8,12,66.67,153,3,0,149.3,0,0,12.75,17.75,8,19,2.38,0,0,0,,0,0,0
21,1974,1974-10-27,7,24.187,BUF,,CHI,W 16-6,*,8,17,47.06,103,0,0,66.5,0,0,6.06,6.06,4,3,0.75,0,0,0,,0,0,0
22,1974,1974-11-03,8,24.194,BUF,@,NWE,W 29-28,*,16,24,66.67,247,1,2,79.7,0,0,10.29,7.38,1,15,15.00,0,0,0,,0,0,0
23,1974,1974-11-10,9,24.201,BUF,,HOU,L 9-21,*,10,28,35.71,110,0,6,8.6,0,0,3.93,-5.71,4,5,1.25,0,0,0,,0,0,0
24,1974,1974-11-17,10,24.208,BUF,@,MIA,L 28-35,*,7,14,50.00,83,0,0,68.5,0,0,5.93,5.93,2,8,4.00,1,0,0,,0,1,6
25,1974,1974-11-24,11,24.215,BUF,@,CLE,W 15-10,*,1,7,14.29,9,0,0,39.6,0,0,1.29,1.29,2,0,0.00,0,0,0,,0,0,0
26,1974,1974-12-01,12,24.222,BUF,,BAL,W 6-0,*,5,13,38.46,46,0,0,48.9,0,0,3.54,3.54,6,7,1.17,0,0,0,,0,0,0
27,1974,1974-12-08,13,24.229,BUF,@,NYJ,L 10-20,*,5,16,31.25,76,1,1,42.7,0,0,4.75,3.19,5,7,1.40,0,0,0,,0,0,0
28,1974,1974-12-15,14,24.236,BUF,@,RAM,L 14-19,*,8,14,57.14,121,1,1,79.8,0,0,8.64,6.86,2,0,0.00,0,0,0,,0,0,0
29,1975,1975-09-21,1,25.151,BUF,,NYJ,W 42-14,*,7,13,53.85,67,2,0,108.0,0,0,5.15,8.23,2,2,1.00,1,0,0,,0,1,6
30,1975,1975-09-28,2,25.158,BUF,@,PIT,W 30-21,*,9,20,45.00,129,2,0,99.8,0,0,6.45,8.45,2,1,0.50,0,0,0,,0,0,0
31,1975,1975-10-05,3,25.165,BUF,,DEN,W 38-14,*,9,18,50.00,143,2,0,113.9,0,0,7.94,10.17,3,6,2.00,0,0,0,,0,0,0
32,1975,1975-10-12,4,25.172,BUF,@,BAL,W 38-31,*,14,26,53.85,253,2,1,97.1,0,0,9.73,9.54,2,6,3.00,0,0,0,,0,0,0
33,1975,1975-10-20,5,25.180,BUF,,NYG,L 14-17,*,11,19,57.89,147,1,2,60.5,0,0,7.74,4.05,1,1,1.00,0,0,0,,0,0,0
34,1975,1975-10-26,6,25.186,BUF,,MIA,L 30-35,*,20,29,68.97,221,2,2,85.6,0,0,7.62,5.90,3,5,1.67,0,0,0,,0,0,0
35,1975,1975-11-02,7,25.193,BUF,@,NYJ,W 24-23,*,15,29,51.72,296,3,2,93.5,0,0,10.21,9.17,2,11,5.50,0,0,0,,0,0,0
36,1975,1975-11-09,8,25.200,BUF,,BAL,L 35-42,*,12,21,57.14,234,3,1,115.9,0,0,11.14,11.86,1,4,4.00,0,0,0,,0,0,0
37,1975,1975-11-17,9,25.208,BUF,@,CIN,L 24-33,*,9,18,50.00,106,1,0,86.8,0,0,5.89,7.00,1,5,5.00,0,0,0,,0,0,0
38,1975,1975-11-23,10,25.214,BUF,,NWE,W 45-31,*,16,32,50.00,276,4,1,106.2,0,0,8.63,9.72,0,0,,0,0,0,,0,0,0
39,1975,1975-11-27,11,25.218,BUF,@,STL,W 32-14,*,11,22,50.00,128,0,2,30.1,0,0,5.82,1.73,2,19,9.50,0,0,0,,0,0,0
40,1975,1975-12-07,12,25.228,BUF,@,MIA,L 21-31,*,20,41,48.78,279,2,2,67.0,0,0,6.80,5.59,2,3,1.50,0,0,0,,0,0,0
41,1975,1975-12-14,13,25.235,BUF,@,NWE,W 34-14,*,10,17,58.82,96,1,1,69.7,0,0,5.65,4.18,1,13,13.00,0,0,0,,0,0,0
42,1975,1975-12-20,14,25.241,BUF,,MIN,L 13-35,*,6,16,37.50,51,0,3,7.0,0,0,3.19,-5.25,1,6,6.00,0,0,0,,0,0,0
43,1976,1976-09-13,1,26.143,BUF,,MIA,L 21-30,*,13,28,46.43,282,3,0,118.5,0,0,10.07,12.21,2,19,9.50,0,0,0,,0,0,0
44,1976,1976-09-19,2,26.149,BUF,,HOU,L 3-13,*,9,24,37.50,90,0,0,49.0,0,0,3.75,3.75,3,6,2.00,0,0,0,,0,0,0
45,1976,1976-09-26,3,26.156,BUF,@,TAM,W 14-9,*,12,22,54.55,188,2,0,113.4,0,0,8.55,10.36,1,0,0.00,0,0,0,,0,0,0
46,1976,1976-10-03,4,26.163,BUF,,KAN,W 50-17,*,14,24,58.33,184,3,0,122.2,0,0,7.67,10.17,3,22,7.33,0,0,0,,0,0,0
47,1976,1976-10-10,5,26.170,BUF,@,NYJ,L 14-17,*,8,18,44.44,64,0,1,30.8,0,0,3.56,1.06,2,4,2.00,0,0,0,,0,0,0
48,1976,1976-10-17,6,26.177,BUF,,BAL,L 13-31,*,13,28,46.43,239,1,0,88.2,0,0,8.54,9.25,4,20,5.00,0,0,0,,0,0,0
49,1976,1976-10-24,7,26.184,BUF,,NWE,L 22-26,*,5,7,71.43,39,0,0,84.8,0,0,5.57,5.57,3,10,3.33,0,0,0,,0,0,0
50,1977,1977-09-18,1,27.148,BUF,,MIA,L 0-13,*,19,37,51.35,204,0,1,56.6,0,0,5.51,4.30,5,19,3.80,0,0,0,,0,0,0
51,1977,1977-09-25,2,27.155,BUF,@,DEN,L 6-26,*,13,28,46.43,111,0,3,17.7,0,0,3.96,-0.86,1,5,5.00,0,0,0,,0,0,0
52,1977,1977-10-02,3,27.162,BUF,@,BAL,L 14-17,*,19,38,50.00,234,2,2,65.0,0,0,6.16,4.84,3,12,4.00,0,0,0,,0,0,0
53,1977,1977-10-09,4,27.169,BUF,,NYJ,L 19-24,*,18,33,54.55,205,2,1,81.0,0,0,6.21,6.06,3,6,2.00,0,0,0,,0,0,0
54,1977,1977-10-16,5,27.176,BUF,,ATL,W 3-0,*,8,21,38.10,96,0,0,52.9,0,0,4.57,4.57,3,5,1.67,0,0,0,,0,0,0
55,1977,1977-10-23,6,27.183,BUF,,CLE,L 16-27,*,11,29,37.93,199,1,2,45.0,0,0,6.86,4.45,3,54,18.00,0,0,0,,0,0,0
56,1977,1977-10-30,7,27.190,BUF,@,SEA,L 17-56,*,17,37,45.95,227,1,3,41.2,0,0,6.14,3.03,2,11,5.50,1,0,0,,0,1,6
57,1977,1977-11-06,8,27.197,BUF,@,NWE,W 24-14,*,15,22,68.18,201,1,1,93.2,0,0,9.14,8.00,3,25,8.33,0,0,0,,0,0,0
58,1977,1977-11-13,9,27.204,BUF,,BAL,L 13-31,*,14,33,42.42,188,0,3,23.3,0,0,5.70,1.61,4,39,9.75,0,0,0,,0,0,0
59,1977,1977-11-20,10,27.211,BUF,,NWE,L 7-20,*,10,22,45.45,115,1,1,58.0,0,0,5.23,4.09,5,47,9.40,0,0,0,,0,0,0
