ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1953,1953-09-27,1,23.053,GNB,,CLE,L 0-27,8,20,2.50,0,2,6,3.00,0,0,0,,0,0,,,,,,,0,
2,1953,1953-10-04,2,23.060,GNB,,CHI,L 13-17,6,19,3.17,0,0,0,,0,0,0,,0,0,,,,,,,0,
3,1953,1953-10-11,3,23.067,GNB,,RAM,L 20-38,1,2,2.00,0,4,65,16.25,0,0,0,,0,0,,,,,,,0,
4,1953,1953-10-18,4,23.074,GNB,,BAL,W 37-14,12,53,4.42,0,0,0,,0,0,0,,0,0,,,,,,,0,
5,1953,1953-10-24,5,23.080,GNB,@,PIT,L 14-31,3,-2,-0.67,0,2,6,3.00,0,0,0,,0,0,,,,,,,0,
6,1953,1953-10-31,6,23.087,GNB,@,BAL,W 35-24,7,19,2.71,0,2,8,4.00,0,0,0,,0,0,,,,,,,0,
7,1953,1953-11-08,7,23.095,GNB,@,CHI,T 21-21,1,-1,-1.00,0,2,10,5.00,0,0,0,,0,0,,,,,,,0,
8,1953,1953-11-15,8,23.102,GNB,,DET,L 7-14,0,0,,0,1,-3,-3.00,0,0,0,,0,0,,,,,,,0,
9,1953,1953-11-22,9,23.109,GNB,,SFO,L 7-37,3,6,2.00,0,1,-4,-4.00,0,0,0,,0,0,,,,,,,0,
10,1953,1953-11-26,10,23.113,GNB,@,DET,L 15-34,6,9,1.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
11,1953,1953-12-06,11,23.123,GNB,@,SFO,L 14-48,5,9,1.80,0,1,-2,-2.00,0,0,0,,0,0,,,,,,,0,
12,1954,1954-09-26,1,24.052,GNB,,PIT,L 20-21,4,9,2.25,0,1,24,24.00,0,0,0,,0,0,,,,,,,0,
13,1954,1954-10-03,2,24.059,GNB,,CHI,L 3-10,6,8,1.33,0,3,10,3.33,0,0,0,,0,0,,,,,,,0,
14,1954,1954-10-10,3,24.066,GNB,,SFO,L 17-23,7,41,5.86,0,3,26,8.67,0,0,0,,0,0,,,,,,,0,
15,1954,1954-10-17,4,24.073,GNB,,RAM,W 35-17,8,27,3.38,0,7,49,7.00,0,0,0,,0,0,,,,,,,0,
