ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-25,3,22.224,MIA,@,CLE,L 16-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2011,2011-10-02,4,22.231,MIA,@,SDG,L 16-26,*,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2011,2011-10-17,5,22.246,MIA,@,NYJ,L 6-24,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2011,2011-10-23,6,22.252,MIA,,DEN,L 15-18,,1,1,29,29.00,0,100.0%,29.00,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2011,2011-10-30,7,22.259,MIA,@,NYG,L 17-20,*,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2011,2011-11-06,8,22.266,MIA,@,KAN,W 31-3,*,3,3,50,16.67,0,100.0%,16.67,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2011,2011-11-13,9,22.273,MIA,,WAS,W 20-9,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2011,2011-11-20,10,22.280,MIA,,BUF,W 35-8,*,4,4,69,17.25,1,100.0%,17.25,0,0,,0,0,0,,0,1,6,0.0,0,0
9,2011,2011-11-24,11,22.284,MIA,@,DAL,L 19-20,*,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2011,2011-12-04,12,22.294,MIA,,OAK,W 34-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,2011-12-11,13,22.301,MIA,,PHI,L 10-26,,,,,,,0.0%,,,,,,,,,,,,,,
12,2011,2011-12-18,14,22.308,MIA,@,BUF,W 30-23,*,1,1,30,30.00,0,100.0%,30.00,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,2011-12-24,15,22.314,MIA,@,NWE,L 24-27,,3,1,1,1.00,1,33.3%,0.33,0,0,,0,0,0,,0,1,6,0.0,0,0
14,2011,2012-01-01,16,22.322,MIA,,NYJ,W 19-17,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,1,6,0.0,0,0
15,2012,2012-09-09,1,23.209,MIA,@,HOU,L 10-30,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2012,2012-09-16,2,23.216,MIA,,OAK,W 35-13,,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,2012-09-23,3,23.223,MIA,,NYJ,L 20-23,*,,,,,,0.0%,,,,,,,,,,,,,,
18,2012,2012-09-30,4,23.230,MIA,@,ARI,L 21-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2012,2012-10-07,5,23.237,MIA,@,CIN,W 17-13,*,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2012,2012-10-14,6,23.244,MIA,,STL,W 17-14,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
