ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1973,1973-09-16,1,23.161,PIT,,DET,W 24-10,,,,
2,1973,1973-09-23,2,23.168,PIT,,CLE,W 33-6,1,7,7.00,0
3,1973,1973-10-21,6,23.196,PIT,,NYJ,W 26-14,2,-4,-2.00,0
4,1973,1973-10-28,7,23.203,PIT,,CIN,W 20-13,,,,
5,1973,1973-11-05,8,23.211,PIT,,WAS,W 21-16,1,12,12.00,0
6,1973,1973-11-11,9,23.217,PIT,@,OAK,W 17-9,1,14,14.00,0
7,1973,1973-11-18,10,23.224,PIT,,DEN,L 13-23,,,,
8,1973,1973-11-25,11,23.231,PIT,@,CLE,L 16-21,3,15,5.00,0
9,1973,1973-12-03,12,23.239,PIT,@,MIA,L 26-30,3,-5,-1.67,0
10,1973,1973-12-09,13,23.245,PIT,,HOU,W 33-7,5,34,6.80,0
11,1973,1973-12-15,14,23.251,PIT,@,SFO,W 37-14,2,7,3.50,0
