ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.200,PHI,,JAX,W 34-17,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
2,2014,2014-09-15,2,22.208,PHI,@,IND,W 30-27,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
3,2014,2014-09-21,3,22.214,PHI,,WAS,W 37-34,,4,4,100.0,3,3,100.0,0,13,0.0,0,0
4,2014,2014-09-28,4,22.221,PHI,@,SFO,L 21-26,,3,3,100.0,,,,0,3,0.0,0,0
5,2014,2014-10-05,5,22.228,PHI,,STL,W 34-28,,4,4,100.0,2,2,100.0,0,10,0.0,1,0
6,2014,2014-10-12,6,22.235,PHI,,NYG,W 27-0,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
7,2014,2014-10-26,7,22.249,PHI,@,ARI,L 20-24,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
8,2014,2014-11-02,8,22.256,PHI,@,HOU,W 31-21,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
9,2014,2014-11-10,9,22.264,PHI,,CAR,W 45-21,,6,6,100.0,1,1,100.0,0,9,0.0,0,1
10,2014,2014-11-16,10,22.270,PHI,@,GNB,L 20-53,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
11,2014,2014-11-23,11,22.277,PHI,,TEN,W 43-24,,4,4,100.0,5,6,83.3,0,19,0.0,0,0
12,2014,2014-11-27,12,22.281,PHI,@,DAL,W 33-10,,3,3,100.0,4,4,100.0,0,15,0.0,0,0
13,2014,2014-12-07,13,22.291,PHI,,SEA,L 14-24,,2,2,100.0,,,,0,2,0.0,0,0
14,2014,2014-12-14,14,22.298,PHI,,DAL,L 27-38,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
15,2014,2014-12-20,15,22.304,PHI,@,WAS,L 24-27,,3,3,100.0,1,3,33.3,0,6,0.0,1,0
16,2014,2014-12-28,16,22.312,PHI,@,NYG,W 34-26,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
17,2015,2015-09-14,1,23.207,PHI,@,ATL,L 24-26,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
