ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-10,1,22.001,DTX,@,LAC,L 20-21,8,19,2.38,0,5,52,10.40,0,0,0,,0,0,0,,0,0,,,1,8,8.00,0,1,2,2.00,0,0,0,0,0,0
2,1960,1960-09-16,2,22.007,DTX,@,OAK,W 34-16,10,68,6.80,1,3,44,14.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,2,32,16.00,0,2,12,0,0,0
3,1960,1960-09-25,3,22.016,DTX,,LAC,W 17-0,9,45,5.00,0,4,36,9.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
4,1960,1960-10-02,4,22.023,DTX,,NYT,L 35-37,7,35,5.00,1,3,120,40.00,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,2,34,17.00,0,1,6,0,0,0
5,1960,1960-10-09,5,22.030,DTX,,OAK,L 19-20,6,19,3.17,1,2,25,12.50,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,1,6,0,0,0
6,1960,1960-10-16,6,22.037,DTX,@,HOU,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,0
7,1960,1960-11-06,8,22.058,DTX,@,BUF,W 45-28,14,43,3.07,1,3,27,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,1,6,0,0,0
8,1960,1960-11-13,9,22.065,DTX,,DEN,W 34-7,9,93,10.33,0,3,11,3.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,1,6,0,0,0
9,1960,1960-11-18,10,22.070,DTX,@,BOS,L 14-42,3,12,4.00,0,7,58,8.29,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
10,1960,1960-11-24,11,22.076,DTX,@,NYT,L 35-41,7,33,4.71,0,3,63,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,22,22.00,0,0,0,0,0,0
11,1960,1960-12-04,12,22.086,DTX,,HOU,W 24-0,9,60,6.67,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,42,14.00,0,0,0,0,0,0
12,1960,1960-12-11,13,22.093,DTX,,BOS,W 34-0,8,18,2.25,0,3,34,11.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,62,31.00,1,1,6,0,0,0
