ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1995,1995-09-10,2,22.252,BUF,,CAR,W 31-9,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,
2,1995,1995-09-17,3,22.259,BUF,,IND,W 20-14,,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
3,1995,1995-10-02,4,22.274,BUF,@,CLE,W 22-19,,4,4,46,11.50,1,100.0%,11.50,0,0,,0,0,0,,0,0,0,,0,,,,1,6
4,1995,1995-10-08,5,22.280,BUF,,NYJ,W 29-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,
5,1995,1995-10-15,6,22.287,BUF,,SEA,W 27-21,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
6,1995,1995-10-23,7,22.295,BUF,@,NWE,L 14-27,,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
7,1995,1995-10-29,8,22.301,BUF,@,MIA,L 6-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,
8,1995,1995-11-05,9,22.308,BUF,@,IND,W 16-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
9,1995,1995-11-12,10,22.315,BUF,,ATL,W 23-17,,8,4,38,9.50,0,50.0%,4.75,2,-13,-6.50,0,0,0,,0,0,0,,0,,,,0,0
10,1995,1995-11-19,11,22.322,BUF,@,NYJ,W 28-26,,2,1,9,9.00,0,50.0%,4.50,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0
11,1995,1995-11-26,12,22.329,BUF,,NWE,L 25-35,,7,6,66,11.00,0,85.7%,9.43,0,0,,0,0,0,,0,0,0,,0,,,,0,0
12,1995,1995-12-03,13,22.336,BUF,@,SFO,L 17-27,,4,1,28,28.00,1,25.0%,7.00,1,2,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6
13,1995,1995-12-10,14,22.343,BUF,@,STL,W 45-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,
14,1995,1995-12-17,15,22.350,BUF,,MIA,W 23-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,
15,1995,1995-12-24,16,22.357,BUF,,HOU,L 17-28,,5,3,33,11.00,1,60.0%,6.60,0,0,,0,0,0,,0,0,0,,0,,,,1,6
16,1997,1997-10-19,7,24.291,PHI,,ARI,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
17,1998,1998-09-07,1,25.249,DEN,,NWE,W 27-21,,2,1,23,23.00,0,50.0%,11.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
18,1998,1998-09-27,4,25.269,DEN,@,WAS,W 38-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
19,1998,1998-10-04,5,25.276,DEN,,PHI,W 41-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
20,1998,1998-10-11,6,25.283,DEN,@,SEA,W 21-16,,3,,,,,0.0%,,,,,,,,,,,,,,,,,,
21,1998,1998-10-25,7,25.297,DEN,,JAX,W 37-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
22,1998,1998-11-01,8,25.304,DEN,@,CIN,W 33-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
23,1998,1998-11-22,11,25.325,DEN,,OAK,W 40-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
24,1998,1998-12-27,16,25.360,DEN,,SEA,W 28-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
25,1999,1999-09-12,1,26.254,BAL,@,STL,L 10-27,*,9,4,76,19.00,0,44.4%,8.44,0,0,,0,0,0,,0,0,0,,,,,,0,0
26,1999,1999-09-19,2,26.261,BAL,,PIT,L 20-23,,3,2,43,21.50,0,66.7%,14.33,0,0,,0,0,0,,0,0,0,,,,,,0,0
27,1999,1999-09-26,3,26.268,BAL,,CLE,W 17-10,,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
28,1999,1999-10-03,4,26.275,BAL,@,ATL,W 19-13,,1,1,54,54.00,1,100.0%,54.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
29,1999,1999-10-10,5,26.282,BAL,@,TEN,L 11-14,,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
30,1999,1999-10-21,6,26.293,BAL,,KAN,L 8-35,*,13,6,70,11.67,0,46.2%,5.38,0,0,,0,0,0,,0,0,0,,,,,,0,0
31,1999,1999-10-31,7,26.303,BAL,,BUF,L 10-13,*,10,3,35,11.67,1,30.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,1,6
32,1999,1999-11-07,8,26.310,BAL,@,CLE,W 41-9,,8,5,38,7.60,0,62.5%,4.75,0,0,,0,0,0,,0,0,0,,,,,,0,0
33,1999,1999-11-14,9,26.317,BAL,@,JAX,L 3-6,*,2,2,44,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
34,1999,1999-11-28,11,26.331,BAL,,JAX,L 23-30,*,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,0,0
35,1999,1999-12-05,12,26.338,BAL,,TEN,W 41-14,*,8,3,28,9.33,1,37.5%,3.50,0,0,,0,0,0,,0,0,0,,,,,,1,6
36,1999,1999-12-12,13,26.345,BAL,@,PIT,W 31-24,*,7,,,,,0.0%,,,,,,,,,,,,,,,,,,
37,1999,1999-12-19,14,26.352,BAL,,NOR,W 31-8,,5,4,50,12.50,1,80.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
38,1999,1999-12-26,15,26.359,BAL,,CIN,W 22-0,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
39,1999,2000-01-02,16,27.001,BAL,@,NWE,L 3-20,,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,,,,,,0,0
