ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2006,2006-10-01,4,22.061,IND,@,NYJ,W 31-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
2,2006,2006-10-08,5,22.068,IND,,TEN,W 14-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
3,2006,2006-10-22,6,22.082,IND,,WAS,W 36-22,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
4,2006,2006-10-29,7,22.089,IND,@,DEN,W 34-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
5,2006,2006-11-05,8,22.096,IND,@,NWE,W 27-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
6,2006,2006-11-12,9,22.103,IND,,BUF,W 17-16,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
7,2006,2006-11-19,10,22.110,IND,@,DAL,L 14-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
8,2006,2006-11-26,11,22.117,IND,,PHI,W 45-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
9,2006,2006-12-03,12,22.124,IND,@,TEN,L 17-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
10,2006,2006-12-10,13,22.131,IND,@,JAX,L 17-44,,0,0,,0,0,0,0,,0,0.0%,,0,4,,0
11,2006,2006-12-18,14,22.139,IND,,CIN,W 34-16,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
12,2006,2006-12-24,15,22.145,IND,@,HOU,L 24-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
13,2006,2006-12-31,16,22.152,IND,,MIA,W 27-22,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
14,2007,2007-10-01,4,23.061,CIN,,NWE,L 13-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
15,2007,2007-10-14,5,23.074,CIN,@,KAN,L 20-27,,,,,,,,,,,0.0%,,,,,
16,2007,2007-10-21,6,23.081,CIN,,NYJ,W 38-31,,7,23,3.29,0,0,0,0,,0,0.0%,,0,0,,0
17,2007,2007-10-28,7,23.088,CIN,,PIT,L 13-24,,0,0,,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0
18,2007,2007-11-04,8,23.095,CIN,@,BUF,L 21-33,,0,0,,0,1,1,9,9.00,0,100.0%,9.00,1,0,0.00,0
19,2007,2007-11-11,9,23.102,CIN,@,BAL,W 21-7,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
20,2007,2007-11-18,10,23.109,CIN,,ARI,L 27-35,,1,3,3.00,0,0,0,0,,0,0.0%,,1,20,20.00,0
21,2007,2007-11-25,11,23.116,CIN,,TEN,W 35-6,,5,42,8.40,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0
22,2007,2007-12-02,12,23.123,CIN,@,PIT,L 10-24,*,1,15,15.00,0,3,1,-7,-7.00,0,33.3%,-2.33,0,0,,0
23,2007,2007-12-09,13,23.130,CIN,,STL,W 19-10,,4,81,20.25,0,0,0,0,,0,0.0%,,0,0,,0
24,2007,2007-12-15,14,23.136,CIN,@,SFO,L 13-20,,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,,0
25,2007,2007-12-23,15,23.144,CIN,,CLE,W 19-14,*,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,,0
26,2008,2008-09-07,1,24.037,CIN,@,BAL,L 10-17,,,,,,,,,,,0.0%,,,,,
27,2008,2008-09-14,2,24.044,CIN,,TEN,L 7-24,,3,10,3.33,0,2,2,49,24.50,0,100.0%,24.50,0,0,,0
28,2008,2008-09-21,3,24.051,CIN,@,NYG,L 23-26,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,,0
29,2008,2008-09-28,4,24.058,CIN,,CLE,L 12-20,,,,,,0,,,,,0.0%,,,,,
