ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,22.167,CHI,@,BAL,L 7-42,0,0,,0,1,0,0.00,0,0,0,0,0,0
2,1960,1960-10-09,3,22.174,CHI,,RAM,W 34-27,0,0,,0,0,0,,0,0,0,1,0,0
3,1960,1960-10-23,5,22.188,CHI,@,RAM,T 24-24,0,0,,0,1,22,22.00,0,0,0,1,0,0
4,1961,1961-09-23,2,23.158,CHI,@,RAM,W 21-17,0,0,,0,0,0,,0,0,0,1,4,0
5,1961,1961-10-15,5,23.180,CHI,,BAL,W 24-10,0,0,,0,0,0,,0,0,0,1,8,0
6,1961,1961-11-05,8,23.201,CHI,@,PHI,L 14-16,0,0,,0,0,0,,0,0,0,1,0,0
7,1961,1961-11-19,10,23.215,CHI,@,SFO,L 31-41,0,0,,0,1,7,7.00,0,0,0,0,0,0
8,1961,1961-12-10,13,23.236,CHI,,CLE,W 17-14,0,0,,0,1,2,2.00,0,0,0,1,43,0
9,1961,1961-12-17,14,23.243,CHI,,MIN,W 52-35,0,0,,0,0,0,,0,0,0,1,16,0
10,1962,1962-09-16,1,24.151,CHI,@,SFO,W 30-14,0,0,,0,0,0,,0,0,0,1,20,0
11,1962,1962-09-23,2,24.158,CHI,@,RAM,W 27-23,0,0,,0,0,0,,0,0,0,1,36,0
12,1962,1962-10-21,6,24.186,CHI,,BAL,W 35-15,0,0,,0,0,0,,0,0,0,1,24,0
13,1962,1962-10-28,7,24.193,CHI,@,DET,L 3-11,0,0,,0,0,0,,0,0,0,1,31,0
14,1962,1962-12-09,13,24.235,CHI,,RAM,W 30-14,0,0,,0,0,0,,0,1,6,1,101,1
15,1962,1962-12-16,14,24.242,CHI,,DET,W 3-0,0,0,,0,0,0,,0,0,0,1,0,0
16,1963,1963-09-15,1,25.150,CHI,@,GNB,W 10-3,0,0,,0,0,0,,0,0,0,1,19,0
17,1963,1963-09-29,3,25.164,CHI,@,DET,W 37-21,0,0,,0,0,0,,0,1,6,1,66,1
18,1963,1963-10-13,5,25.178,CHI,@,RAM,W 52-14,0,0,,0,0,0,,0,0,0,1,21,0
19,1963,1963-10-20,6,25.185,CHI,@,SFO,L 14-20,0,0,,0,0,0,,0,0,0,1,17,0
