ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1981,1981-09-05,1,22.114,TAM,,MIN,W 21-13,,,,,,,,,,,,
2,1981,1981-09-13,2,22.122,TAM,@,KAN,L 10-19,0,0,,0,0,0,,0,,,,
3,1981,1981-09-20,3,22.129,TAM,@,CHI,L 17-28,0,0,,0,0,0,,0,,,,
4,1981,1981-09-27,4,22.136,TAM,,STL,W 20-10,0,0,,0,0,0,,0,,,,
5,1981,1981-10-04,5,22.143,TAM,,DET,W 28-10,0,0,,0,0,0,,0,,,,
6,1981,1981-10-11,6,22.150,TAM,@,GNB,W 21-10,0,0,,0,0,0,,0,,,,
7,1981,1981-10-18,7,22.157,TAM,@,OAK,L 16-18,0,0,,0,0,0,,0,,,,
8,1981,1981-10-25,8,22.164,TAM,@,PHI,L 10-20,1,40,40.00,0,0,0,,0,0.0,0,0,0
9,1981,1981-11-01,9,22.171,TAM,,CHI,W 20-10,0,0,,0,1,12,12.00,0,0.0,0,0,0
10,1981,1981-11-08,10,22.178,TAM,@,MIN,L 10-25,2,53,26.50,0,1,3,3.00,0,0.0,0,0,0
11,1981,1981-11-15,11,22.185,TAM,,DEN,L 7-24,1,29,29.00,0,3,17,5.67,0,0.0,0,0,0
12,1981,1981-11-22,12,22.192,TAM,,GNB,W 37-3,1,29,29.00,0,2,61,30.50,0,0.0,1,13,0
13,1981,1981-11-29,13,22.199,TAM,@,NOR,W 31-14,0,0,,0,0,0,,0,,,,
14,1981,1981-12-06,14,22.206,TAM,,ATL,W 24-23,4,78,19.50,0,2,7,3.50,0,0.0,0,0,0
15,1981,1981-12-13,15,22.213,TAM,,SDG,L 23-24,0,0,,0,0,0,,0,,,,
16,1981,1981-12-20,16,22.220,TAM,@,DET,W 20-17,2,45,22.50,0,0,0,,0,0.0,0,0,0
17,1982,1982-09-12,1,23.121,TAM,@,MIN,L 10-17,0,0,,0,4,7,1.75,0,0.0,0,0,0
18,1982,1982-09-19,2,23.128,TAM,,WAS,L 13-21,,,,,0,0,,0,,,,
19,1982,1982-11-21,3,23.191,TAM,@,DAL,L 9-14,0,0,,0,4,24,6.00,0,0.0,0,0,0
20,1982,1982-11-29,4,23.199,TAM,,MIA,W 23-17,,,,,0,0,,0,,,,
21,1982,1982-12-05,5,23.205,TAM,@,NOR,W 13-10,0,0,,0,1,5,5.00,0,0.0,0,0,0
22,1982,1982-12-12,6,23.212,TAM,@,NYJ,L 17-32,0,0,,0,2,0,0.00,0,0.0,0,0,0
23,1982,1982-12-19,7,23.219,TAM,,BUF,W 24-23,,,,,0,0,,0,,,,
24,1982,1982-12-26,8,23.226,TAM,,DET,W 23-21,0,0,,0,2,17,8.50,0,0.0,0,0,0
25,1982,1983-01-02,9,23.233,TAM,,CHI,W 26-23,0,0,,0,3,28,9.33,0,0.0,0,0,0
26,1983,1983-09-04,1,24.113,TAM,,DET,L 0-11,,,,,0,0,,0,,,,
27,1983,1983-09-11,2,24.120,TAM,@,CHI,L 10-17,0,0,,0,0,0,,0,0.0,1,5,0
28,1983,1983-09-18,3,24.127,TAM,,MIN,L 16-19,,,,,0,0,,0,,,,
29,1983,1983-09-25,4,24.134,TAM,,CIN,L 17-23,0,0,,0,0,0,,0,0.0,1,13,0
30,1983,1983-10-02,5,24.141,TAM,@,GNB,L 14-55,,,,,0,0,,0,,,,
31,1983,1983-10-09,6,24.148,TAM,@,DAL,L 24-27,0,0,,0,1,12,12.00,0,1.0,0,0,0
32,1983,1983-10-16,7,24.155,TAM,,STL,L 27-34,,,,,0,0,,0,,,,
33,1983,1983-10-23,8,24.162,TAM,,NOR,L 21-24,0,0,,0,0,0,,0,0.0,1,25,0
34,1983,1983-10-30,9,24.169,TAM,@,PIT,L 12-17,,,,,0,0,,0,,,,
35,1983,1983-11-06,10,24.176,TAM,@,MIN,W 17-12,,,,,0,0,,0,,,,
36,1983,1983-11-13,11,24.183,TAM,@,CLE,L 0-20,,,,,0,0,,0,,,,
37,1983,1983-11-20,12,24.190,TAM,,CHI,L 0-27,,,,,0,0,,0,,,,
38,1983,1983-11-27,13,24.197,TAM,,HOU,W 33-24,0,0,,0,3,31,10.33,0,0.0,0,0,0
39,1983,1983-12-04,14,24.204,TAM,@,SFO,L 21-35,,,,,0,0,,0,,,,
