ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1953,1953-10-11,3,21.272,DET,,SFO,W 24-21,2,3,1.50,0,0,0,,0,,,,,,,,
2,1953,1953-10-18,4,21.279,DET,,RAM,L 19-31,1,13,13.00,0,0,0,,0,,,,,,,,
3,1953,1953-10-25,5,21.286,DET,@,SFO,W 14-10,2,4,2.00,0,0,0,,0,,,,,,,,
4,1953,1953-11-26,10,21.318,DET,,GNB,W 34-15,2,4,2.00,0,0,0,,0,,,,,,,,
5,1954,1954-09-26,1,22.257,DET,,CHI,W 48-23,12,17,1.42,0,1,13,13.00,1,,,,,,,,
6,1954,1954-10-10,2,22.271,DET,,RAM,W 21-3,14,119,8.50,1,1,11,11.00,0,,,,,,,,
7,1954,1954-10-16,3,22.277,DET,,BAL,W 35-0,9,11,1.22,1,0,0,,0,,,,,,,,
8,1954,1954-10-24,4,22.285,DET,@,SFO,L 31-37,11,56,5.09,0,2,17,8.50,0,,,,,,,,
9,1954,1954-10-31,5,22.292,DET,@,RAM,W 27-24,8,64,8.00,0,2,12,6.00,0,,,,,,,,
10,1954,1954-11-06,6,22.298,DET,@,BAL,W 27-3,7,18,2.57,0,0,0,,0,,,,,,,,
11,1954,1954-11-25,9,22.317,DET,,GNB,W 28-24,6,39,6.50,0,2,18,9.00,1,,,,,,,,
12,1954,1954-12-05,10,22.327,DET,,PHI,T 13-13,14,56,4.00,1,1,17,17.00,0,,,,,,,,
13,1954,1954-12-12,11,22.334,DET,@,CHI,L 24-28,14,82,5.86,0,4,48,12.00,0,,,,,,,,
14,1954,1954-12-19,12,22.341,DET,@,CLE,W 14-10,9,14,1.56,0,3,9,3.00,0,,,,,,,,
15,1955,1955-09-25,1,23.256,DET,@,GNB,L 17-20,16,77,4.81,0,1,14,14.00,0,,,,,,,,
16,1955,1955-10-01,2,23.262,DET,@,BAL,L 13-28,7,16,2.29,0,4,29,7.25,0,,,,,,,,
17,1955,1955-10-09,3,23.270,DET,,RAM,L 10-17,8,14,1.75,0,3,19,6.33,0,,,,,,,,
18,1955,1955-10-16,4,23.277,DET,,SFO,L 24-27,15,64,4.27,0,3,1,0.33,0,,,,,,,,
19,1955,1955-10-23,5,23.284,DET,@,RAM,L 13-24,14,51,3.64,1,3,24,8.00,0,,,,,,,,
20,1955,1955-10-30,6,23.291,DET,@,SFO,L 21-38,7,31,4.43,1,2,12,6.00,0,,,,,,,,
21,1955,1955-11-05,7,23.297,DET,,BAL,W 24-14,5,31,6.20,0,1,17,17.00,0,,,,,,,,
22,1955,1955-11-13,8,23.305,DET,@,PIT,W 31-28,14,33,2.36,0,4,38,9.50,1,,,,,,,,
23,1955,1955-11-20,9,23.312,DET,,CHI,L 14-24,5,12,2.40,0,3,-3,-1.00,0,,,,,,,,
24,1955,1955-11-24,10,23.316,DET,,GNB,W 24-10,20,120,6.00,1,5,26,5.20,1,,,,,,,,
25,1955,1955-12-04,11,23.326,DET,@,CHI,L 20-21,15,58,3.87,2,5,44,8.80,0,,,,,,,,
26,1955,1955-12-11,12,23.333,DET,,NYG,L 19-24,11,36,3.27,1,10,91,9.10,0,,,,,,,,
27,1957,1957-10-20,4,25.281,CLE,@,PHI,L 7-17,9,30,3.33,0,3,40,13.33,0,,,,,,,,
28,1957,1957-11-03,6,25.295,CLE,,WAS,W 21-17,12,35,2.92,0,0,0,,0,,,,,,,,
29,1957,1957-11-10,7,25.302,CLE,,PIT,W 24-0,2,-4,-2.00,0,0,0,,0,,,,,,,,
30,1957,1957-11-24,9,25.316,CLE,,RAM,W 45-31,15,70,4.67,2,0,0,,0,,,,,,,,
31,1957,1957-12-01,10,25.323,CLE,,CRD,W 31-0,15,67,4.47,1,0,0,,0,,,,,,,,
32,1957,1957-12-08,11,25.330,CLE,@,DET,L 7-20,8,0,0.00,0,1,21,21.00,0,,,,,,,,
33,1957,1957-12-15,12,25.337,CLE,@,NYG,W 34-28,22,117,5.32,1,1,4,4.00,0,,,,,,,,
34,1958,1958-10-05,2,26.266,CLE,@,PIT,W 45-12,4,-1,-0.25,0,0,0,,0,,,,,,,,
35,1958,1958-10-12,3,26.273,CLE,,CRD,W 35-28,2,1,0.50,0,0,0,,0,,,,,,,,
36,1958,1958-11-16,8,26.308,CLE,@,WAS,W 20-10,13,61,4.69,0,2,23,11.50,0,,,,,,,,
37,1958,1958-11-23,9,26.315,CLE,,PHI,W 28-14,12,43,3.58,1,0,0,,0,,,,,,,,
38,1958,1958-11-30,10,26.322,CLE,,WAS,W 21-14,13,95,7.31,1,2,15,7.50,0,,,,,,,,
39,1958,1958-12-07,11,26.329,CLE,@,PHI,W 21-14,21,100,4.76,0,0,0,,0,,,,,,,,
40,1958,1958-12-14,12,26.336,CLE,@,NYG,L 10-13,8,9,1.13,0,1,9,9.00,0,,,,,,,,
41,1959,1959-09-27,1,27.258,GNB,,CHI,W 9-6,2,5,2.50,0,0,0,,0,,,,,,,,
42,1959,1959-10-11,3,27.272,GNB,,SFO,W 21-20,17,62,3.65,0,0,0,,0,,,,,,,,
43,1959,1959-10-18,4,27.279,GNB,,RAM,L 6-45,7,31,4.43,0,2,23,11.50,0,,,,,,,,
44,1959,1959-10-25,5,27.286,GNB,@,BAL,L 21-38,9,88,9.78,1,2,17,8.50,0,,,,,,,,
45,1959,1959-11-01,6,27.293,GNB,@,NYG,L 3-20,5,5,1.00,0,0,0,,0,,,,,,,,
46,1959,1959-11-22,9,27.314,GNB,,WAS,W 21-0,2,13,6.50,0,0,0,,0,,,,,,,,
47,1959,1959-12-06,11,27.328,GNB,@,RAM,W 38-20,2,5,2.50,0,0,0,,0,,,,,,,,
48,1959,1959-12-13,12,27.335,GNB,@,SFO,W 36-14,16,113,7.06,0,1,7,7.00,0,,,,,,,,
49,1960,1960-09-25,1,28.257,GNB,,CHI,L 14-17,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0
50,1960,1960-10-02,2,28.264,GNB,,DET,W 28-9,0,0,,0,0,0,,0,0,0,,0,1,11,11.00,0
51,1960,1960-10-23,4,28.285,GNB,,SFO,W 41-14,1,24,24.00,0,1,21,21.00,0,1,18,18.00,0,1,7,7.00,0
52,1960,1960-10-30,5,28.292,GNB,@,PIT,W 19-13,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0
53,1960,1960-11-06,6,28.299,GNB,@,BAL,L 24-38,0,0,,0,0,0,,0,3,77,25.67,0,0,0,,0
54,1960,1960-11-13,7,28.306,GNB,,DAL,W 41-7,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0
55,1960,1960-11-20,8,28.313,GNB,,RAM,L 31-33,0,0,,0,0,0,,0,6,105,17.50,0,0,0,,0
56,1960,1960-11-24,9,28.317,GNB,@,DET,L 10-23,0,0,,0,0,0,,0,0,0,,0,1,10,10.00,0
57,1960,1960-12-04,10,28.327,GNB,@,CHI,W 41-13,0,0,,0,0,0,,0,0,0,,0,1,12,12.00,0
58,1960,1960-12-10,11,28.333,GNB,@,SFO,W 13-0,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0
59,1960,1960-12-17,12,28.340,GNB,@,RAM,W 35-21,0,0,,0,0,0,,0,1,20,20.00,0,1,4,4.00,0
60,1961,1961-10-01,3,29.262,GNB,,CHI,W 24-0,0,0,,0,0,0,,0,0,0,,0,1,8,8.00,0
61,1961,1961-10-15,5,29.276,GNB,@,CLE,W 49-17,0,0,,0,0,0,,0,0,0,,0,1,11,11.00,0
62,1961,1961-11-12,9,29.304,GNB,@,CHI,W 31-28,0,0,,0,0,0,,0,0,0,,0,1,27,27.00,0
63,1961,1961-11-19,10,29.311,GNB,,RAM,W 35-17,0,0,,0,0,0,,0,0,0,,0,2,55,27.50,0
64,1961,1961-12-10,13,29.332,GNB,@,SFO,L 21-22,0,0,,0,1,16,16.00,0,0,0,,0,0,0,,0
65,1961,1961-12-17,14,29.339,GNB,@,RAM,W 24-17,1,5,5.00,0,2,13,6.50,0,0,0,,0,1,29,29.00,0
66,1962,1962-10-28,7,30.289,GNB,@,BAL,W 17-6,0,0,,0,1,22,22.00,0,0,0,,0,0,0,,0
67,1962,1962-11-04,8,30.296,GNB,@,CHI,W 38-7,0,0,,0,3,33,11.00,0,0,0,,0,0,0,,0
68,1962,1962-11-11,9,30.303,GNB,@,PHI,W 49-0,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0
69,1962,1962-12-02,12,30.324,GNB,,RAM,W 41-10,0,0,,0,2,40,20.00,0,0,0,,0,0,0,,0
70,1963,1963-09-29,3,31.260,GNB,,BAL,W 31-20,2,8,4.00,0,0,0,,0,1,24,24.00,0,0,0,,0
71,1963,1963-10-06,4,31.267,GNB,,RAM,W 42-10,0,0,,0,1,12,12.00,0,0,0,,0,0,0,,0
72,1963,1963-10-20,6,31.281,GNB,@,STL,W 30-7,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0
73,1963,1963-11-17,10,31.309,GNB,@,CHI,L 7-26,0,0,,0,0,0,,0,1,13,13.00,0,0,0,,0
74,1963,1963-11-28,12,31.320,GNB,@,DET,T 13-13,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0
75,1963,1963-12-14,14,31.336,GNB,@,SFO,W 21-17,0,0,,0,0,0,,0,1,7,7.00,0,0,0,,0
