ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-09-19,3,23.184,DAL,,DET,L 17-20,,,,,,0.0%,
2,1994,1994-12-24,16,23.280,DAL,@,NYG,L 10-15,,,,,,0.0%,
3,1995,1995-09-04,1,24.169,DAL,@,NYG,W 35-0,,0,0,,0,0.0%,
4,1995,1995-09-10,2,24.175,DAL,,DEN,W 31-21,3,0,0,,0,0.0%,0.00
5,1995,1995-09-17,3,24.182,DAL,@,MIN,W 23-17,1,1,16,16.00,0,100.0%,16.00
6,1995,1995-09-24,4,24.189,DAL,,ARI,W 34-20,2,0,0,,0,0.0%,0.00
7,1995,1995-10-01,5,24.196,DAL,@,WAS,L 23-27,,0,0,,0,0.0%,
8,1995,1995-10-08,6,24.203,DAL,,GNB,W 34-24,1,0,0,,0,0.0%,0.00
9,1995,1995-10-15,7,24.210,DAL,@,SDG,W 23-9,,0,0,,0,0.0%,
10,1995,1995-10-29,8,24.224,DAL,@,ATL,W 28-13,,0,0,,0,0.0%,
11,1995,1995-11-06,9,24.232,DAL,,PHI,W 34-12,,0,0,,0,0.0%,
12,1995,1995-11-12,10,24.238,DAL,,SFO,L 20-38,,0,0,,0,0.0%,
13,1995,1995-11-19,11,24.245,DAL,@,OAK,W 34-21,,0,0,,0,0.0%,
14,1995,1995-11-23,12,24.249,DAL,,KAN,W 24-12,,0,0,,0,0.0%,
15,1995,1995-12-03,13,24.259,DAL,,WAS,L 17-24,5,3,42,14.00,0,60.0%,8.40
16,1995,1995-12-10,14,24.266,DAL,@,PHI,L 17-20,4,2,25,12.50,0,50.0%,6.25
17,1995,1995-12-17,15,24.273,DAL,,NYG,W 21-20,,0,0,,0,0.0%,
18,1995,1995-12-25,16,24.281,DAL,@,ARI,W 37-13,1,0,0,,0,0.0%,0.00
