ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1999,1999-09-12,1,23.352,GNB,,OAK,W 28-24,,,,,,,,,0,,,,,,,,,,,,
2,1999,1999-09-19,2,23.359,GNB,@,DET,L 15-23,,,,,,,,,0,,,,,,,,,,,,
3,1999,1999-09-26,3,24.001,GNB,,MIN,W 23-20,,,,,,,,,0,,,,,,,,,,,,
4,1999,1999-10-10,4,24.015,GNB,,TAM,W 26-23,,,,,,,,,0,,,,,,,,,,,,
5,1999,1999-10-17,5,24.022,GNB,@,DEN,L 10-31,,,,,,,,,0,,,,,,,,,,,,
6,1999,1999-10-24,6,24.029,GNB,@,SDG,W 31-3,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,6.00,0,0,0,0.0,,
7,1999,1999-11-01,7,24.037,GNB,,SEA,L 7-27,,2,6,33.33,32,0,0,52.1,1,9,5.33,5.33,0,0,,0,0,0,0.0,,
8,1999,1999-11-07,8,24.043,GNB,,CHI,L 13-14,,,,,,,,,0,,,,,,,,,,,,
9,1999,1999-11-14,9,24.050,GNB,@,DAL,L 13-27,,,,,,,,,0,,,,,,,,,,,,
10,1999,1999-11-21,10,24.057,GNB,,DET,W 26-17,,,,,,,,,0,,,,,,,,,,,,
11,1999,1999-11-29,11,24.065,GNB,@,SFO,W 20-3,,0,0,,0,0,0,,0,,,,3,3,1.00,0,0,0,0.0,,
12,1999,1999-12-05,12,24.071,GNB,@,CHI,W 35-19,,,,,,,,,0,,,,,,,,,,,,
13,1999,1999-12-12,13,24.078,GNB,,CAR,L 31-33,,,,,,,,,0,,,,,,,,,,,,
14,1999,1999-12-20,14,24.086,GNB,@,MIN,L 20-24,,1,1,100.00,9,1,0,143.7,0,0,9.00,29.00,0,0,,0,0,0,0.0,,
15,1999,1999-12-26,15,24.092,GNB,@,TAM,L 10-29,,,,,,,,,0,,,,,,,,,,,,
16,1999,2000-01-02,16,24.099,GNB,,ARI,W 49-24,,0,0,,0,0,0,,0,,,,1,0,0.00,0,0,0,0.0,,
17,2000,2000-09-03,1,24.344,GNB,,NYJ,L 16-20,,,,,,,,,0,,,,,,,,,,,,
18,2000,2000-09-10,2,24.351,GNB,@,BUF,L 18-27,,,,,,,,,0,,,,,,,,,,,,
19,2000,2000-09-17,3,24.358,GNB,,PHI,W 6-3,,,,,,,,,0,,,,,,,,,,,,
20,2000,2000-09-24,4,24.365,GNB,@,ARI,W 29-3,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,1,-1,-1.00,0,0,0,0.0,,
21,2000,2000-10-01,5,25.006,GNB,,CHI,L 24-27,,,,,,,,,0,,,,,,,,,,,,
