ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1990,1990-10-07,4,23.327,SFO,@,HOU,W 24-21,,,,,,,
2,1990,1990-10-14,5,23.334,SFO,@,ATL,W 45-35,,,,,,,
3,1990,1990-10-21,6,23.341,SFO,,PIT,W 27-7,,,,,,,
4,1990,1990-10-28,7,23.348,SFO,,CLE,W 20-17,,,,,,,
5,1990,1990-11-25,11,24.011,SFO,,RAM,L 17-28,,,,,,,
6,1990,1990-12-03,12,24.019,SFO,,NYG,W 7-3,,,,,,,
7,1990,1990-12-09,13,24.025,SFO,@,CIN,W 20-17,,,,,,,
8,1990,1990-12-17,14,24.033,SFO,@,RAM,W 26-10,,,,,,,
9,1990,1990-12-23,15,24.039,SFO,,NOR,L 10-13,0,0,,0,1,28,0
10,1990,1990-12-30,16,24.046,SFO,@,MIN,W 20-17,,,,,,,
11,1991,1991-09-02,1,24.292,SFO,@,NYG,L 14-16,0,0,,0,,,
12,1991,1991-09-08,2,24.298,SFO,,SDG,W 34-14,0,0,,0,,,
13,1991,1991-09-15,3,24.305,SFO,@,MIN,L 14-17,0,0,,0,1,0,0
14,1991,1991-09-22,4,24.312,SFO,,RAM,W 27-10,0,0,,0,,,
15,1991,1991-09-29,5,24.319,SFO,@,RAI,L 6-12,0,0,,0,,,
16,1991,1991-10-13,6,24.333,SFO,,ATL,L 34-39,0,0,,0,,,
17,1991,1991-10-20,7,24.340,SFO,,DET,W 35-3,0,0,,0,,,
18,1991,1991-10-27,8,24.347,SFO,@,PHI,W 23-7,0,0,,0,,,
19,1991,1991-11-03,9,24.354,SFO,@,ATL,L 14-17,0,0,,0,,,
20,1991,1991-11-10,10,24.361,SFO,@,NOR,L 3-10,0,0,,0,,,
21,1991,1991-11-17,11,25.003,SFO,,PHO,W 14-10,0,0,,0,,,
22,1991,1991-11-25,12,25.011,SFO,@,RAM,W 33-10,0,0,,0,,,
23,1991,1991-12-01,13,25.017,SFO,,NOR,W 38-24,0,0,,0,,,
24,1991,1991-12-08,14,25.024,SFO,@,SEA,W 24-22,1,0,0.00,0,0,0,0
25,1991,1991-12-14,15,25.030,SFO,,KAN,W 28-14,0,0,,0,,,
26,1991,1991-12-23,16,25.039,SFO,,CHI,W 52-14,0,0,,0,1,20,0
