ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2000,2000-09-10,2,23.328,TEN,,KAN,W 17-14,,,,,,,,
2,2000,2000-09-24,3,23.342,TEN,@,PIT,W 23-20,,,,,,,,
3,2000,2000-10-01,4,23.349,TEN,,NYG,W 28-14,,,,,,,,
4,2000,2000-10-08,5,23.356,TEN,@,CIN,W 23-14,,,,,,,,
5,2000,2000-10-16,6,23.364,TEN,,JAX,W 27-13,,,,,,,,
6,2000,2000-10-22,7,24.004,TEN,@,BAL,W 14-6,,,,,,,,
7,2000,2000-10-30,8,24.012,TEN,@,WAS,W 27-21,,,,,,,,
8,2000,2000-11-05,9,24.018,TEN,,PIT,W 9-7,,,,,,,,
9,2000,2000-11-12,10,24.025,TEN,,BAL,L 23-24,,,,,,,,
10,2000,2000-11-19,11,24.032,TEN,,CLE,W 24-10,,1,10,10.00,0,0.0,,
11,2000,2000-11-26,12,24.039,TEN,@,JAX,L 13-16,,,,,,,,
12,2000,2000-12-03,13,24.046,TEN,@,PHI,W 15-13,,,,,,,,
13,2000,2000-12-10,14,24.053,TEN,,CIN,W 35-3,,,,,,,,
14,2000,2000-12-17,15,24.060,TEN,@,CLE,W 24-0,,,,,,,,
15,2000,2000-12-25,16,24.068,TEN,,DAL,W 31-0,,,,,,,,
16,2001,2001-09-09,1,24.326,TEN,,MIA,L 23-31,,,,,,,,
17,2001,2001-09-23,2,24.340,TEN,@,JAX,L 6-13,,,,,,,,
18,2001,2001-10-07,3,24.354,TEN,@,BAL,L 7-26,,,,,,,,
19,2001,2001-10-14,4,24.361,TEN,,TAM,W 31-28,,,,,,,,
20,2002,2002-11-11,9,26.024,DEN,,OAK,L 10-34,,,,,,,,
21,2002,2002-11-17,10,26.030,DEN,@,SEA,W 31-9,,,,,,,,
22,2002,2002-11-24,11,26.037,DEN,,IND,L 20-23,,,,,,,,
23,2002,2002-12-01,12,26.044,DEN,@,SDG,L 27-30,,,,,,,,
24,2002,2002-12-08,13,26.051,DEN,@,NYJ,L 13-19,,,,,,,,
25,2002,2002-12-15,14,26.058,DEN,,KAN,W 31-24,,,,,,,,
26,2002,2002-12-22,15,26.065,DEN,@,OAK,L 16-28,,,,,,,,
27,2002,2002-12-29,16,26.072,DEN,,ARI,W 37-7,,,,,,,,
28,2003,2003-09-07,1,26.324,DEN,@,CIN,W 30-10,,,,,,,,
29,2003,2003-09-14,2,26.331,DEN,@,SDG,W 37-13,,,,,,,,
30,2003,2003-09-22,3,26.339,DEN,,OAK,W 31-10,,,,,,,,
31,2003,2003-09-28,4,26.345,DEN,,DET,W 20-16,,,,,,,,
32,2003,2003-10-05,5,26.352,DEN,@,KAN,L 23-24,,,,,,,,
33,2003,2003-10-12,6,26.359,DEN,,PIT,W 17-14,,,,,,,,
34,2003,2003-10-19,7,27.001,DEN,@,MIN,L 20-28,,,,,,,,
35,2003,2003-10-26,8,27.008,DEN,@,BAL,L 6-26,,,,,,,,
36,2003,2003-11-03,9,27.016,DEN,,NWE,L 26-30,,,,,,,,
37,2003,2003-11-16,10,27.029,DEN,,SDG,W 37-8,,,,,,,,
38,2003,2003-11-23,11,27.036,DEN,,CHI,L 10-19,,,,,,,,
39,2003,2003-11-30,12,27.043,DEN,@,OAK,W 22-8,,,,,,,,
40,2003,2003-12-07,13,27.050,DEN,,KAN,W 45-27,,,,,,,,
41,2003,2003-12-14,14,27.057,DEN,,CLE,W 23-20,,,,,,,,
42,2003,2003-12-21,15,27.064,DEN,@,IND,W 31-17,,,,,,,,
43,2003,2003-12-28,16,27.071,DEN,@,GNB,L 3-31,,,,,,,,
44,2004,2004-09-12,1,27.330,DEN,,KAN,W 34-24,,,,,,,,
45,2004,2004-09-19,2,27.337,DEN,@,JAX,L 6-7,,,,,,,,
46,2004,2004-09-26,3,27.344,DEN,,SDG,W 23-13,,,,,,,,
47,2004,2004-10-03,4,27.351,DEN,@,TAM,W 16-13,,,,,,,,
48,2004,2004-10-10,5,27.358,DEN,,CAR,W 20-17,,,,,,,,
49,2004,2004-10-17,6,27.365,DEN,@,OAK,W 31-3,,,,,,,,
50,2004,2004-10-25,7,28.007,DEN,@,CIN,L 10-23,,,,,,,,
51,2004,2004-10-31,8,28.013,DEN,,ATL,L 28-41,,,,,,,,
52,2004,2004-11-07,9,28.020,DEN,,HOU,W 31-13,,,,,,,,
53,2004,2004-11-21,10,28.034,DEN,@,NOR,W 34-13,,,,,,,,
54,2004,2004-11-28,11,28.041,DEN,,OAK,L 24-25,,,,,,,,
55,2004,2004-12-05,12,28.048,DEN,@,SDG,L 17-20,,,,,,,,
56,2004,2004-12-12,13,28.055,DEN,,MIA,W 20-17,,,,,,,,
57,2004,2004-12-19,14,28.062,DEN,@,KAN,L 17-45,,,,,,,,
58,2004,2004-12-25,15,28.068,DEN,@,TEN,W 37-16,,,,,,,,
59,2004,2005-01-02,16,28.076,DEN,,IND,W 33-14,,,,,,,,
60,2005,2005-09-11,1,28.328,DEN,@,MIA,L 10-34,,0,0,,0,0.0,,
61,2005,2005-09-18,2,28.335,DEN,,SDG,W 20-17,,0,0,,0,0.0,,
62,2005,2005-09-26,3,28.343,DEN,,KAN,W 30-10,,0,0,,0,0.0,,
63,2005,2005-10-02,4,28.349,DEN,@,JAX,W 20-7,,0,0,,0,0.0,,
64,2005,2005-10-09,5,28.356,DEN,,WAS,W 21-19,,0,0,,0,0.0,,
65,2005,2005-10-16,6,28.363,DEN,,NWE,W 28-20,,0,0,,0,0.0,,
66,2005,2005-10-23,7,29.005,DEN,@,NYG,L 23-24,,0,0,,0,0.0,,
67,2005,2005-10-30,8,29.012,DEN,,PHI,W 49-21,,0,0,,0,0.0,,
68,2005,2005-11-13,9,29.026,DEN,@,OAK,W 31-17,,0,0,,0,0.0,,
69,2005,2005-11-20,10,29.033,DEN,,NYJ,W 27-0,,0,0,,0,0.0,,
70,2005,2005-11-24,11,29.037,DEN,@,DAL,W 24-21,,0,0,,0,0.0,,
71,2005,2005-12-04,12,29.047,DEN,@,KAN,L 27-31,,0,0,,0,0.0,,
72,2005,2005-12-11,13,29.054,DEN,,BAL,W 12-10,,0,0,,0,0.0,,
73,2005,2005-12-17,14,29.060,DEN,@,BUF,W 28-17,,0,0,,0,0.0,,
74,2005,2005-12-24,15,29.067,DEN,,OAK,W 22-3,,0,0,,0,0.0,,
75,2005,2005-12-31,16,29.074,DEN,@,SDG,W 23-7,,0,0,,0,0.0,,
76,2006,2006-09-10,1,29.327,DEN,@,STL,L 10-18,,0,0,,0,0.0,,
77,2006,2006-09-17,2,29.334,DEN,,KAN,W 9-6,,0,0,,0,0.0,,
78,2006,2006-09-24,3,29.341,DEN,@,NWE,W 17-7,,0,0,,0,0.0,,
79,2006,2006-10-09,4,29.356,DEN,,BAL,W 13-3,,0,0,,0,0.0,,
80,2006,2006-10-15,5,29.362,DEN,,OAK,W 13-3,,0,0,,0,0.0,,
81,2006,2006-10-22,6,30.004,DEN,@,CLE,W 17-7,,0,0,,0,0.0,,
82,2006,2006-10-29,7,30.011,DEN,,IND,L 31-34,,0,0,,0,0.0,,
83,2006,2006-11-05,8,30.018,DEN,@,PIT,W 31-20,,0,0,,0,0.0,,
84,2006,2006-11-12,9,30.025,DEN,@,OAK,W 17-13,,0,0,,0,0.0,,
85,2006,2006-11-19,10,30.032,DEN,,SDG,L 27-35,,0,0,,0,0.0,,
86,2006,2006-11-23,11,30.036,DEN,@,KAN,L 10-19,,0,0,,0,0.0,,
87,2006,2006-12-03,12,30.046,DEN,,SEA,L 20-23,,0,0,,0,0.0,,
88,2006,2006-12-10,13,30.053,DEN,@,SDG,L 20-48,,0,0,,0,0.0,,
89,2006,2006-12-17,14,30.060,DEN,@,ARI,W 37-20,,0,0,,0,0.0,,
90,2006,2006-12-24,15,30.067,DEN,,CIN,W 24-23,,0,0,,0,0.0,,
