ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1960,1960-10-02,4,24.172,OAK,@,DEN,L 14-31,1,7,7.00,0,1,19,19.00,0,0,0,,0
2,1960,1960-10-09,5,24.179,OAK,@,DTX,W 20-19,0,0,,0,0,0,,0,1,5,5.00,0
