ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,22.276,PIT,,NYG,L 7-18,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,3,-5,-1.67,0,0,0,,0
2,1950,1950-09-24,2,22.283,PIT,@,DET,L 7-10,,8,22,36.36,110,1,0,68.4,0,0,5.00,5.91,11,45,4.09,0,0,0,,0
3,1950,1950-10-01,3,22.290,PIT,@,WAS,W 26-7,,3,7,42.86,36,0,0,59.2,0,0,5.14,5.14,8,13,1.63,1,0,0,,0
4,1950,1950-10-22,6,22.311,PIT,,PHI,L 10-17,,3,7,42.86,61,0,1,34.5,0,0,8.71,2.29,3,17,5.67,0,0,0,,0
5,1950,1950-10-29,7,22.318,PIT,@,CLE,L 7-45,,5,13,38.46,67,0,3,16.0,0,0,5.15,-5.23,7,12,1.71,0,2,43,21.50,1
6,1950,1950-11-05,8,22.325,PIT,@,PHI,W 9-7,,1,5,20.00,10,0,0,39.6,0,0,2.00,2.00,2,3,1.50,0,0,0,,0
7,1950,1950-11-12,9,22.332,PIT,,BAL,W 17-7,,0,0,,0,0,,,,,,,1,1,1.00,1,0,0,,0
8,1950,1950-11-23,10,22.343,PIT,@,CRD,W 28-17,,0,0,,0,0,,,,,,,1,13,13.00,1,0,0,,0
9,1950,1950-12-03,11,22.353,PIT,,WAS,L 7-24,,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,3,7,2.33,0,0,0,,0
10,1950,1950-12-10,12,22.360,PIT,,CRD,W 28-7,,0,0,,0,0,,,,,,,0,0,,0,1,48,48.00,1
