ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-10-28,9,22.301,CHI,@,SFO,W 28-27,,,,,,,,,,
2,1979,1979-11-04,10,22.308,CHI,,DET,W 35-7,,,,,,,,,,
3,1979,1979-11-22,13,22.326,CHI,@,DET,L 0-20,,,,,,,,,,
4,1979,1979-12-02,14,22.336,CHI,@,TAM,W 14-0,,,,,,,,,,
5,1980,1980-09-07,1,23.251,CHI,@,GNB,L 6-12,,,,,,,,,,
6,1980,1980-09-14,2,23.258,CHI,,NOR,W 22-3,,,,,,,,,,
7,1980,1980-09-21,3,23.265,CHI,,MIN,L 14-34,,,,,,,,,,
8,1980,1980-09-28,4,23.272,CHI,@,PIT,L 3-38,,,,,,,,,,
9,1980,1980-10-06,5,23.280,CHI,,TAM,W 23-0,,,,,,,,,,
10,1980,1980-10-12,6,23.286,CHI,@,MIN,L 7-13,,,,,,,,,,
11,1980,1980-10-19,7,23.293,CHI,,DET,W 24-7,,,,,,,,,,
12,1980,1980-10-26,8,23.300,CHI,@,PHI,L 14-17,,,,,,,,,,
13,1980,1980-11-03,9,23.308,CHI,@,CLE,L 21-27,,,,,,,,,,
14,1980,1980-11-09,10,23.314,CHI,,WAS,W 35-21,,,,,,,,,,
15,1980,1980-11-16,11,23.321,CHI,,HOU,L 6-10,,,,,,,,,,
16,1980,1980-11-23,12,23.328,CHI,@,ATL,L 17-28,,,,,,,,,,
17,1980,1980-11-27,13,23.332,CHI,@,DET,W 23-17,,,,,,,,,,
18,1980,1980-12-07,14,23.342,CHI,,GNB,W 61-7,,,,,,,,,,
19,1980,1980-12-14,15,23.349,CHI,,CIN,L 14-17,,,,,,,,,,
20,1980,1980-12-20,16,23.355,CHI,@,TAM,W 14-13,,,,,,,,,,
21,1981,1981-09-06,1,24.249,CHI,,GNB,L 9-16,0,0,,0,,,,,,
22,1981,1981-09-13,2,24.256,CHI,@,SFO,L 17-28,0,0,,0,,,,,,
23,1981,1981-09-20,3,24.263,CHI,,TAM,W 28-17,0,0,,0,,,,,,
24,1981,1981-09-28,4,24.271,CHI,,RAM,L 7-24,0,0,,0,,,,,,
25,1981,1981-10-04,5,24.277,CHI,@,MIN,L 21-24,0,0,,0,,,,,,
26,1981,1981-10-11,6,24.284,CHI,,WAS,L 7-24,0,0,,0,,,,,,
27,1981,1981-10-19,7,24.292,CHI,@,DET,L 17-48,0,0,,0,,,,,,
28,1981,1981-10-25,8,24.298,CHI,,SDG,W 20-17,0,0,,0,,,,,,
29,1981,1981-11-01,9,24.305,CHI,@,TAM,L 10-20,0,0,,0,,,,,,
30,1981,1981-11-08,10,24.312,CHI,@,KAN,W 16-13,0,0,,0,,,,,,
31,1981,1981-11-15,11,24.319,CHI,@,GNB,L 17-21,0,0,,0,,,,,,
