ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-11-07,8,23.362,PIT,,PHI,W 27-3,,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
2,2004,2004-11-14,9,24.003,PIT,@,CLE,W 24-10,,8,44,5.50,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,0.0,,
3,2004,2004-11-21,10,24.010,PIT,@,CIN,W 19-14,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
4,2004,2004-11-28,11,24.017,PIT,,WAS,W 16-7,,,,,,1,,,,,0.0%,,,,,,,,,,,,,,,,,
5,2004,2004-12-05,12,24.024,PIT,@,JAX,W 17-16,,1,12,12.00,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,0.0,,
6,2004,2004-12-12,13,24.031,PIT,,NYJ,W 17-6,,1,14,14.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,0.0,,
7,2004,2004-12-18,14,24.037,PIT,@,NYG,W 33-30,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,
8,2004,2005-01-02,16,24.052,PIT,@,BUF,W 29-24,,19,102,5.37,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,0.0,,
9,2005,2005-09-11,1,24.304,PIT,,TEN,W 34-7,*,22,161,7.32,1,1,1,48,48.00,0,100.0%,48.00,0,0,,0,0,0,,,,,,1,6,0.0,,
10,2005,2005-09-18,2,24.311,PIT,@,HOU,W 27-7,*,25,111,4.44,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,0.0,,
11,2005,2005-09-25,3,24.318,PIT,,NWE,L 20-23,*,17,55,3.24,0,3,1,-6,-6.00,0,33.3%,-2.00,0,0,,0,0,0,,,,,,0,0,0.0,,
12,2005,2005-10-10,4,24.333,PIT,@,SDG,W 24-22,*,10,26,2.60,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0,0.0,,
13,2005,2005-10-16,5,24.339,PIT,,JAX,L 17-23,*,21,55,2.62,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,0.0,,
14,2005,2005-10-23,6,24.346,PIT,@,CIN,W 27-13,*,18,131,7.28,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,0.0,,
15,2005,2005-10-31,7,24.354,PIT,,BAL,W 20-19,*,14,63,4.50,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,0.0,,
16,2005,2005-11-06,8,24.360,PIT,@,GNB,W 20-10,*,5,13,2.60,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,0.0,,
17,2005,2005-11-20,10,25.009,PIT,@,BAL,L 13-16,*,18,59,3.28,0,3,2,22,11.00,1,66.7%,7.33,0,0,,0,0,0,,,,,,1,6,0.0,,
18,2005,2005-11-28,11,25.017,PIT,@,IND,L 7-26,*,12,43,3.58,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,,,,,0,0,0.0,,
19,2005,2005-12-04,12,25.023,PIT,,CIN,L 31-38,*,15,71,4.73,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,0.0,,
20,2005,2005-12-11,13,25.030,PIT,,CHI,W 21-9,*,21,68,3.24,0,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,,,,,,0,0,0.0,,
21,2005,2005-12-18,14,25.037,PIT,@,MIN,W 18-3,*,14,81,5.79,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,0.0,,
22,2005,2005-12-24,15,25.043,PIT,@,CLE,W 41-0,*,17,130,7.65,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6,0.0,,
23,2005,2006-01-01,16,25.051,PIT,,DET,W 35-21,*,26,135,5.19,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,0.0,,
24,2006,2006-09-07,1,25.300,PIT,,MIA,W 28-17,*,29,115,3.97,0,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,,,,,0,0,0.0,,
25,2006,2006-09-18,2,25.311,PIT,@,JAX,L 0-9,*,11,20,1.82,0,3,3,6,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,0.0,,
26,2006,2006-09-24,3,25.317,PIT,,CIN,L 20-28,*,31,133,4.29,2,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,2,12,0.0,,
27,2006,2006-10-08,4,25.331,PIT,@,SDG,L 13-23,*,14,57,4.07,1,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,,,,,1,6,0.0,,
28,2006,2006-10-15,5,25.338,PIT,,KAN,W 45-7,*,21,109,5.19,2,1,1,-11,-11.00,0,100.0%,-11.00,0,0,,0,0,0,,,,,,2,12,0.0,,
29,2006,2006-10-22,6,25.345,PIT,@,ATL,L 38-41,*,20,47,2.35,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,0.0,,
30,2006,2006-10-29,7,25.352,PIT,@,OAK,L 13-20,*,22,83,3.77,0,2,2,28,14.00,1,100.0%,14.00,0,0,,0,0,0,,,,,,1,6,0.0,,
31,2006,2006-11-05,8,25.359,PIT,,DEN,L 20-31,*,14,70,5.00,1,9,7,67,9.57,1,77.8%,7.44,0,0,,0,0,0,,,,,,2,12,0.0,,
32,2006,2006-11-12,9,26.001,PIT,,NOR,W 38-31,*,22,213,9.68,2,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,2,12,0.0,,
33,2006,2006-11-19,10,26.008,PIT,@,CLE,W 24-20,*,16,46,2.88,1,5,4,17,4.25,1,80.0%,3.40,0,0,,0,0,0,,,,,,2,12,0.0,,
34,2006,2006-11-26,11,26.015,PIT,@,BAL,L 0-27,*,10,22,2.20,0,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,,,,,0,0,0.0,,
35,2006,2006-12-03,12,26.022,PIT,,TAM,W 20-3,*,22,61,2.77,0,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,,,,,0,0,0.0,,
36,2006,2006-12-07,13,26.026,PIT,,CLE,W 27-7,*,32,223,6.97,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6,0.0,,
37,2006,2006-12-17,14,26.036,PIT,@,CAR,W 37-3,*,23,132,5.74,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6,0.0,,
38,2006,2006-12-24,15,26.043,PIT,,BAL,L 7-31,*,13,29,2.23,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,0.0,,
39,2006,2006-12-31,16,26.050,PIT,@,CIN,W 23-17,*,37,134,3.62,2,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,2,12,0.0,,
40,2007,2007-09-09,1,26.302,PIT,@,CLE,W 34-7,*,27,109,4.04,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,,,,0,0,0.0,,
41,2007,2007-09-16,2,26.309,PIT,,BUF,W 26-3,*,23,126,5.48,1,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,,,1,6,0.0,,
