ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-11-18,10,25.236,BAL,@,PIT,W 13-10,,,,,,,,,,,
2,2012,2012-11-25,11,25.243,BAL,@,SDG,W 16-13,,0,0,,0,0.0,0,0,0,0,0
3,2013,2013-09-05,1,26.162,BAL,@,DEN,L 27-49,,,,,,,,,,,
4,2013,2013-09-15,2,26.172,BAL,,CLE,W 14-6,,0,0,,0,0.0,1,0,0,0,0
5,2013,2013-09-22,3,26.179,BAL,,HOU,W 30-9,,,,,,,,,,,
6,2013,2013-09-29,4,26.186,BAL,@,BUF,L 20-23,,0,0,,0,0.0,1,0,0,0,0
7,2013,2013-10-06,5,26.193,BAL,@,MIA,W 26-23,,,,,,,,,,,
8,2013,2013-10-13,6,26.200,BAL,,GNB,L 17-19,,,,,,,,,,,
9,2013,2013-10-20,7,26.207,BAL,@,PIT,L 16-19,,,,,,,,,,,
10,2013,2013-11-03,8,26.221,BAL,@,CLE,L 18-24,,,,,,,,,,,
11,2013,2013-11-10,9,26.228,BAL,,CIN,W 20-17,,0,0,,0,0.0,1,0,0,0,0
12,2013,2013-11-17,10,26.235,BAL,@,CHI,L 20-23,,,,,,,,,,,
13,2013,2013-11-24,11,26.242,BAL,,NYJ,W 19-3,,0,0,,0,0.0,3,0,0,0,0
14,2013,2013-11-28,12,26.246,BAL,,PIT,W 22-20,,,,,,,,,,,
15,2013,2013-12-08,13,26.256,BAL,,MIN,W 29-26,,,,,,,,,,,
16,2013,2013-12-16,14,26.264,BAL,@,DET,W 18-16,,0,0,,0,0.0,2,1,0,0,0
17,2013,2013-12-22,15,26.270,BAL,,NWE,L 7-41,,,,,,,,,,,
18,2013,2013-12-29,16,26.277,BAL,@,CIN,L 17-34,,0,0,,0,0.0,2,0,0,0,0
19,2014,2014-09-07,1,27.164,BAL,,CIN,L 16-23,,,,,,,,,,,
20,2014,2014-09-11,2,27.168,BAL,,PIT,W 26-6,,0,0,,0,0.0,1,0,0,0,0
21,2014,2014-09-21,3,27.178,BAL,@,CLE,W 23-21,,0,0,,0,0.0,0,1,0,0,0
22,2014,2014-09-28,4,27.185,BAL,,CAR,W 38-10,,0,0,,0,0.0,1,0,0,0,0
23,2014,2014-10-05,5,27.192,BAL,@,IND,L 13-20,,,,,,,,,,,
24,2014,2014-10-12,6,27.199,BAL,@,TAM,W 48-17,,,,,,,,,,,
