ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,23.182,CLE,,IND,L 6-9,,,,,,,,,,,,,
2,2003,2003-09-14,2,23.189,CLE,@,BAL,L 13-33,,,,,,,,,,,,,
3,2003,2003-09-21,3,23.196,CLE,@,SFO,W 13-12,,,,,,,,,,,,,
4,2003,2003-09-28,4,23.203,CLE,,CIN,L 14-21,,,,,,,,,,,,,
5,2003,2003-10-05,5,23.210,CLE,@,PIT,W 33-13,,,,,,,,,,,,,
6,2003,2003-10-12,6,23.217,CLE,,OAK,W 13-7,,,,,,,,,,,,,
7,2003,2003-10-19,7,23.224,CLE,,SDG,L 20-26,,,,,,,,,,,,,
8,2003,2003-10-26,8,23.231,CLE,@,NWE,L 3-9,,,,,,,,,,,,,
9,2003,2003-11-09,9,23.245,CLE,@,KAN,L 20-41,,,,,,,,,,,,,
10,2003,2003-11-16,10,23.252,CLE,,ARI,W 44-6,,,,,,,,,,,,,
11,2003,2003-11-23,11,23.259,CLE,,PIT,L 6-13,,,,,,,,,,,,,
12,2003,2003-11-30,12,23.266,CLE,@,SEA,L 7-34,*,,,,,,,,,,,,
13,2003,2003-12-08,13,23.274,CLE,,STL,L 20-26,,,,,,,,,,,,,
14,2003,2003-12-14,14,23.280,CLE,@,DEN,L 20-23,,,,,,,,,,,,,
15,2003,2003-12-21,15,23.287,CLE,,BAL,L 0-35,,,,,,,,,,,,,
16,2003,2003-12-28,16,23.294,CLE,@,CIN,W 22-14,,,,,,,,,,,,,
17,2004,2004-09-12,1,24.187,CLE,,BAL,W 20-3,,,,,,,,,,,,,
18,2004,2004-09-19,2,24.194,CLE,@,DAL,L 12-19,,,,,,,,,,,,,
19,2004,2004-09-26,3,24.201,CLE,@,NYG,L 10-27,,,,,,,,,,,,,
20,2004,2004-10-03,4,24.208,CLE,,WAS,W 17-13,,,,,,,,,,,,,
21,2004,2004-10-10,5,24.215,CLE,@,PIT,L 23-34,,0,0,,0,1,6,0.0,,,1,20,1
22,2004,2004-10-17,6,24.222,CLE,,CIN,W 34-17,,,,,,,,,,,,,
23,2004,2004-10-24,7,24.229,CLE,,PHI,L 31-34,*,,,,,,,,,,,,
24,2004,2004-11-07,8,24.243,CLE,@,BAL,L 13-27,*,,,,,,,,,,,,
25,2004,2004-11-14,9,24.250,CLE,,PIT,L 10-24,,0,0,,0,0,0,1.0,,,0,0,0
26,2004,2004-11-21,10,24.257,CLE,,NYJ,L 7-10,*,0,0,,0,0,0,1.0,,,0,0,0
27,2004,2004-11-28,11,24.264,CLE,@,CIN,L 48-58,*,,,,,,,,,,,,
28,2004,2004-12-05,12,24.271,CLE,,NWE,L 15-42,*,,,,,,,,,,,,
29,2005,2005-09-11,1,25.186,CLE,,CIN,L 13-27,*,0,0,,0,0,0,1.0,,,0,0,0
30,2005,2005-09-18,2,25.193,CLE,@,GNB,W 26-24,*,,,,,,,,,,,,
31,2005,2005-09-25,3,25.200,CLE,@,IND,L 6-13,*,,,,,,,,,,,,
32,2005,2005-10-09,4,25.214,CLE,,CHI,W 20-10,*,0,0,,0,0,0,1.0,,,0,0,0
33,2005,2005-10-16,5,25.221,CLE,@,BAL,L 3-16,*,,,,,,,,,,,,
34,2005,2005-10-23,6,25.228,CLE,,DET,L 10-13,*,,,,,,,,,,,,
35,2005,2005-10-30,7,25.235,CLE,@,HOU,L 16-19,*,,,,,,,,,,,,
36,2005,2005-11-06,8,25.242,CLE,,TEN,W 20-14,*,,,,,,,,,,,,
37,2005,2005-11-13,9,25.249,CLE,@,PIT,L 21-34,*,,,,,,,,,,,,
