ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-25,3,25.050,SEA,,ARI,W 37-12,,1,1,100.00,42,0,0,118.7,0,0,42.00,42.00,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
2,2005,2005-10-16,6,25.071,SEA,,HOU,W 42-10,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
3,2005,2005-11-27,11,25.113,SEA,,NYG,W 24-21,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
4,2005,2005-12-05,12,25.121,SEA,@,PHI,W 42-0,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
5,2005,2005-12-11,13,25.127,SEA,,SFO,W 41-3,,3,5,60.00,33,0,0,79.6,0,0,6.60,6.60,2,-3,-1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
6,2005,2005-12-24,15,25.140,SEA,,IND,W 28-13,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
7,2005,2006-01-01,16,25.148,SEA,@,GNB,L 17-23,,9,17,52.94,98,1,1,65.3,3,20,5.76,4.29,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
8,2006,2006-09-10,1,26.035,SEA,@,DET,W 9-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
9,2006,2006-10-01,4,26.056,SEA,@,CHI,L 6-37,,1,2,50.00,6,0,0,56.2,0,0,3.00,3.00,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
10,2006,2006-10-22,6,26.077,SEA,,MIN,L 13-31,,14,25,56.00,134,0,2,37.7,2,9,5.36,1.76,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
11,2006,2006-10-29,7,26.084,SEA,@,KAN,L 28-35,*,15,30,50.00,198,3,2,76.8,2,8,6.60,5.60,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
