ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1975,1975-09-21,1,22.046,NWE,,HOU,L 0-7,,,,,,,,,,,,
2,1975,1975-09-28,2,22.053,NWE,,MIA,L 14-22,,,,,,,,,,,,
3,1975,1975-10-05,3,22.060,NWE,@,NYJ,L 7-36,0,0,,0,0,0,,0,1,11,11.00,0
4,1975,1975-10-12,4,22.067,NWE,@,CIN,L 10-27,,,,,,,,,,,,
5,1975,1975-10-19,5,22.074,NWE,,BAL,W 21-10,,,,,,,,,,,,
6,1975,1975-10-26,6,22.081,NWE,,SFO,W 24-16,,,,,,,,,,,,
7,1975,1975-11-02,7,22.088,NWE,@,STL,L 17-24,3,38,12.67,0,0,0,,0,0,0,,0
8,1975,1975-11-09,8,22.095,NWE,@,SDG,W 33-19,,,,,,,,,,,,
9,1975,1975-11-16,9,22.102,NWE,,DAL,L 31-34,1,76,76.00,0,0,0,,0,3,54,18.00,0
10,1975,1975-12-01,11,22.117,NWE,@,MIA,L 7-20,,,,,,,,,,,,
11,1975,1975-12-07,12,22.123,NWE,,NYJ,L 28-30,1,34,34.00,0,0,0,,0,0,0,,0
12,1975,1975-12-14,13,22.130,NWE,,BUF,L 14-34,,,,,,,,,,,,
13,1975,1975-12-21,14,22.137,NWE,@,BAL,L 21-34,1,10,10.00,0,0,0,,0,0,0,,0
14,1976,1976-10-18,6,23.073,NWE,,NYJ,W 41-7,1,10,10.00,0,0,0,,0,0,0,,0
15,1976,1976-10-24,7,23.079,NWE,@,BUF,W 26-22,,,,,,,,,,,,
16,1976,1976-10-31,8,23.086,NWE,@,MIA,L 3-10,,,,,,,,,,,,
17,1976,1976-11-14,10,23.100,NWE,@,BAL,W 21-14,,,,,,,,,,,,
18,1976,1976-11-21,11,23.107,NWE,@,NYJ,W 38-24,,,,,,,,,,,,
19,1976,1976-11-28,12,23.114,NWE,,DEN,W 38-14,,,,,,,,,,,,
20,1976,1976-12-05,13,23.121,NWE,,NOR,W 27-6,,,,,,,,,,,,
21,1976,1976-12-12,14,23.128,NWE,@,TAM,W 31-14,1,17,17.00,0,1,2,2.00,0,0,0,,0
22,1977,1977-09-18,1,24.043,NWE,,KAN,W 21-17,1,20,20.00,0,0,0,,0,0,0,,0
23,1977,1977-09-26,2,24.051,NWE,@,CLE,L 27-30,1,22,22.00,0,0,0,,0,0,0,,0
24,1977,1977-10-02,3,24.057,NWE,@,NYJ,L 27-30,2,22,11.00,0,0,0,,0,0,0,,0
25,1977,1977-10-09,4,24.064,NWE,,SEA,W 31-0,,,,,,,,,,,,
26,1977,1977-10-16,5,24.071,NWE,@,SDG,W 24-20,,,,,,,,,,,,
27,1977,1977-10-23,6,24.078,NWE,,BAL,W 17-3,,,,,,,,,,,,
28,1977,1977-10-30,7,24.085,NWE,,NYJ,W 24-13,,,,,,,,,,,,
29,1977,1977-11-06,8,24.092,NWE,,BUF,L 14-24,1,15,15.00,0,0,0,,0,0,0,,0
30,1977,1977-11-13,9,24.099,NWE,@,MIA,L 5-17,,,,,,,,,,,,
31,1977,1977-11-27,11,24.113,NWE,,PHI,W 14-6,,,,,,,,,,,,
32,1977,1977-12-04,12,24.120,NWE,@,ATL,W 16-10,,,,,,,,,,,,
33,1977,1977-12-11,13,24.127,NWE,,MIA,W 14-10,,,,,,,,,,,,
34,1977,1977-12-18,14,24.134,NWE,@,BAL,L 24-30,,,,,,,,,,,,
