ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1967,1967-09-17,1,24.136,PHI,,WAS,W 35-24,0,0,,0,1,17,17.00,0,0,0,0
2,1967,1967-10-08,4,24.157,PHI,@,ATL,W 38-7,0,0,,0,0,0,,0,1,17,0
3,1967,1967-12-03,12,24.213,PHI,@,WAS,T 35-35,0,0,,0,0,0,,0,1,12,0
4,1969,1969-10-05,3,26.154,PHI,,DAL,L 7-38,1,20,20.00,0,0,0,,0,0,0,0
