ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-10-14,6,22.345,GNB,@,HOU,W 42-24,,,,,,,0.0%,,,,,,,,,,
2,2012,2012-10-21,7,22.352,GNB,@,STL,W 30-20,,,,,,,0.0%,,,,,,,,,,
3,2012,2012-10-28,8,22.359,GNB,,JAX,W 24-15,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
4,2012,2012-11-04,9,23.000,GNB,,ARI,W 31-17,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,0.0,0,0
5,2012,2012-11-25,11,23.021,GNB,@,NYG,L 10-38,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
6,2012,2012-12-02,12,23.028,GNB,,MIN,W 23-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
7,2012,2012-12-09,13,23.035,GNB,,DET,W 27-20,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0
8,2012,2012-12-16,14,23.042,GNB,@,CHI,W 21-13,,,,,,,0.0%,,,,,,,,,,
9,2012,2012-12-23,15,23.049,GNB,,TEN,W 55-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
10,2012,2012-12-30,16,23.056,GNB,@,MIN,L 34-37,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
11,2013,2013-09-08,1,23.308,GNB,@,SFO,L 28-34,,,,,,,0.0%,,,,,,,,,,
12,2013,2013-09-15,2,23.315,GNB,,WAS,W 38-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
13,2013,2013-09-22,3,23.322,GNB,@,CIN,L 30-34,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
14,2013,2013-10-06,4,23.336,GNB,,DET,W 22-9,,0,,,,,0.0%,,,,,,,,,,
15,2013,2013-10-13,5,23.343,GNB,@,BAL,W 19-17,,6,1,43,43.00,0,16.7%,7.17,0,0,,0,0,0,0.0,0,0
16,2013,2013-10-20,6,23.350,GNB,,CLE,W 31-13,*,10,8,103,12.88,1,80.0%,10.30,0,0,,0,1,6,0.0,0,0
17,2013,2013-10-27,7,23.357,GNB,@,MIN,W 44-31,*,6,5,89,17.80,0,83.3%,14.83,0,0,,0,0,0,0.0,0,0
18,2013,2013-11-04,8,24.000,GNB,,CHI,L 20-27,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0
19,2013,2013-11-10,9,24.006,GNB,,PHI,L 13-27,*,13,8,112,14.00,0,61.5%,8.62,0,0,,0,0,0,0.0,0,0
20,2013,2013-11-17,10,24.013,GNB,@,NYG,L 13-27,,8,6,91,15.17,0,75.0%,11.38,0,0,,0,0,0,0.0,0,0
21,2013,2013-11-24,11,24.020,GNB,,MIN,T 26-26,,10,5,60,12.00,1,50.0%,6.00,0,0,,0,1,6,0.0,0,0
