ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,23.200,PHI,,NYG,W 31-17,,,,,,,,,,,,
2,2004,2004-09-20,2,23.208,PHI,,MIN,W 27-16,,,,,,,,,,,,
3,2004,2004-09-26,3,23.214,PHI,@,DET,W 30-13,,,,,,,,,,,,
4,2004,2004-10-03,4,23.221,PHI,@,CHI,W 19-9,,,,,,,,,,,,
5,2004,2004-11-07,8,23.256,PHI,@,PIT,L 3-27,,1,21,21.00,0,0,0,,0,0.0,,
6,2004,2004-11-21,10,23.270,PHI,,WAS,W 28-6,,,,,,,,,,,,
7,2004,2004-11-28,11,23.277,PHI,@,NYG,W 27-6,,,,,,,,,,,,
8,2004,2004-12-05,12,23.284,PHI,,GNB,W 47-17,,0,0,,0,6,69,11.50,0,1.0,,
9,2004,2004-12-12,13,23.291,PHI,@,WAS,W 17-14,,0,0,,0,5,81,16.20,0,0.0,,
10,2004,2004-12-19,14,23.298,PHI,,DAL,W 12-7,,0,0,,0,3,35,11.67,0,0.0,,
11,2004,2004-12-27,15,23.306,PHI,@,STL,L 7-20,,,,,,,,,,,,
12,2004,2005-01-02,16,23.312,PHI,,CIN,L 10-38,,0,0,,0,4,9,2.25,0,0.0,,
13,2005,2005-09-12,1,24.199,PHI,@,ATL,L 10-14,,0,0,,0,3,28,9.33,0,0.0,,
14,2005,2005-09-18,2,24.205,PHI,,SFO,W 42-3,,0,0,,0,4,13,3.25,0,0.0,,
15,2005,2005-09-25,3,24.212,PHI,,OAK,W 23-20,,3,72,24.00,0,3,17,5.67,0,0.0,,
16,2005,2005-10-02,4,24.219,PHI,@,KAN,W 37-31,,0,0,,0,2,2,1.00,0,0.0,,
17,2005,2005-10-09,5,24.226,PHI,@,DAL,L 10-33,,5,78,15.60,0,1,0,0.00,0,0.0,,
18,2005,2005-10-30,7,24.247,PHI,@,DEN,L 21-49,,1,17,17.00,0,2,10,5.00,0,0.0,,
19,2005,2005-11-27,11,24.275,PHI,,GNB,W 19-14,,,,,,,,,,,,
20,2005,2005-12-05,12,24.283,PHI,,SEA,L 0-42,,7,117,16.71,0,0,0,,0,0.0,,
21,2005,2005-12-24,15,24.302,PHI,@,ARI,L 21-27,,0,0,,0,2,31,15.50,0,0.0,,
22,2005,2006-01-01,16,24.310,PHI,,WAS,L 20-31,,0,0,,0,5,9,1.80,0,0.0,,
23,2006,2006-09-17,2,25.204,PHI,,NYG,L 24-30,,4,75,18.75,0,3,42,14.00,0,0.0,,
24,2006,2006-09-24,3,25.211,PHI,@,SFO,W 38-24,,1,19,19.00,0,0,0,,0,0.0,,
25,2006,2006-10-02,4,25.219,PHI,,GNB,W 31-9,,3,71,23.67,0,2,28,14.00,0,0.0,,
26,2006,2006-10-08,5,25.225,PHI,,DAL,W 38-24,,5,103,20.60,0,4,29,7.25,0,0.0,,
27,2006,2006-10-15,6,25.232,PHI,@,NOR,L 24-27,,5,94,18.80,0,2,10,5.00,0,0.0,,
28,2006,2006-10-22,7,25.239,PHI,@,TAM,L 21-23,,0,0,,0,2,22,11.00,0,0.0,,
29,2006,2006-11-05,8,25.253,HOU,@,NYG,L 10-14,,2,50,25.00,0,1,10,10.00,0,0.0,,
30,2006,2006-11-12,9,25.260,HOU,@,JAX,W 13-10,,3,67,22.33,0,1,12,12.00,0,0.0,,
31,2006,2006-11-19,10,25.267,HOU,,BUF,L 21-24,,3,39,13.00,0,2,21,10.50,0,0.0,,
32,2006,2006-11-26,11,25.274,HOU,@,NYJ,L 11-26,,7,166,23.71,0,1,6,6.00,0,0.0,,
33,2006,2006-12-03,12,25.281,HOU,@,OAK,W 23-14,,0,0,,0,2,67,33.50,0,0.0,,
34,2006,2006-12-10,13,25.288,HOU,,TEN,L 20-26,,0,0,,0,1,-2,-2.00,0,0.0,,
35,2006,2006-12-17,14,25.295,HOU,@,NWE,L 7-40,,8,151,18.88,0,2,16,8.00,0,0.0,,
36,2006,2006-12-24,15,25.302,HOU,,IND,W 27-24,,5,147,29.40,0,1,4,4.00,0,0.0,,
37,2006,2006-12-31,16,25.309,HOU,,CLE,W 14-6,,2,50,25.00,0,1,5,5.00,0,0.0,,
38,2007,2007-09-23,3,26.210,HOU,,IND,L 24-30,,,,,,,,,,,,
39,2007,2007-09-30,4,26.217,HOU,@,ATL,L 16-26,,4,117,29.25,0,2,1,0.50,0,0.0,,
40,2007,2007-10-07,5,26.224,HOU,,MIA,W 22-19,,5,164,32.80,0,0,0,,0,0.0,,
41,2007,2007-10-14,6,26.231,HOU,@,JAX,L 17-37,,5,67,13.40,0,0,0,,0,0.0,,
42,2007,2007-11-04,9,26.252,HOU,@,OAK,W 24-17,,2,51,25.50,0,0,0,,0,0.0,,
43,2007,2007-11-18,10,26.266,HOU,,NOR,W 23-10,,3,59,19.67,0,0,0,,0,0.0,,
44,2007,2007-11-25,11,26.273,HOU,@,CLE,L 17-27,*,3,65,21.67,0,0,0,,0,0.0,,
45,2007,2007-12-30,16,26.308,HOU,,JAX,W 42-28,,,,,,,,,,,,
46,2008,2008-12-21,15,27.300,DET,,NOR,L 7-42,,0,0,,0,0,0,,0,0.0,0,1
47,2008,2008-12-28,16,27.307,DET,@,GNB,L 21-31,,,,,,,,,,,,
