ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2007,2007-10-28,8,23.180,TAM,,JAX,L 23-24,,0,,,,,0.0%,
2,2007,2007-11-04,9,23.187,TAM,,ARI,W 17-10,,,,,,,0.0%,
3,2007,2007-11-18,10,23.201,TAM,@,ATL,W 31-7,,1,1,2,2.00,0,100.0%,2.00
4,2007,2007-11-25,11,23.208,TAM,,WAS,W 19-13,,0,0,0,,0,0.0%,
5,2007,2007-12-02,12,23.215,TAM,@,NOR,W 27-23,,,0,0,,0,0.0%,
6,2007,2007-12-09,13,23.222,TAM,@,HOU,L 14-28,,,0,0,,0,0.0%,
7,2007,2007-12-16,14,23.229,TAM,,ATL,W 37-3,*,1,1,1,1.00,0,100.0%,1.00
8,2007,2007-12-23,15,23.236,TAM,@,SFO,L 19-21,*,1,0,0,,0,0.0%,0.00
9,2007,2007-12-30,16,23.243,TAM,,CAR,L 23-31,*,,0,0,,0,0.0%,
10,2008,2008-09-07,1,24.129,TAM,@,NOR,L 20-24,,0,0,0,,0,0.0%,
11,2008,2008-09-14,2,24.136,TAM,,ATL,W 24-9,,0,0,0,,0,0.0%,
12,2008,2008-09-21,3,24.143,TAM,@,CHI,W 27-24,,0,,,,,0.0%,
13,2008,2008-09-28,4,24.150,TAM,,GNB,W 30-21,*,0,0,0,,0,0.0%,
14,2008,2008-10-05,5,24.157,TAM,@,DEN,L 13-16,*,,,,,,0.0%,
15,2008,2008-10-12,6,24.164,TAM,,CAR,W 27-3,*,,,,,,0.0%,
