ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-22,3,21.165,BUF,,NYT,L 6-17,0,0,,0,0,0,,0,0,0,1,5,0
2,1962,1962-10-07,5,21.180,BUF,@,HOU,L 14-17,0,0,,0,0,0,,0,0,0,1,16,0
3,1962,1962-11-11,10,21.215,BUF,@,SDG,W 40-20,0,0,,0,0,0,,0,0,0,2,59,0
4,1962,1962-12-08,14,21.242,BUF,@,NYT,W 20-3,0,0,,0,0,0,,0,0,0,2,19,0
5,1963,1963-09-22,3,22.165,BUF,,KAN,T 27-27,0,0,,0,0,0,,0,1,6,1,26,1
6,1963,1963-10-13,6,22.186,BUF,@,KAN,W 35-26,0,0,,0,0,0,,0,0,0,1,0,0
7,1963,1963-11-09,10,22.213,BUF,,DEN,W 27-17,0,0,,0,0,0,,0,0,0,1,5,0
8,1963,1963-12-08,13,22.242,BUF,,NYJ,W 45-14,1,19,19.00,0,0,0,,0,0,0,0,0,0
9,1964,1964-11-26,11,23.230,BUF,@,SDG,W 27-24,0,0,,0,0,0,,0,0,0,1,0,0
10,1965,1965-10-31,8,24.204,BUF,,HOU,L 17-19,0,0,,0,0,0,,0,0,0,1,0,0
11,1965,1965-12-19,14,24.253,BUF,@,NYJ,L 12-14,0,0,,0,0,0,,0,0,0,1,19,0
12,1966,1966-09-18,3,25.161,BUF,,MIA,W 58-24,0,0,,0,0,0,,0,0,0,2,37,0
13,1966,1966-10-08,6,25.181,BUF,,BOS,L 10-20,,,,,0,4,,0,,,,,
14,1966,1966-10-30,8,25.203,BUF,@,NYJ,W 33-23,0,0,,0,0,0,,0,0,0,1,0,0
15,1967,1967-10-29,7,26.202,BUF,@,HOU,L 3-10,0,0,,0,0,0,,0,0,0,1,3,0
16,1968,1968-11-03,9,27.207,BUF,@,NYJ,L 21-25,0,0,,0,0,0,,0,0,0,1,15,0
17,1970,1970-09-20,1,29.163,BUF,,DEN,L 10-25,,,,,,,,,,,,,
18,1970,1970-09-27,2,29.170,BUF,,RAM,L 0-19,,,,,,,,,,,,,
19,1970,1970-10-04,3,29.177,BUF,,NYJ,W 34-31,,,,,,,,,,,,,
20,1970,1970-10-11,4,29.184,BUF,@,PIT,L 10-23,,,,,,,,,,,,,
21,1970,1970-10-18,5,29.191,BUF,,MIA,L 14-33,,,,,,,,,,,,,
22,1970,1970-10-25,6,29.198,BUF,@,NYJ,W 10-6,,,,,,,,,,,,,
23,1970,1970-11-01,7,29.205,BUF,@,BOS,W 45-10,,,,,,,,,,,,,
24,1970,1970-11-08,8,29.212,BUF,,CIN,L 14-43,,,,,,,,,,,,,
25,1970,1970-11-15,9,29.219,BUF,@,BAL,T 17-17,,,,,,,,,,,,,
26,1971,1971-09-19,1,30.162,BUF,,DAL,L 37-49,,,,,,,,,,,,,
27,1971,1971-09-26,2,30.169,BUF,,MIA,L 14-29,,,,,,,,,,,,,
28,1971,1971-10-03,3,30.176,BUF,@,MIN,L 0-19,,,,,,,,,,,,,
29,1971,1971-10-10,4,30.183,BUF,,BAL,L 0-43,,,,,,,,,,,,,
30,1971,1971-10-17,5,30.190,BUF,@,NYJ,L 17-28,,,,,,,,,,,,,
31,1971,1971-10-23,6,30.196,BUF,@,SDG,L 3-20,,,,,,,,,,,,,
32,1971,1971-10-31,7,30.204,BUF,,STL,L 23-28,,,,,,,,,,,,,
33,1971,1971-11-07,8,30.211,BUF,@,MIA,L 0-34,,,,,,,,,,,,,
