ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1989,1989-09-10,1,23.182,GNB,,TAM,L 21-23,,3,3,100.0,,,,0,3
2,1989,1989-09-17,2,23.189,GNB,,NOR,W 35-34,,5,5,100.0,,,,0,5
3,1989,1989-09-24,3,23.196,GNB,@,RAM,L 38-41,,5,5,100.0,1,1,100.0,0,8
4,1989,1989-10-01,4,23.203,GNB,,ATL,W 23-21,,2,2,100.0,3,3,100.0,0,11
5,1989,1989-10-08,5,23.210,GNB,,DAL,W 31-13,,4,4,100.0,1,3,33.3,0,7
6,1989,1989-10-15,6,23.217,GNB,@,MIN,L 14-26,,2,2,100.0,,,,0,2
7,1989,1989-10-22,7,23.224,GNB,@,MIA,L 20-23,,2,2,100.0,2,2,100.0,0,8
8,1989,1989-10-29,8,23.231,GNB,,DET,W 23-20,,2,2,100.0,3,4,75.0,0,11
9,1989,1989-11-05,9,23.238,GNB,,CHI,W 14-13,,2,2,100.0,,,,0,2
10,1989,1989-11-12,10,23.245,GNB,@,DET,L 22-31,,2,2,100.0,2,3,66.7,0,8
11,1989,1989-11-19,11,23.252,GNB,@,SFO,W 21-17,,3,3,100.0,,1,0.0,0,3
12,1989,1989-11-26,12,23.259,GNB,,MIN,W 20-19,,2,2,100.0,2,3,66.7,0,8
13,1989,1989-12-03,13,23.266,GNB,@,TAM,W 17-16,,2,2,100.0,1,1,100.0,0,5
14,1989,1989-12-10,14,23.273,GNB,,KAN,L 3-21,,,,,1,1,100.0,0,3
15,1989,1989-12-17,15,23.280,GNB,@,CHI,W 40-28,,4,4,100.0,4,4,100.0,0,16
16,1989,1989-12-24,16,23.287,GNB,@,DAL,W 20-10,,2,2,100.0,2,2,100.0,0,8
17,1990,1990-09-09,1,24.181,GNB,,RAM,W 36-24,,3,4,75.0,3,3,100.0,0,12
18,1990,1990-09-16,2,24.188,GNB,,CHI,L 13-31,,1,1,100.0,2,2,100.0,0,7
19,1990,1990-09-23,3,24.195,GNB,,KAN,L 3-17,,,,,1,1,100.0,0,3
20,1990,1990-09-30,4,24.202,GNB,@,DET,W 24-21,,3,3,100.0,1,2,50.0,0,6
21,1990,1990-10-07,5,24.209,GNB,@,CHI,L 13-27,,1,1,100.0,2,2,100.0,0,7
22,1990,1990-10-14,6,24.216,GNB,@,TAM,L 14-26,,2,2,100.0,,1,0.0,0,2
23,1990,1990-10-28,7,24.230,GNB,,MIN,W 24-10,,3,3,100.0,1,1,100.0,0,6
24,1990,1990-11-04,8,24.237,GNB,,SFO,L 20-24,,2,2,100.0,2,2,100.0,0,8
25,1990,1990-11-11,9,24.244,GNB,@,RAI,W 29-16,,2,2,100.0,5,5,100.0,0,17
26,1990,1990-11-18,10,24.251,GNB,@,PHO,W 24-21,,3,3,100.0,1,1,100.0,0,6
27,1990,1990-11-25,11,24.258,GNB,,TAM,W 20-10,,2,2,100.0,2,3,66.7,0,8
28,1990,1990-12-02,12,24.265,GNB,@,MIN,L 7-23,,1,1,100.0,,,,0,1
29,1990,1990-12-09,13,24.272,GNB,,SEA,L 14-20,,2,2,100.0,,1,0.0,0,2
30,1990,1990-12-16,14,24.279,GNB,@,PHI,L 0-31,,,,,,1,0.0,0,0
31,1990,1990-12-22,15,24.285,GNB,,DET,L 17-24,,2,2,100.0,1,3,33.3,0,5
32,1990,1990-12-30,16,24.293,GNB,@,DEN,L 13-22,,1,1,100.0,2,2,100.0,0,7
33,1991,1991-09-01,1,25.173,GNB,,PHI,L 3-20,,,,,1,1,100.0,0,3
34,1991,1991-09-08,2,25.180,GNB,@,DET,L 14-23,,2,2,100.0,,1,0.0,0,2
35,1991,1991-09-15,3,25.187,GNB,,TAM,W 15-13,,1,1,100.0,2,3,66.7,0,7
36,1991,1991-09-22,4,25.194,GNB,@,MIA,L 13-16,,1,1,100.0,2,2,100.0,0,7
37,1991,1991-09-29,5,25.201,GNB,@,RAM,L 21-23,,3,3,100.0,,,,0,3
38,1991,1991-10-06,6,25.208,GNB,,DAL,L 17-20,,2,2,100.0,1,1,100.0,0,5
39,1991,1991-10-17,7,25.219,GNB,,CHI,L 0-10,,,,,,,,,
40,1991,1991-10-27,8,25.229,GNB,@,TAM,W 27-0,,3,3,100.0,2,3,66.7,0,9
41,1991,1991-11-03,9,25.236,GNB,@,NYJ,L 16-19,,1,1,100.0,3,4,75.0,0,10
42,1991,1991-11-10,10,25.243,GNB,,BUF,L 24-34,,3,3,100.0,1,1,100.0,0,6
43,1991,1991-11-17,11,25.250,GNB,,MIN,L 21-35,,3,3,100.0,,,,0,3
44,1991,1991-11-24,12,25.257,GNB,,IND,W 14-10,,2,2,100.0,,,,0,2
45,1991,1991-12-01,13,25.264,GNB,@,ATL,L 31-35,,4,4,100.0,1,1,100.0,0,7
46,1991,1991-12-08,14,25.271,GNB,@,CHI,L 13-27,,1,1,100.0,2,3,66.7,0,7
47,1991,1991-12-15,15,25.278,GNB,,DET,L 17-21,,2,2,100.0,1,1,100.0,0,5
48,1991,1991-12-21,16,25.284,GNB,@,MIN,W 27-7,,3,3,100.0,2,3,66.7,0,9
49,1992,1992-09-06,1,26.178,GNB,,MIN,L 20-23,,2,2,100.0,2,2,100.0,0,8
50,1992,1992-09-13,2,26.185,GNB,@,TAM,L 3-31,,,,,1,1,100.0,0,3
51,1992,1992-09-20,3,26.192,GNB,,CIN,W 24-23,,3,3,100.0,1,3,33.3,0,6
52,1992,1992-09-27,4,26.199,GNB,,PIT,W 17-3,,2,2,100.0,1,2,50.0,0,5
53,1992,1992-10-04,5,26.206,GNB,@,ATL,L 10-24,,1,1,100.0,1,2,50.0,0,4
54,1992,1992-10-18,6,26.220,GNB,@,CLE,L 6-17,,,,,2,2,100.0,0,6
55,1992,1992-10-25,7,26.227,GNB,,CHI,L 10-30,,1,1,100.0,1,2,50.0,0,4
56,1992,1992-11-01,8,26.234,GNB,@,DET,W 27-13,,3,3,100.0,2,2,100.0,0,9
57,1992,1992-11-08,9,26.241,GNB,@,NYG,L 7-27,,1,1,100.0,,1,0.0,0,1
58,1992,1992-11-15,10,26.248,GNB,,PHI,W 27-24,,3,3,100.0,2,2,100.0,0,9
59,1992,1992-11-22,11,26.255,GNB,@,CHI,W 17-3,,2,2,100.0,1,1,100.0,0,5
60,1992,1992-11-29,12,26.262,GNB,,TAM,W 19-14,,1,1,100.0,4,5,80.0,0,13
61,1992,1992-12-06,13,26.269,GNB,,DET,W 38-10,,5,5,100.0,1,1,100.0,0,8
