ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2015,2015-09-10,1,21.220,NWE,,PIT,W 28-21,*,,0,0,1.0,1,1
2,2015,2015-09-20,2,21.230,NWE,@,BUF,W 40-32,,,0,0,0.0,1,0
3,2015,2015-09-27,3,21.237,NWE,,JAX,W 51-17,,,0,0,0.0,1,0
4,2015,2015-10-11,4,21.251,NWE,@,DAL,W 30-6,,,0,0,0.0,0,2
5,2015,2015-10-18,5,21.258,NWE,@,IND,W 34-27,,,0,0,0.0,1,3
6,2015,2015-10-25,6,21.265,NWE,,NYJ,W 30-23,*,,0,0,0.0,2,1
7,2015,2015-10-29,7,21.269,NWE,,MIA,W 36-7,*,,0,0,0.0,2,0
8,2015,2015-11-08,8,21.279,NWE,,WAS,W 27-10,*,,0,0,0.0,1,1
9,2015,2015-11-15,9,21.286,NWE,@,NYG,W 27-26,*,,0,0,1.0,4,3
10,2015,2015-11-23,10,21.294,NWE,,BUF,W 20-13,*,,0,0,0.0,2,1
11,2015,2015-11-29,11,21.300,NWE,@,DEN,L 24-30,*,,0,0,1.0,4,0
12,2015,2015-12-06,12,21.307,NWE,,PHI,L 28-35,*,,0,0,0.0,2,0
13,2015,2015-12-13,13,21.314,NWE,@,HOU,W 27-6,*,,0,0,0.0,2,0
14,2015,2015-12-20,14,21.321,NWE,,TEN,W 33-16,*,,0,0,0.0,1,1
15,2015,2015-12-27,15,21.328,NWE,@,NYJ,L 20-26,*,,0,0,0.0,2,3
16,2015,2016-01-03,16,21.335,NWE,@,MIA,L 10-20,*,,0,0,0.0,5,1
17,2016,2016-09-11,1,22.222,NWE,@,ARI,W 23-21,*,,0,0,0.0,1,0
18,2016,2016-09-18,2,22.229,NWE,,MIA,W 31-24,*,,0,0,0.0,0,1
19,2016,2016-09-22,3,22.233,NWE,,HOU,W 27-0,*,,0,0,0.0,1,2
20,2016,2016-10-02,4,22.243,NWE,,BUF,L 0-16,*,,0,0,0.0,2,1
21,2016,2016-10-09,5,22.250,NWE,@,CLE,W 33-13,*,,0,0,2.0,3,2
22,2016,2016-10-16,6,22.257,NWE,,CIN,W 35-17,*,,0,0,0.0,1,4
23,2016,2016-10-23,7,22.264,NWE,@,PIT,W 27-16,,,0,0,0.0,5,0
24,2016,2016-10-30,8,22.271,NWE,@,BUF,W 41-25,*,,0,0,0.0,0,0
25,2016,2016-11-13,9,22.285,NWE,,SEA,L 24-31,*,,0,0,0.0,2,3
26,2016,2016-11-20,10,22.292,NWE,@,SFO,W 30-17,*,,0,0,0.0,1,0
27,2016,2016-11-27,11,22.299,NWE,@,NYJ,W 22-17,*,,0,0,0.0,1,6
28,2016,2016-12-04,12,22.306,NWE,,LAR,W 26-10,*,,0,0,0.0,0,2
29,2016,2016-12-12,13,22.314,NWE,,BAL,W 30-23,*,1,0,2,0.0,1,3
30,2016,2016-12-18,14,22.320,NWE,@,DEN,W 16-3,*,,0,0,1.0,3,1
31,2016,2016-12-24,15,22.326,NWE,,NYJ,W 41-3,,,0,0,0.0,0,1
32,2016,2017-01-01,16,22.334,NWE,@,MIA,W 35-14,,,0,0,0.0,3,0
33,2017,2017-09-07,1,23.217,NWE,,KAN,L 27-42,*,,0,0,0.0,4,2
34,2017,2017-09-17,2,23.227,NWE,@,NOR,W 36-20,*,,0,0,0.0,0,1
35,2017,2017-09-24,3,23.234,NWE,,HOU,W 36-33,*,,0,0,0.0,5,0
36,2017,2017-10-01,4,23.241,NWE,,CAR,L 30-33,*,,0,0,0.0,2,2
37,2017,2017-10-05,5,23.245,NWE,@,TAM,W 19-14,*,,0,0,0.0,2,1
38,2017,2017-10-15,6,23.255,NWE,@,NYJ,W 24-17,*,,0,0,1.0,4,0
39,2017,2017-10-22,7,23.262,NWE,,ATL,W 23-7,*,,0,0,0.0,0,1
40,2017,2017-11-26,11,23.297,NWE,,MIA,W 35-17,,,0,0,0.0,2,0
41,2017,2017-12-03,12,23.304,NWE,@,BUF,W 23-3,*,,0,0,0.5,4,3
42,2017,2017-12-11,13,23.312,NWE,@,MIA,L 20-27,*,,0,0,0.0,0,1
43,2017,2017-12-17,14,23.318,NWE,@,PIT,W 27-24,*,,0,0,0.0,3,4
44,2017,2017-12-24,15,23.325,NWE,,BUF,W 37-16,*,,0,0,1.0,3,3
45,2017,2017-12-31,16,23.332,NWE,,NYJ,W 26-6,*,,0,0,0.0,0,2
46,2018,2018-09-09,1,24.219,NWE,,HOU,W 27-20,*,,0,0,0.0,1,1
47,2018,2018-09-16,2,24.226,NWE,@,JAX,L 20-31,*,,0,0,0.0,5,0
48,2018,2018-09-23,3,24.233,NWE,@,DET,L 10-26,*,,0,0,0.0,1,1
