ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-09-10,1,23.291,CIN,@,CHI,L 14-17,2,19,9.50,0,0,0,,0,0,0,,0,0,0
2,1989,1989-09-17,2,23.298,CIN,,PIT,W 41-10,1,12,12.00,0,0,0,,0,0,0,,0,0,0
3,1989,1989-10-15,6,23.326,CIN,,MIA,L 13-20,0,0,,0,2,33,16.50,0,0,0,,0,0,0
4,1989,1989-11-05,9,23.347,CIN,@,RAI,L 7-28,2,31,15.50,0,1,1,1.00,0,1,9,9.00,0,0,0
5,1989,1989-11-13,10,23.355,CIN,@,HOU,L 24-26,0,0,,0,1,12,12.00,0,0,0,,0,0,0
6,1989,1989-11-19,11,23.361,CIN,,DET,W 42-7,1,41,41.00,1,0,0,,0,0,0,,0,1,6
7,1989,1989-11-26,12,24.003,CIN,@,BUF,L 7-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0
8,1989,1989-12-03,13,24.010,CIN,@,CLE,W 21-0,1,12,12.00,0,1,19,19.00,0,5,31,6.20,0,0,0
9,1989,1989-12-10,14,24.017,CIN,,SEA,L 17-24,2,15,7.50,0,0,0,,0,5,14,2.80,0,0,0
10,1989,1989-12-17,15,24.024,CIN,,HOU,W 61-7,0,0,,0,0,0,,0,0,0,,0,,
11,1989,1989-12-25,16,24.032,CIN,@,MIN,L 21-29,1,10,10.00,0,0,0,,0,0,0,,0,0,0
12,1990,1990-09-09,1,24.290,CIN,,NYJ,W 25-20,0,0,,0,0,0,,0,0,0,,0,,
13,1990,1990-09-16,2,24.297,CIN,@,SDG,W 21-16,0,0,,0,0,0,,0,0,0,,0,,
14,1990,1990-09-23,3,24.304,CIN,,NWE,W 41-7,0,0,,0,0,0,,0,0,0,,0,,
15,1990,1990-10-01,4,24.312,CIN,@,SEA,L 16-31,3,16,5.33,0,0,0,,0,0,0,,0,0,0
16,1990,1990-10-07,5,24.318,CIN,@,RAM,W 34-31,1,9,9.00,0,0,0,,0,0,0,,0,0,0
17,1990,1990-10-14,6,24.325,CIN,@,HOU,L 17-48,2,15,7.50,0,2,35,17.50,0,0,0,,0,0,0
18,1990,1990-10-22,7,24.333,CIN,@,CLE,W 34-13,0,0,,0,0,0,,0,0,0,,0,,
19,1990,1990-10-28,8,24.339,CIN,@,ATL,L 17-38,1,5,5.00,0,0,0,,0,1,4,4.00,0,0,0
20,1990,1990-11-04,9,24.346,CIN,,NOR,L 7-21,0,0,,0,0,0,,0,0,0,,0,,
