ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.202,CLE,,CIN,L 13-27,,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
2,2005,2005-09-18,2,22.209,CLE,@,GNB,W 26-24,*,4,3,107,35.67,1,75.0%,26.75,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
3,2005,2005-09-25,3,22.216,CLE,@,IND,L 6-13,*,7,4,43,10.75,0,57.1%,6.14,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
4,2005,2005-10-23,6,22.244,CLE,,DET,L 10-13,,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
5,2005,2005-10-30,7,22.251,CLE,@,HOU,L 16-19,,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
6,2005,2005-11-06,8,22.258,CLE,,TEN,W 20-14,*,6,1,2,2.00,0,16.7%,0.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
7,2005,2005-11-13,9,22.265,CLE,@,PIT,L 21-34,*,8,2,64,32.00,0,25.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
8,2005,2005-11-20,10,22.272,CLE,,MIA,W 22-0,*,7,6,90,15.00,0,85.7%,12.86,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
9,2005,2005-11-27,11,22.279,CLE,@,MIN,L 12-24,*,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
10,2005,2005-12-04,12,22.286,CLE,,JAX,L 14-20,*,7,5,86,17.20,2,71.4%,12.29,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
11,2006,2006-09-10,1,23.201,CLE,,NOR,L 14-19,*,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
