ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
72,1988,1988-12-04,14,28.129,MIN,,NOR,W 45-3,,,,,
73,1988,1988-12-11,15,28.136,MIN,@,GNB,L 6-18,,,,,
74,1988,1988-12-19,16,28.144,MIN,,CHI,W 28-27,1,6,1,94,1
75,1989,1989-09-10,1,29.044,KAN,@,DEN,L 20-34,,,,,
76,1989,1989-09-17,2,29.051,KAN,,RAI,W 24-19,,,,,
77,1989,1989-09-24,3,29.058,KAN,@,SDG,L 6-21,,,,,
78,1989,1989-10-01,4,29.065,KAN,,CIN,L 17-21,,,,,
79,1989,1989-10-08,5,29.072,KAN,@,SEA,W 20-16,,,,,
80,1989,1989-10-15,6,29.079,KAN,@,RAI,L 14-20,,,,,
81,1989,1989-10-22,7,29.086,KAN,,DAL,W 36-28,,,,,
82,1989,1989-10-29,8,29.093,KAN,@,PIT,L 17-23,,,,,
83,1989,1989-11-05,9,29.100,KAN,,SEA,W 20-10,,,,,
84,1989,1989-11-12,10,29.107,KAN,,DEN,L 13-16,,,,,
85,1989,1989-11-19,11,29.114,KAN,@,CLE,T 10-10,,,,,
86,1989,1989-11-26,12,29.121,KAN,,HOU,W 34-0,0,0,1,0,0
87,1989,1989-12-03,13,29.128,KAN,,MIA,W 26-21,,,,,
88,1989,1989-12-10,14,29.135,KAN,@,GNB,W 21-3,,,,,
89,1989,1989-12-17,15,29.142,KAN,,SDG,L 13-20,,,,,
90,1989,1989-12-24,16,29.149,KAN,@,MIA,W 27-24,,,,,
91,1990,1990-09-23,3,30.057,MIN,@,CHI,L 16-19,,,,,
92,1990,1990-09-30,4,30.064,MIN,,TAM,L 20-23,,,,,
93,1990,1990-11-11,9,30.106,MIN,@,DET,W 17-7,,,,,
94,1990,1990-11-18,10,30.113,MIN,@,SEA,W 24-21,,,,,
