ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,22.251,NYJ,,IND,L 24-45,,,,,,,,
2,2001,2001-09-23,2,22.265,NYJ,@,NWE,W 10-3,,,,,,,,
3,2001,2001-10-01,3,22.273,NYJ,,SFO,L 17-19,,,,,,,,
4,2001,2001-10-07,4,22.279,NYJ,@,BUF,W 42-36,,,,,,,,
5,2001,2001-10-14,5,22.286,NYJ,,MIA,W 21-17,,,,,,,,
6,2001,2001-10-21,6,22.293,NYJ,,STL,L 14-34,,,,,,,,
7,2001,2001-10-28,7,22.300,NYJ,@,CAR,W 13-12,,,,,,,,
8,2001,2001-11-04,8,22.307,NYJ,@,NOR,W 16-9,,,,,,,,
9,2001,2001-11-11,9,22.314,NYJ,,KAN,W 27-7,,,,,,,,
10,2001,2001-11-18,10,22.321,NYJ,@,MIA,W 24-0,,,,,,,,
11,2001,2001-12-02,11,22.335,NYJ,,NWE,L 16-17,,,,,,,,
12,2001,2001-12-09,12,22.342,NYJ,@,PIT,L 7-18,,,,,,,,
13,2001,2001-12-16,13,22.349,NYJ,,CIN,W 15-14,,0,0,,0,1,5,0
14,2001,2001-12-23,14,22.356,NYJ,@,IND,W 29-28,*,,,,,,,
15,2001,2001-12-30,15,22.363,NYJ,,BUF,L 9-14,,,,,,,,
16,2001,2002-01-06,16,23.005,NYJ,@,OAK,W 24-22,,1,0,0.00,0,0,0,0
17,2002,2002-09-29,4,23.271,NYJ,@,JAX,L 3-28,,,,,,,,
18,2002,2002-10-06,5,23.278,NYJ,,KAN,L 25-29,,,,,,,,
19,2003,2003-09-04,1,24.246,NYJ,@,WAS,L 13-16,,,,,,,,
20,2003,2003-09-14,2,24.256,NYJ,,MIA,L 10-21,,,,,,,,
21,2003,2003-09-21,3,24.263,NYJ,@,NWE,L 16-23,,,,,,,,
22,2003,2003-09-28,4,24.270,NYJ,,DAL,L 6-17,,,,,,,,
23,2003,2003-10-12,5,24.284,NYJ,,BUF,W 30-3,,,,,,,,
24,2003,2003-11-02,8,24.305,NYJ,,NYG,L 28-31,,,,,,,,
25,2003,2003-11-09,9,24.312,NYJ,@,OAK,W 27-24,,,,,,,,
26,2003,2003-11-16,10,24.319,NYJ,@,IND,L 31-38,,,,,,,,
27,2003,2003-11-23,11,24.326,NYJ,,JAX,W 13-10,,,,,,,,
28,2003,2003-12-01,12,24.334,NYJ,,TEN,W 24-17,,,,,,,,
29,2003,2003-12-07,13,24.340,NYJ,@,BUF,L 6-17,,,,,,,,
30,2003,2003-12-14,14,24.347,NYJ,,PIT,W 6-0,,,,,,,,
31,2003,2003-12-20,15,24.353,NYJ,,NWE,L 16-21,,,,,,,,
32,2003,2003-12-28,16,24.361,NYJ,@,MIA,L 21-23,,,,,,,,
