ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.245,ARI,@,CIN,L 21-24,,,,,,,,,
2,1997,1997-09-07,2,22.252,ARI,,DAL,W 25-22,,,,,,,,,
3,1997,1997-09-14,3,22.259,ARI,@,WAS,L 13-19,,,,,,,,,
4,1997,1997-09-28,4,22.273,ARI,@,TAM,L 18-19,,,,,,,,,
5,1997,1997-10-05,5,22.280,ARI,,MIN,L 19-20,,,,,,,,,
6,1997,1997-10-12,6,22.287,ARI,,NYG,L 13-27,,,,,,,,,
7,1997,1997-10-19,7,22.294,ARI,@,PHI,L 10-13,,,,,,,,,
8,1997,1997-10-26,8,22.301,ARI,,TEN,L 14-41,,,,,,,,,
9,1997,1997-11-02,9,22.308,ARI,,PHI,W 31-21,,,,,,,,,
10,1997,1997-11-09,10,22.315,ARI,@,DAL,L 6-24,,,,,,,,,
11,1997,1997-11-16,11,22.322,ARI,@,NYG,L 10-19,,,,,,,,,
12,1997,1997-11-23,12,22.329,DET,,IND,W 32-10,,,,,,,,,
13,1997,1997-11-30,13,22.336,ARI,,PIT,L 20-26,,,,,,,,,
14,1997,1997-12-07,14,22.343,ARI,,WAS,L 28-38,,,,,,,,,
15,1997,1997-12-14,15,22.350,ARI,@,NOR,L 10-27,,,,,,,,,
16,1998,1998-09-06,1,23.251,ARI,@,DAL,L 10-38,,,,,,,,,
17,1998,1998-09-13,2,23.258,ARI,@,SEA,L 14-33,,0,0,,0,1.0,0,0,0
18,1998,1998-09-20,3,23.265,ARI,,PHI,W 17-3,,,,,,,,,
19,1998,1998-09-27,4,23.272,ARI,@,STL,W 20-17,,,,,,,,,
20,1998,1998-11-08,9,23.314,ARI,,WAS,W 29-27,,,,,,,,,
21,1998,1998-11-15,10,23.321,ARI,,DAL,L 28-35,,,,,,,,,
22,1998,1998-11-22,11,23.328,ARI,@,WAS,W 45-42,,,,,,,,,
23,1998,1998-12-20,15,23.356,ARI,,NOR,W 19-17,,,,,,,,,
24,1999,1999-09-12,1,24.257,ARI,@,PHI,W 25-24,,,,,,,,,
25,1999,1999-09-19,2,24.264,ARI,@,MIA,L 16-19,,,,,,,,,
26,1999,1999-09-27,3,24.272,ARI,,SFO,L 10-24,,2,35,17.50,0,0.0,0,0,0
27,1999,1999-10-03,4,24.278,ARI,@,DAL,L 7-35,,,,,,,,,
28,1999,1999-10-10,5,24.285,ARI,,NYG,W 14-3,*,,,,,,,,
29,1999,1999-10-17,6,24.292,ARI,,WAS,L 10-24,,,,,,,,,
30,1999,1999-10-31,7,24.306,ARI,,NWE,L 3-27,*,,,,,,,,
31,1999,1999-11-07,8,24.313,ARI,@,NYJ,L 7-12,*,1,3,3.00,0,0.0,0,0,0
32,1999,1999-11-14,9,24.320,ARI,,DET,W 23-19,*,,,,,,,,
33,1999,1999-11-21,10,24.327,ARI,,DAL,W 13-9,*,,,,,,,,
34,1999,1999-11-28,11,24.334,ARI,@,NYG,W 34-24,*,,,,,,,,
35,1999,1999-12-05,12,24.341,ARI,,PHI,W 21-17,*,,,,,,,,
36,1999,1999-12-12,13,24.348,ARI,@,WAS,L 3-28,*,0,0,,0,0.0,1,0,0
37,1999,1999-12-19,14,24.355,ARI,,BUF,L 21-31,*,0,0,,0,0.0,1,16,0
38,1999,1999-12-26,15,24.362,ARI,@,ATL,L 14-37,*,,,,,,,,
39,1999,2000-01-02,16,25.004,ARI,@,GNB,L 24-49,*,,,,,,,,
40,2000,2000-09-03,1,25.249,ARI,@,NYG,L 16-21,,,,,,,,,
41,2000,2000-09-10,2,25.256,ARI,,DAL,W 32-31,*,,,,,,,,
42,2000,2000-09-24,3,25.270,ARI,,GNB,L 3-29,*,,,,,,,,
43,2000,2000-10-01,4,25.277,ARI,@,SFO,L 20-27,*,,,,,,,,
44,2000,2000-10-08,5,25.284,ARI,,CLE,W 29-21,*,,,,,,,,
45,2000,2000-10-15,6,25.291,ARI,,PHI,L 14-33,*,,,,,,,,
46,2000,2000-10-22,7,25.298,ARI,@,DAL,L 7-48,*,,,,,,,,
47,2000,2000-10-29,8,25.305,ARI,,NOR,L 10-21,*,,,,,,,,
48,2000,2000-11-05,9,25.312,ARI,,WAS,W 16-15,*,,,,,,,,
49,2000,2000-11-12,10,25.319,ARI,@,MIN,L 14-31,,,,,,,,,
50,2000,2000-11-19,11,25.326,ARI,@,PHI,L 9-34,,,,,,,,,
51,2000,2000-11-26,12,25.333,ARI,,NYG,L 7-31,*,,,,,,,,
52,2000,2000-12-03,13,25.340,ARI,@,CIN,L 13-24,,,,,,,,,
53,2000,2000-12-10,14,25.347,ARI,@,JAX,L 10-44,*,,,,,,,,
54,2000,2000-12-17,15,25.354,ARI,,BAL,L 7-13,,0,0,,0,1.0,0,0,0
55,2000,2000-12-24,16,25.361,ARI,@,WAS,L 3-20,,,,,,,,,
56,2001,2001-09-23,1,26.268,ARI,,DEN,L 17-38,*,,,,,,,,
57,2001,2001-10-07,3,26.282,ARI,@,PHI,W 21-20,*,,,,,,,,
58,2001,2001-10-14,4,26.289,ARI,@,CHI,L 13-20,*,,,,,,,,
59,2001,2001-10-21,5,26.296,ARI,,KAN,W 24-16,*,,,,,,,,
60,2001,2001-11-18,9,26.324,ARI,,DET,W 45-38,*,,,,,,,,
61,2001,2001-11-25,10,26.331,ARI,@,SDG,W 20-17,*,,,,,,,,
62,2001,2001-12-02,11,26.338,ARI,@,OAK,W 34-31,*,0,0,,0,0.0,1,43,0
63,2001,2001-12-09,12,26.345,ARI,,WAS,L 10-20,*,,,,,,,,
64,2003,2003-09-21,3,28.266,BAL,@,SDG,W 24-10,,,,,,,,,
65,2003,2003-09-28,4,28.273,BAL,,KAN,L 10-17,,,,,,,,,
66,2003,2003-10-12,5,28.287,BAL,@,ARI,W 26-18,,,,,,,,,
67,2003,2003-10-19,6,28.294,BAL,@,CIN,L 26-34,,,,,,,,,
68,2003,2003-11-02,8,28.308,BAL,,JAX,W 24-17,,,,,,,,,
69,2003,2003-11-09,9,28.315,BAL,@,STL,L 22-33,*,0,0,,0,0.5,0,0,0
70,2003,2003-11-16,10,28.322,BAL,@,MIA,L 6-9,,,,,,,,,
71,2003,2003-11-23,11,28.329,BAL,,SEA,W 44-41,,,,,,,,,
72,2003,2003-12-21,15,28.357,BAL,@,CLE,W 35-0,,,,,,,,,
73,2003,2003-12-28,16,28.364,BAL,,PIT,W 13-10,,,,,,,,,
