ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,25.004,RAM,@,SFO,L 9-13,0,0,,0,,,,1,1,100.0,0,3,0,0,0
2,1960,1960-10-16,4,25.018,RAM,@,BAL,L 17-31,0,0,,0,,,,1,1,100.0,0,3,0,0,0
3,1960,1960-12-04,10,25.067,RAM,,SFO,L 7-23,1,15,15.00,0,1,1,100.0,,,,0,1,0,0,0
4,1960,1960-12-11,11,25.074,RAM,,BAL,W 10-3,0,0,,0,,,,,1,0.0,0,0,0,0,0
5,1961,1961-09-17,1,25.354,PIT,@,DAL,L 24-27,0,0,,0,,,,1,3,33.3,0,3,0,0,0
6,1961,1961-10-08,4,26.010,PIT,@,PHI,L 16-21,0,0,,0,1,2,50.0,1,2,50.0,0,4,0,0,0
7,1961,1961-10-15,5,26.017,PIT,,WAS,W 20-0,0,0,,0,2,2,100.0,2,3,66.7,0,8,1,30,0
8,1961,1961-10-22,6,26.024,PIT,,CLE,L 28-30,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
9,1961,1961-10-29,7,26.031,PIT,,SFO,W 20-10,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
10,1961,1961-11-05,8,26.038,PIT,@,CLE,W 17-13,0,0,,0,2,2,100.0,1,4,25.0,0,5,0,0,0
11,1961,1961-11-12,9,26.045,PIT,,DAL,W 37-7,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,0
12,1961,1961-11-19,10,26.052,PIT,@,NYG,L 21-42,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,0
13,1961,1961-11-26,11,26.059,PIT,,STL,W 30-27,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,0
14,1961,1961-12-03,12,26.066,PIT,,PHI,L 24-35,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
15,1961,1961-12-10,13,26.073,PIT,@,WAS,W 30-14,0,0,,0,3,4,75.0,1,1,100.0,0,6,0,0,0
16,1961,1961-12-17,14,26.080,PIT,@,STL,L 0-20,0,0,,0,,,,,1,0.0,0,0,0,0,0
17,1962,1962-09-16,1,26.353,PIT,@,DET,L 7-45,,,,,1,1,100.0,,,,0,1,,,
