ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-10-04,3,22.019,RAM,@,NOR,L 10-37,2,53,26.50,1,1,12,12.00,0,1,6
2,1987,1987-10-11,4,22.026,RAM,,PIT,W 31-21,4,35,8.75,0,0,0,,0,0,0
3,1987,1987-10-18,5,22.033,RAM,@,ATL,L 20-24,2,19,9.50,0,0,0,,0,0,0
4,1989,1989-09-10,1,23.360,DET,,PHO,L 13-16,2,44,22.00,0,0,0,,0,0,0
5,1989,1989-09-17,2,24.002,DET,@,NYG,L 14-24,3,23,7.67,0,0,0,,0,0,0
6,1989,1989-09-24,3,24.009,DET,,CHI,L 27-47,0,0,,0,,,,,,
7,1989,1989-10-01,4,24.016,DET,,PIT,L 3-23,3,44,14.67,0,0,0,,0,0,0
8,1989,1989-10-08,5,24.023,DET,@,MIN,L 17-24,2,30,15.00,0,0,0,,0,0,0
9,1989,1989-10-15,6,24.030,DET,@,TAM,W 17-16,3,17,5.67,0,0,0,,0,0,0
10,1989,1989-10-22,7,24.037,DET,,MIN,L 7-20,0,0,,0,,,,,,
11,1989,1989-10-29,8,24.044,DET,@,GNB,L 20-23,0,0,,0,,,,,,
12,1989,1989-12-10,14,24.086,DET,@,CHI,W 27-17,0,0,,0,,,,,,
13,1989,1989-12-24,16,24.100,DET,@,ATL,W 31-24,0,0,,0,,,,,,
